公司,Data Field,2016/12/30
1101 台泥,負債比率,44.79
1102 亞泥,負債比率,41.01
1103 嘉泥,負債比率,39.48
1104 環泥,負債比率,19.42
1108 幸福,負債比率,38.06
1109 信大,負債比率,26.78
1110 東泥,負債比率,6.16
1201 味全,負債比率,79.07
1203 味王,負債比率,38.58
1210 大成,負債比率,46.7
1213 大飲,負債比率,18.47
1215 卜蜂,負債比率,40.93
1216 統一,負債比率,59.67
1217 愛之味,負債比率,47.67
1218 泰山,負債比率,55.9
1219 福壽,負債比率,51.71
1220 台榮,負債比率,20.3
1225 福懋油,負債比率,44.78
1227 佳格,負債比率,33.92
1229 聯華投控,負債比率,15.74
1231 聯華食,負債比率,52.56
1232 大統益,負債比率,30.91
1233 天仁,負債比率,28.5
1234 黑松,負債比率,19.99
1235 興泰,負債比率,34.79
1236 宏亞,負債比率,41.89
1240 茂生農經,負債比率,45.43
1256 鮮活果汁-KY,負債比率,46.57
1258 其祥-KY,負債比率,45.86
1259 安心,負債比率,38.38
1264 德麥,負債比率,17.85
1268 漢來美食,負債比率,54.27
1301 台塑,負債比率,31.29
1303 南亞,負債比率,34.65
1304 台聚,負債比率,48.35
1305 華夏,負債比率,41.72
1307 三芳,負債比率,41.52
1308 亞聚,負債比率,35.26
1309 台達化,負債比率,60.14
1310 台苯,負債比率,35.95
1312 國喬,負債比率,16.63
1313 聯成,負債比率,49.42
1314 中石化,負債比率,33.21
1315 達新,負債比率,23.81
1316 上曜,負債比率,53.96
1319 東陽,負債比率,44.74
1321 大洋,負債比率,55.43
1323 永裕,負債比率,47.32
1324 地球,負債比率,25.63
1325 恒大,負債比率,8.66
1326 台化,負債比率,30.27
1333 恩得利,負債比率,56.79
1336 台翰,負債比率,51.58
1337 再生-KY,負債比率,11.22
1338 廣華-KY,負債比率,30.76
1339 昭輝,負債比率,47.25
1340 勝悅-KY,負債比率,7.76
1341 富林-KY,負債比率,44.31
1402 遠東新,負債比率,50.88
1409 新纖,負債比率,74.29
1410 南染,負債比率,17.93
1413 宏洲,負債比率,66.16
1414 東和,負債比率,34.89
1416 廣豐,負債比率,52.76
1417 嘉裕,負債比率,25.2
