公司,Data Field,2015/12/31
1101 台泥,ROA－綜合損益,-0.2
1102 亞泥,ROA－綜合損益,0.39
1103 嘉泥,ROA－綜合損益,-16.23
1104 環泥,ROA－綜合損益,4.03
1108 幸福,ROA－綜合損益,5.71
1109 信大,ROA－綜合損益,-1.44
1110 東泥,ROA－綜合損益,-1.1
1201 味全,ROA－綜合損益,-6.15
1203 味王,ROA－綜合損益,3.98
1210 大成,ROA－綜合損益,0.71
1213 大飲,ROA－綜合損益,2
1215 卜蜂,ROA－綜合損益,0.93
1216 統一,ROA－綜合損益,4.37
1217 愛之味,ROA－綜合損益,0.26
1218 泰山,ROA－綜合損益,0.69
1219 福壽,ROA－綜合損益,0.58
1220 台榮,ROA－綜合損益,3.01
1225 福懋油,ROA－綜合損益,9.15
1227 佳格,ROA－綜合損益,13.24
1229 聯華投控,ROA－綜合損益,-1.31
1231 聯華食,ROA－綜合損益,5.32
1232 大統益,ROA－綜合損益,19.17
1233 天仁,ROA－綜合損益,10.23
1234 黑松,ROA－綜合損益,2.43
1235 興泰,ROA－綜合損益,6.37
1236 宏亞,ROA－綜合損益,7
1240 茂生農經,ROA－綜合損益,6.57
1256 鮮活果汁-KY,ROA－綜合損益,12.53
1258 其祥-KY,ROA－綜合損益,4.92
1259 安心,ROA－綜合損益,3.23
1264 德麥,ROA－綜合損益,15.89
1268 漢來美食,ROA－綜合損益,4.03
1301 台塑,ROA－綜合損益,3.03
1303 南亞,ROA－綜合損益,4.43
1304 台聚,ROA－綜合損益,1.02
1305 華夏,ROA－綜合損益,6.74
1307 三芳,ROA－綜合損益,9.13
1308 亞聚,ROA－綜合損益,-2.09
1309 台達化,ROA－綜合損益,-0.94
1310 台苯,ROA－綜合損益,6.75
1312 國喬,ROA－綜合損益,6.26
1313 聯成,ROA－綜合損益,-1.33
1314 中石化,ROA－綜合損益,-0.24
1315 達新,ROA－綜合損益,-0.52
1316 上曜,ROA－綜合損益,-4.72
1319 東陽,ROA－綜合損益,4.68
1321 大洋,ROA－綜合損益,0.06
1323 永裕,ROA－綜合損益,6.38
1324 地球,ROA－綜合損益,3.91
1325 恒大,ROA－綜合損益,4.23
1326 台化,ROA－綜合損益,3.51
1333 恩得利,ROA－綜合損益,-5.33
1336 台翰,ROA－綜合損益,-6.17
1337 再生-KY,ROA－綜合損益,1.81
1338 廣華-KY,ROA－綜合損益,7.78
1339 昭輝,ROA－綜合損益,9.82
1340 勝悅-KY,ROA－綜合損益,12.56
1341 富林-KY,ROA－綜合損益,0
1402 遠東新,ROA－綜合損益,1.98
1409 新纖,ROA－綜合損益,-0.21
