公司,Data Field,2013/12/31
1101 台泥,負債比率,45.66
1102 亞泥,負債比率,41.75
1103 嘉泥,負債比率,35.58
1104 環泥,負債比率,18.08
1108 幸福,負債比率,48.7
1109 信大,負債比率,26.88
1110 東泥,負債比率,8.25
1201 味全,負債比率,69.68
1203 味王,負債比率,37.34
1210 大成,負債比率,51.15
1213 大飲,負債比率,19.35
1215 卜蜂,負債比率,46.68
1216 統一,負債比率,62.71
1217 愛之味,負債比率,53.6
1218 泰山,負債比率,57.59
1219 福壽,負債比率,31.61
1220 台榮,負債比率,27.03
1225 福懋油,負債比率,56.83
1227 佳格,負債比率,31.81
1229 聯華投控,負債比率,19.27
1231 聯華食,負債比率,53.52
1232 大統益,負債比率,24.34
1233 天仁,負債比率,27.59
1234 黑松,負債比率,20.34
1235 興泰,負債比率,48.8
1236 宏亞,負債比率,46.35
1240 茂生農經,負債比率,64.67
1256 鮮活果汁-KY,負債比率,38.39
1258 其祥-KY,負債比率,27.63
1259 安心,負債比率,32.93
1264 德麥,負債比率,16.21
1268 漢來美食,負債比率,64.15
1301 台塑,負債比率,35.79
1303 南亞,負債比率,43.69
1304 台聚,負債比率,46.6
1305 華夏,負債比率,45.07
1307 三芳,負債比率,44.04
1308 亞聚,負債比率,9.46
1309 台達化,負債比率,67
1310 台苯,負債比率,41.07
1312 國喬,負債比率,26.88
1313 聯成,負債比率,57.8
1314 中石化,負債比率,25.21
1315 達新,負債比率,20.74
1316 上曜,負債比率,48.18
1319 東陽,負債比率,42.88
1321 大洋,負債比率,43.66
1323 永裕,負債比率,52.39
1324 地球,負債比率,25.84
1325 恒大,負債比率,9.76
1326 台化,負債比率,40.51
1333 恩得利,負債比率,52.36
1336 台翰,負債比率,41.73
1337 再生-KY,負債比率,29.07
1338 廣華-KY,負債比率,42.41
1339 昭輝,負債比率,42.65
1340 勝悅-KY,負債比率,16.12
1341 富林-KY,負債比率,0
1402 遠東新,負債比率,45.15
1409 新纖,負債比率,72.37
1410 南染,負債比率,17.95
1413 宏洲,負債比率,71.39
1414 東和,負債比率,26.19
1416 廣豐,負債比率,42.09
1417 嘉裕,負債比率,26.82
1418 東華,負債比率,55.96
1419 新紡,負債比率,32.04
1423 利華,負債比率,8.39
1432 大魯閣,負債比率,19.44
1434 福懋,負債比率,29.25
1435 中福,負債比率,15.24
1436 華友聯,負債比率,57.49
1437 勤益控,負債比率,52.17
1438 裕豐,負債比率,11.85
1439 中和,負債比率,7.32
1440 南紡,負債比率,28.51
1441 大東,負債比率,58
1442 名軒,負債比率,59.61
1443 立益,負債比率,73.48
1444 力麗,負債比率,21.22
1445 大宇,負債比率,17.5
1446 宏和,負債比率,51.68
1447 力鵬,負債比率,39.7
