證券代碼,Data Field,2014/12/31
1101 台泥,股價淨值比-TSE,1.44
1102 亞泥,股價淨值比-TSE,0.98
1103 嘉泥,股價淨值比-TSE,0.53
1104 環泥,股價淨值比-TSE,1.06
1108 幸福,股價淨值比-TSE,0.93
1109 信大,股價淨值比-TSE,0.96
1110 東泥,股價淨值比-TSE,1.09
1201 味全,股價淨值比-TSE,1.51
1203 味王,股價淨值比-TSE,1.34
1210 大成,股價淨值比-TSE,1.39
1213 大飲,股價淨值比-TSE,1.63
1215 卜蜂,股價淨值比-TSE,1.2
1216 統一,股價淨值比-TSE,3.12
1217 愛之味,股價淨值比-TSE,0.74
1218 泰山,股價淨值比-TSE,1.2
1219 福壽,股價淨值比-TSE,1.28
1220 台榮,股價淨值比-TSE,0.88
1225 福懋油,股價淨值比-TSE,1.84
1227 佳格,股價淨值比-TSE,4.44
1229 聯華投控,股價淨值比-TSE,0.84
1231 聯華食,股價淨值比-TSE,1.89
1232 大統益,股價淨值比-TSE,3.58
1233 天仁,股價淨值比-TSE,3.1
1234 黑松,股價淨值比-TSE,0.88
1235 興泰,股價淨值比-TSE,0.91
1236 宏亞,股價淨值比-TSE,1.39
1240 茂生農經,股價淨值比-TSE,0
1256 鮮活果汁-KY,股價淨值比-TSE,6.55
1258 其祥-KY,股價淨值比-TSE,1.3
1259 安心,股價淨值比-TSE,1.54
1264 德麥,股價淨值比-TSE,0
1268 漢來美食,股價淨值比-TSE,0
1301 台塑,股價淨值比-TSE,1.68
1303 南亞,股價淨值比-TSE,1.69
1304 台聚,股價淨值比-TSE,1.06
1305 華夏,股價淨值比-TSE,1.11
1307 三芳,股價淨值比-TSE,1.54
1308 亞聚,股價淨值比-TSE,1.31
1309 台達化,股價淨值比-TSE,0.9
1310 台苯,股價淨值比-TSE,1.3
1312 國喬,股價淨值比-TSE,1.01
1313 聯成,股價淨值比-TSE,0.71
1314 中石化,股價淨值比-TSE,0.88
1315 達新,股價淨值比-TSE,0.76
1316 上曜,股價淨值比-TSE,1.84
1319 東陽,股價淨值比-TSE,1.3
1321 大洋,股價淨值比-TSE,1.6
1323 永裕,股價淨值比-TSE,1.89
1324 地球,股價淨值比-TSE,1.1
1325 恒大,股價淨值比-TSE,1.17
1326 台化,股價淨值比-TSE,1.43
1333 恩得利,股價淨值比-TSE,1.81
1336 台翰,股價淨值比-TSE,0.57
1337 再生-KY,股價淨值比-TSE,0.95
1338 廣華-KY,股價淨值比-TSE,1.37
1339 昭輝,股價淨值比-TSE,3.78
1340 勝悅-KY,股價淨值比-TSE,1.99
1341 富林-KY,股價淨值比-TSE,0
1402 遠東新,股價淨值比-TSE,0.84
1409 新纖,股價淨值比-TSE,0.7
1410 南染,股價淨值比-TSE,1.64
1413 宏洲,股價淨值比-TSE,0.8
1414 東和,股價淨值比-TSE,0.59
1416 廣豐,股價淨值比-TSE,0.97
1417 嘉裕,股價淨值比-TSE,0.64
1418 東華,股價淨值比-TSE,1.11
1419 新紡,股價淨值比-TSE,1.64
1423 利華,股價淨值比-TSE,0.54
1432 大魯閣,股價淨值比-TSE,1.43
1434 福懋,股價淨值比-TSE,1.06
1435 中福,股價淨值比-TSE,0.8
1436 華友聯,股價淨值比-TSE,1.22
1437 勤益控,股價淨值比-TSE,0.9
1438 裕豐,股價淨值比-TSE,1.25
1439 中和,股價淨值比-TSE,0.66
1440 南紡,股價淨值比-TSE,1.22
1441 大東,股價淨值比-TSE,0.86
1442 名軒,股價淨值比-TSE,1.27
1443 立益,股價淨值比-TSE,0.69
1444 力麗,股價淨值比-TSE,0.76
1445 大宇,股價淨值比-TSE,0.68
1446 宏和,股價淨值比-TSE,2.2
1447 力鵬,股價淨值比-TSE,0.95
1449 佳和,股價淨值比-TSE,0.51
1451 年興,股價淨值比-TSE,1.14
1452 宏益,股價淨值比-TSE,0.8
1453 大將,股價淨值比-TSE,0.85
1454 台富,股價淨值比-TSE,0.64
1455 集盛,股價淨值比-TSE,0.75
1456 怡華,股價淨值比-TSE,1.56
1457 宜進,股價淨值比-TSE,0.59
1459 聯發,股價淨值比-TSE,0.84
1460 宏遠,股價淨值比-TSE,1.5
1463 強盛,股價淨值比-TSE,1.4
1464 得力,股價淨值比-TSE,1.17
1465 偉全,股價淨值比-TSE,0.99
1466 聚隆,股價淨值比-TSE,1.08
1467 南緯,股價淨值比-TSE,1.18
1468 昶和,股價淨值比-TSE,1.38
1470 大統新創,股價淨值比-TSE,1.73
1471 首利,股價淨值比-TSE,0.7
1472 三洋紡,股價淨值比-TSE,5.11
1473 台南,股價淨值比-TSE,0.96
1474 弘裕,股價淨值比-TSE,0.62
1475 本盟,股價淨值比-TSE,2.57
1476 儒鴻,股價淨值比-TSE,9.88
1477 聚陽,股價淨值比-TSE,4.21
1503 士電,股價淨值比-TSE,0.99
1504 東元,股價淨值比-TSE,1.29
1506 正道,股價淨值比-TSE,2.31
1507 永大,股價淨值比-TSE,2.96
1512 瑞利,股價淨值比-TSE,0.65
1513 中興電,股價淨值比-TSE,1.18
1514 亞力,股價淨值比-TSE,0.7
1515 力山,股價淨值比-TSE,0.88
1516 川飛,股價淨值比-TSE,1.53
1517 利奇,股價淨值比-TSE,0.95
1519 華城,股價淨值比-TSE,1.37
1521 大億,股價淨值比-TSE,3.37
1522 堤維西,股價淨值比-TSE,1.23
1524 耿鼎,股價淨值比-TSE,0.66
1525 江申,股價淨值比-TSE,1.47
1526 日馳,股價淨值比-TSE,1.28
1527 鑽全,股價淨值比-TSE,2.56
1528 恩德,股價淨值比-TSE,0.83
1529 樂士,股價淨值比-TSE,2.4
1530 亞崴,股價淨值比-TSE,1.58
1531 高林股,股價淨值比-TSE,1.13
1532 勤美,股價淨值比-TSE,1.04
1533 車王電,股價淨值比-TSE,2.8
1535 中宇,股價淨值比-TSE,2.52
1536 和大,股價淨值比-TSE,4.29
1537 廣隆,股價淨值比-TSE,2.81
1538 正峰新,股價淨值比-TSE,1
1539 巨庭,股價淨值比-TSE,1.47
1540 喬福,股價淨值比-TSE,1.36
1541 錩泰,股價淨值比-TSE,1.33
1558 伸興,股價淨值比-TSE,2.55
1560 中砂,股價淨值比-TSE,2.5
1565 精華,股價淨值比-TSE,6.65
1568 倉佑,股價淨值比-TSE,1.72
1569 濱川,股價淨值比-TSE,0.87
1570 力肯,股價淨值比-TSE,1.45
1580 新麥,股價淨值比-TSE,5.91
1582 信錦,股價淨值比-TSE,1.87
1583 程泰,股價淨值比-TSE,2.57
1584 精剛,股價淨值比-TSE,0.84
1586 和勤,股價淨值比-TSE,1.3
1587 吉茂,股價淨值比-TSE,0
1589 永冠-KY,股價淨值比-TSE,1.92
1590 亞德客-KY,股價淨值比-TSE,5.27
1591 駿吉-KY,股價淨值比-TSE,3.11
1592 英瑞-KY,股價淨值比-TSE,1.1
1593 祺驊,股價淨值比-TSE,1.85
1595 川寶,股價淨值比-TSE,1.74
1597 直得,股價淨值比-TSE,1.84
1598 岱宇,股價淨值比-TSE,0
1599 宏佳騰,股價淨值比-TSE,1.39
