公司,Data Field,2013/12/31
1101 台泥,ROA－綜合損益,7.63
1102 亞泥,ROA－綜合損益,5.81
1103 嘉泥,ROA－綜合損益,16.52
1104 環泥,ROA－綜合損益,10.38
1108 幸福,ROA－綜合損益,1.76
1109 信大,ROA－綜合損益,4.39
1110 東泥,ROA－綜合損益,3.86
1201 味全,ROA－綜合損益,2.26
1203 味王,ROA－綜合損益,4.4
1210 大成,ROA－綜合損益,7.23
1213 大飲,ROA－綜合損益,2.06
1215 卜蜂,ROA－綜合損益,3.17
1216 統一,ROA－綜合損益,6.64
1217 愛之味,ROA－綜合損益,-0.41
1218 泰山,ROA－綜合損益,-1.48
1219 福壽,ROA－綜合損益,0.39
1220 台榮,ROA－綜合損益,2.21
1225 福懋油,ROA－綜合損益,1.36
1227 佳格,ROA－綜合損益,13.6
1229 聯華投控,ROA－綜合損益,7.68
1231 聯華食,ROA－綜合損益,6.68
1232 大統益,ROA－綜合損益,15.81
1233 天仁,ROA－綜合損益,10.2
1234 黑松,ROA－綜合損益,0.94
1235 興泰,ROA－綜合損益,-6.86
1236 宏亞,ROA－綜合損益,5.74
1240 茂生農經,ROA－綜合損益,0
1256 鮮活果汁-KY,ROA－綜合損益,27.62
1258 其祥-KY,ROA－綜合損益,5.68
1259 安心,ROA－綜合損益,1.14
1264 德麥,ROA－綜合損益,23.1
1268 漢來美食,ROA－綜合損益,0
1301 台塑,ROA－綜合損益,11.58
1303 南亞,ROA－綜合損益,8.71
1304 台聚,ROA－綜合損益,3.52
1305 華夏,ROA－綜合損益,7.18
1307 三芳,ROA－綜合損益,7.81
1308 亞聚,ROA－綜合損益,1.9
1309 台達化,ROA－綜合損益,0.59
1310 台苯,ROA－綜合損益,15.99
1312 國喬,ROA－綜合損益,12.77
1313 聯成,ROA－綜合損益,4.19
1314 中石化,ROA－綜合損益,7.92
1315 達新,ROA－綜合損益,5.99
1316 上曜,ROA－綜合損益,-7.45
1319 東陽,ROA－綜合損益,6.28
1321 大洋,ROA－綜合損益,0.77
1323 永裕,ROA－綜合損益,9.42
1324 地球,ROA－綜合損益,4.93
1325 恒大,ROA－綜合損益,4.44
1326 台化,ROA－綜合損益,8.73
1333 恩得利,ROA－綜合損益,-0.16
1336 台翰,ROA－綜合損益,2.01
1337 再生-KY,ROA－綜合損益,15
1338 廣華-KY,ROA－綜合損益,9.56
1339 昭輝,ROA－綜合損益,7.87
1340 勝悅-KY,ROA－綜合損益,27.55
1341 富林-KY,ROA－綜合損益,0
1402 遠東新,ROA－綜合損益,5.21
1409 新纖,ROA－綜合損益,2.69
1410 南染,ROA－綜合損益,6.26
1413 宏洲,ROA－綜合損益,-7.61
1414 東和,ROA－綜合損益,3.18
1416 廣豐,ROA－綜合損益,1.43
1417 嘉裕,ROA－綜合損益,1.96
1418 東華,ROA－綜合損益,-6.09
1419 新紡,ROA－綜合損益,7.71
1423 利華,ROA－綜合損益,1.53
1432 大魯閣,ROA－綜合損益,-5
1434 福懋,ROA－綜合損益,1.6
1435 中福,ROA－綜合損益,-1
1436 華友聯,ROA－綜合損益,-0.32
1437 勤益控,ROA－綜合損益,-5.18
1438 裕豐,ROA－綜合損益,5
1439 中和,ROA－綜合損益,0.07
1440 南紡,ROA－綜合損益,5.37
1441 大東,ROA－綜合損益,-0.62
1442 名軒,ROA－綜合損益,11.54
1443 立益,ROA－綜合損益,-3.8
1444 力麗,ROA－綜合損益,5.79
1445 大宇,ROA－綜合損益,3.43
1446 宏和,ROA－綜合損益,-0.31
1447 力鵬,ROA－綜合損益,7.08
1449 佳和,ROA－綜合損益,4.53
1451 年興,ROA－綜合損益,9.51
1452 宏益,ROA－綜合損益,7.41
1453 大將,ROA－綜合損益,2.39
1454 台富,ROA－綜合損益,5.45
1455 集盛,ROA－綜合損益,2.69
1456 怡華,ROA－綜合損益,0.06
1457 宜進,ROA－綜合損益,2.73
1459 聯發,ROA－綜合損益,3.59
1460 宏遠,ROA－綜合損益,3.26
1463 強盛,ROA－綜合損益,2.1
1464 得力,ROA－綜合損益,1
1465 偉全,ROA－綜合損益,7.1
1466 聚隆,ROA－綜合損益,3.35
1467 南緯,ROA－綜合損益,0.37
1468 昶和,ROA－綜合損益,-1.44
1470 大統新創,ROA－綜合損益,2.91
1471 首利,ROA－綜合損益,2.91
1472 三洋紡,ROA－綜合損益,-9.97
1473 台南,ROA－綜合損益,0.71
1474 弘裕,ROA－綜合損益,2.65
1475 本盟,ROA－綜合損益,-23.1
1476 儒鴻,ROA－綜合損益,24.57
1477 聚陽,ROA－綜合損益,15.59
1503 士電,ROA－綜合損益,4.82
1504 東元,ROA－綜合損益,6.64
1506 正道,ROA－綜合損益,-3.51
1507 永大,ROA－綜合損益,7.71
1512 瑞利,ROA－綜合損益,-0.78
1513 中興電,ROA－綜合損益,7.08
1514 亞力,ROA－綜合損益,2.12
1515 力山,ROA－綜合損益,8.28
1516 川飛,ROA－綜合損益,2.71
1517 利奇,ROA－綜合損益,9.41
1519 華城,ROA－綜合損益,2.63
1521 大億,ROA－綜合損益,9.73
1522 堤維西,ROA－綜合損益,1.72
1524 耿鼎,ROA－綜合損益,-0.9
1525 江申,ROA－綜合損益,12.18
1526 日馳,ROA－綜合損益,3.84
1527 鑽全,ROA－綜合損益,3.76
1528 恩德,ROA－綜合損益,3.19
1529 樂士,ROA－綜合損益,-12.84
1530 亞崴,ROA－綜合損益,5.81
1531 高林股,ROA－綜合損益,7.44
1532 勤美,ROA－綜合損益,11.89
1533 車王電,ROA－綜合損益,6.02
1535 中宇,ROA－綜合損益,9.09
1536 和大,ROA－綜合損益,8.4
1537 廣隆,ROA－綜合損益,16.68
1538 正峰新,ROA－綜合損益,-18.01
1539 巨庭,ROA－綜合損益,5.37
1540 喬福,ROA－綜合損益,6.77
1541 錩泰,ROA－綜合損益,-1.32
1558 伸興,ROA－綜合損益,15.83
1560 中砂,ROA－綜合損益,10.27
1565 精華,ROA－綜合損益,28.01
1568 倉佑,ROA－綜合損益,3.78
1569 濱川,ROA－綜合損益,1.38
1570 力肯,ROA－綜合損益,13.79
1580 新麥,ROA－綜合損益,21.04
1582 信錦,ROA－綜合損益,11.78
1583 程泰,ROA－綜合損益,6.65
1584 精剛,ROA－綜合損益,-5.41
1586 和勤,ROA－綜合損益,4.45
1587 吉茂,ROA－綜合損益,6.92
1589 永冠-KY,ROA－綜合損益,9.26
1590 亞德客-KY,ROA－綜合損益,16.3
1591 駿吉-KY,ROA－綜合損益,6.95
1592 英瑞-KY,ROA－綜合損益,10.35
1593 祺驊,ROA－綜合損益,5.8
1595 川寶,ROA－綜合損益,11.39
1597 直得,ROA－綜合損益,2.5
1598 岱宇,ROA－綜合損益,1.07
1599 宏佳騰,ROA－綜合損益,5.97
1603 華電,ROA－綜合損益,4.07
1604 聲寶,ROA－綜合損益,5.52
1605 華新,ROA－綜合損益,1.85
1608 華榮,ROA－綜合損益,7.38
1609 大亞,ROA－綜合損益,1.31
1611 中電,ROA－綜合損益,-4.43
1612 宏泰,ROA－綜合損益,0.39
1614 三洋電,ROA－綜合損益,3.84
