證券代碼,Data Field,2013/12/31
1101 台泥,CAPM_Beta 一年,1.0916
1102 亞泥,CAPM_Beta 一年,0.6781
1103 嘉泥,CAPM_Beta 一年,0.5647
1104 環泥,CAPM_Beta 一年,0.6908
1108 幸福,CAPM_Beta 一年,0.4213
1109 信大,CAPM_Beta 一年,0.2901
1110 東泥,CAPM_Beta 一年,0.7387
1201 味全,CAPM_Beta 一年,0.9689
1203 味王,CAPM_Beta 一年,0.4883
1210 大成,CAPM_Beta 一年,0.4708
1213 大飲,CAPM_Beta 一年,0.5576
1215 卜蜂,CAPM_Beta 一年,0.459
1216 統一,CAPM_Beta 一年,0.9005
1217 愛之味,CAPM_Beta 一年,0.5849
1218 泰山,CAPM_Beta 一年,0.4656
1219 福壽,CAPM_Beta 一年,0.195
1220 台榮,CAPM_Beta 一年,0.2116
1225 福懋油,CAPM_Beta 一年,0.2817
1227 佳格,CAPM_Beta 一年,0.6873
1229 聯華投控,CAPM_Beta 一年,0.3013
1231 聯華食,CAPM_Beta 一年,0.7378
1232 大統益,CAPM_Beta 一年,0.2997
1233 天仁,CAPM_Beta 一年,0.2252
1234 黑松,CAPM_Beta 一年,0.6804
1235 興泰,CAPM_Beta 一年,0.2045
1236 宏亞,CAPM_Beta 一年,0.4375
1240 茂生農經,CAPM_Beta 一年,0
1256 鮮活果汁-KY,CAPM_Beta 一年,1.2184
1258 其祥-KY,CAPM_Beta 一年,0.2449
1259 安心,CAPM_Beta 一年,0.4191
1264 德麥,CAPM_Beta 一年,0
1268 漢來美食,CAPM_Beta 一年,0
1301 台塑,CAPM_Beta 一年,1.1171
1303 南亞,CAPM_Beta 一年,1.4229
1304 台聚,CAPM_Beta 一年,0.5802
1305 華夏,CAPM_Beta 一年,0.6962
1307 三芳,CAPM_Beta 一年,0.4829
1308 亞聚,CAPM_Beta 一年,0.7128
1309 台達化,CAPM_Beta 一年,0.3567
1310 台苯,CAPM_Beta 一年,0.8611
1312 國喬,CAPM_Beta 一年,0.7614
1313 聯成,CAPM_Beta 一年,0.3445
1314 中石化,CAPM_Beta 一年,0.8518
1315 達新,CAPM_Beta 一年,0.413
1316 上曜,CAPM_Beta 一年,0.6104
1319 東陽,CAPM_Beta 一年,0.8292
1321 大洋,CAPM_Beta 一年,0.8066
1323 永裕,CAPM_Beta 一年,0.6896
1324 地球,CAPM_Beta 一年,0.3911
1325 恒大,CAPM_Beta 一年,-0.2989
1326 台化,CAPM_Beta 一年,1.2518
1333 恩得利,CAPM_Beta 一年,0.6873
1336 台翰,CAPM_Beta 一年,0.5871
1337 再生-KY,CAPM_Beta 一年,0.616
1338 廣華-KY,CAPM_Beta 一年,0.404
1339 昭輝,CAPM_Beta 一年,0.0954
1340 勝悅-KY,CAPM_Beta 一年,0
1341 富林-KY,CAPM_Beta 一年,0
1402 遠東新,CAPM_Beta 一年,0.8574
1409 新纖,CAPM_Beta 一年,0.6342
1410 南染,CAPM_Beta 一年,0.8795
1413 宏洲,CAPM_Beta 一年,0.3828
1414 東和,CAPM_Beta 一年,0.5466
1416 廣豐,CAPM_Beta 一年,0.4936
1417 嘉裕,CAPM_Beta 一年,0.533
1418 東華,CAPM_Beta 一年,0.3392
1419 新紡,CAPM_Beta 一年,0.3855
1423 利華,CAPM_Beta 一年,0.2375
1432 大魯閣,CAPM_Beta 一年,0.2881
1434 福懋,CAPM_Beta 一年,0.805
1435 中福,CAPM_Beta 一年,0.7752
1436 華友聯,CAPM_Beta 一年,0.1828
1437 勤益控,CAPM_Beta 一年,0.7545
1438 裕豐,CAPM_Beta 一年,0.2066
1439 中和,CAPM_Beta 一年,0.5136
1440 南紡,CAPM_Beta 一年,0.7673
1441 大東,CAPM_Beta 一年,0.6404
1442 名軒,CAPM_Beta 一年,0.2225
1443 立益,CAPM_Beta 一年,0.7088
1444 力麗,CAPM_Beta 一年,0.4622
1445 大宇,CAPM_Beta 一年,0.485
1446 宏和,CAPM_Beta 一年,0.6254
