證券代碼,Data Field,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31
1101 台泥,月報酬率 %,-2.642,-4.6134,0.7112,6.356,-3.5857,-3.3059,-1.9943,2.3256,3.6049,-0.4287,-3.0131,-0.8876
1101 台泥,現股當沖比重,1.93,4.64,2.09,1.53,1.53,0.24,1.12,0.3,1.18,2.91,0.13,4.77
1102 亞泥,月報酬率 %,1.8149,-6.0605,1.5182,13.645,0.6581,-2.6143,-6.5434,-6.2837,2.2988,5.8617,-1.8279,0.1862
1102 亞泥,現股當沖比重,1.17,0.78,0.68,1.13,2.57,0.47,5.68,2.39,1.21,4.44,0.97,7.07
1103 嘉泥,月報酬率 %,-0.3363,-1.7998,10.0802,21.2278,-5.1503,-2.2625,-1.8518,2.3587,-1.3825,14.6738,2.9046,-2.4195
1103 嘉泥,現股當沖比重,0.87,0,6.92,10.83,0.37,8.29,18.51,1.1,0.77,8.35,1.42,4.84
1104 環泥,月報酬率 %,0.8146,-0.4042,-0.2027,7.1139,1.3282,-2.2471,0.3831,-4.1986,-2.6119,1.7699,0.8696,0.6465
1104 環泥,現股當沖比重,1.93,0,0,13.27,0.4,0,0,0,0.6,0,0,1.86
1108 幸福,月報酬率 %,2.0927,-1.6183,0.4383,10.8079,-1.9704,-3.1156,-1.0374,-0.734,0.1126,-0.7884,-1.2487,0.1147
1108 幸福,現股當沖比重,0,0,0,4.94,0,0,0,0,0,0,0,0
1109 信大,月報酬率 %,-0.5001,0.5025,0.5,3.4826,-0.9617,-0.971,-0.4902,2.4627,0.476,10.6279,3.9303,7.2512
1109 信大,現股當沖比重,0,0,7.99,0,0,9.21,0,0,0,0,0,4.93
1110 東泥,月報酬率 %,0.0003,5.9605,-0.6249,0.3143,2.5078,-0.9176,-1.8518,-3.1446,-0.3248,-1.3115,-0.3324,-2.6667
1110 東泥,現股當沖比重,6.76,1.18,10.06,3.25,0,0,32.14,32,7.14,0,36.34,12.5
1201 味全,月報酬率 %,0.8378,-3.047,4.8571,3.5422,-4.2106,1.6485,4.5945,-2.5841,-1.3263,4.0324,-2.0672,6.5964
1201 味全,現股當沖比重,1.85,1.64,1.08,2.65,1.03,0,0,0,0,0,0,0
1203 味王,月報酬率 %,2.0454,2.4499,0.2173,4.1214,-0.2083,-0.4176,6.9183,-2.745,-1.0081,1.8077,0.0001,3.9584
1203 味王,現股當沖比重,0,0,0,1.93,0,0,14.62,27.42,0,0,0,6.18
1210 大成,月報酬率 %,2.4349,-1.1884,-1.0309,0.8683,-0.8604,1.389,9.5891,0.9375,1.3934,-0.871,4.2003,6.3568
1210 大成,現股當沖比重,2.58,1.12,1.73,5.32,0.95,3.36,11.46,6.86,5.49,12.13,9.74,18.88
1213 大飲,月報酬率 %,5.0315,0.5987,1.488,4.6921,0.2801,-3.3518,-0.0002,-2.0231,-7.9647,-0.6409,-1.9357,0.3286
1213 大飲,現股當沖比重,0,0,0,0,0,0,2.35,0,27.78,2.78,0,0
1215 卜蜂,月報酬率 %,2.1133,-2.2876,3.6791,3.8711,12.2155,4.9815,18.2779,10.8472,-3.8346,-4.7895,-1.9816,-0.9332
