證券代碼,Data Field,2015/7/31,2015/8/31,2015/9/30,2015/10/30,2015/11/30,2015/12/31,2016/1/30,2016/2/26,2016/3/31,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31
1240 茂生農經,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240 茂生農經,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258 其祥-KY,月報酬率 %,-6.1653,-14.2526,28.3785,-11.1578,-7.4644,3.4573,-2.4754,19.2894,-17.3406,-3.2175,1.3297,1.8373,5.7435,0.3792
1258 其祥-KY,現股當沖比重,0,0,0,0,0,0,0,13.4,9.52,0,4.44,0,4.08,1.43
1259 安心,月報酬率 %,-3.6109,-1.1399,-3.6245,6.8377,1.12,15.3478,-3.9778,3.1429,-1.5234,-0.7033,1.2745,3.3621,3.3754,17.0067
1259 安心,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,3.11,0,1.99
1264 德麥,月報酬率 %,-8.5713,-11.1979,7.038,4.3835,-2.887,-1.8918,-2.7548,13.3144,-3.5,-1.5544,3.6843,0.3145,-1.8766,0.8196
1264 德麥,現股當沖比重,0,4.74,8.33,0,0,2.26,0,5.22,0,0,0,0,0,3.97
1268 漢來美食,月報酬率 %,0,0,0,0,0,20,-2.7722,2.2799,-5.0281,5.8823,1.4944,-5.4794,-1.5577,4.0063
1268 漢來美食,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333 恩得利,月報酬率 %,-4.3321,-2.8301,1.5533,-2.2945,9.589,-7.1428,-5.1921,0.4057,-5.0506,-22.3404,-28.4931,-2.299,33.3334,-2.059
1333 恩得利,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1336 台翰,月報酬率 %,-18.9473,-5.5845,16.0935,-1.0663,-8.7427,7.8739,-5.2311,5.6482,-2.9164,-2.378,6.0256,25.7558,4.3269,-9.6774
1336 台翰,現股當沖比重,0,0,0,0,0,0,0,0,0,2.7,0,0,13.01,0
1565 精華,月報酬率 %,-16.2932,-16.4722,24.458,22.388,27.0324,5.76,-3.9336,-6.4568,10.6061,-8.067,17.3839,1.9746,9.8111,1.4267
