證券代碼,Data Field,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31
1240 茂生農經,月報酬率 %,0,0,0,0,0,0,0,0,37.5674,-5.3876,2.5754,-0.5107
1240 茂生農經,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1258 其祥-KY,月報酬率 %,3.5425,2.5,1.4122,1.6456,-9.9626,-0.6917,2.0891,2.8649,-2.7747,-5.2334,-2.9852,0.6155
1258 其祥-KY,現股當沖比重,0,1.98,7.3,4.17,0,0,0,0,0,0,0,0
1259 安心,月報酬率 %,0.2522,-3.7737,-1.9609,4.8001,-1.3995,-1.9354,18.421,10.7166,-6.7218,-2.7715,-5.4732,0.7237
1259 安心,現股當沖比重,0,0,0,0,0,0,5.68,11.76,0,0,0,15.32
1264 德麥,月報酬率 %,6.3325,-0.0001,0.9925,7.8625,7.9726,4.2194,1.8217,0.5965,1.8121,-1.7739,1.1287,-0.2233
1264 德麥,現股當沖比重,0,0,0,0,2.76,0,2.36,1.09,0,0,0,0
1268 漢來美食,月報酬率 %,-0.9383,-0.3117,-0.0002,-0.6253,7.8686,-1.4577,12.4262,-2.6317,5.5199,2.7173,13.3333,-4.4118
1268 漢來美食,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1333 恩得利,月報酬率 %,-8.2502,-2.9974,-3.9325,14.3276,-14.5779,26.3475,4.2654,-1.3635,-11.0598,-3.6272,7.527,-9.25
1333 恩得利,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1336 台翰,月報酬率 %,-5.9903,13.1339,-6.7817,21.8247,18.4209,3.4187,37.1901,6.6265,-3.3896,0.5848,24.709,-7.6924
1336 台翰,現股當沖比重,0,0,21.72,0,12.5,1.5,33.47,17.41,11.92,5.74,22.95,17.11
1565 精華,月報酬率 %,-7.9939,0.8198,-3.5772,-11.4672,17.143,-5.0406,-1.8838,10.9949,-2.201,15.0683,-6.3953,14.4411
1565 精華,現股當沖比重,14.26,10.41,8.29,16.18,7.25,10.89,7.29,15.92,9.69,15.28,0,18.32
1569 濱川,月報酬率 %,26.355,-5.0296,-8.0997,2.0338,-5.8141,37.7424,-2.9448,-1.8469,19.6236,-16.4045,9.2865,-4.3479
1569 濱川,現股當沖比重,27.97,20.37,21.31,17.19,46.2,44.64,14.05,16.36,48.14,8.44,35.43,11.47
1570 力肯,月報酬率 %,0.3558,-0.7093,1.4286,-2.1125,-0.3597,-0.361,7.2463,-0.3376,1.6948,12.7589,-1.5291,5.9006
1570 力肯,現股當沖比重,7.87,0,0,0,2.11,0,0,0,0,5.53,3.12,1.14
1580 新麥,月報酬率 %,3.7159,-7.8175,0.3534,-4.9296,2.9632,-0.0001,20.144,6.5868,0.5617,-5.598,-4.0373,-0.9709
1580 新麥,現股當沖比重,12.97,5.02,10.49,0,0,5.03,0.61,0,1.8,3.12,14.22,0
1584 精剛,月報酬率 %,-5.573,-8.3335,10.4895,-3.7976,15.1316,-6.2857,-22.5611,-4.7243,14.0496,-7.9711,-6.6928,-2.5315
1584 精剛,現股當沖比重,3.59,13.95,15.99,49.74,17.28,59.37,38.77,5,27.5,5.99,16.05,5.78
1586 和勤,月報酬率 %,1.3824,6.8181,-2.1277,16.7392,8.7522,-1.3698,0.6944,0.6897,-2.3972,16.3156,34.8415,-2.4608
1586 和勤,現股當沖比重,1.77,24.98,2.57,3.6,1.99,2.75,17.66,0,24.48,3.74,17.45,34.87
1591 駿吉-KY,月報酬率 %,-10.8927,-4.2084,-10.042,8.8373,-9.6155,1.182,31.3085,6.5834,0.0001,10.551,-0.3323,14.3334
1591 駿吉-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1593 祺驊,月報酬率 %,4.1997,0.0001,-0.8817,0.6353,1.515,10.945,-8.9686,1.1085,1.2168,4.6692,4.0892,0.9524
1593 祺驊,現股當沖比重,5,0,0,0,0,14.48,0,0,0,7.11,11.62,6.24
1595 川寶,月報酬率 %,-2.0888,6.5334,2.1276,15.4411,10.1908,-2.1196,0.3935,-0.3921,33.1319,1.0639,1.2032,2.0937
1595 川寶,現股當沖比重,0,0,0,1.01,0,0,3.33,1.99,38.28,2.7,3.17,4.46
1597 直得,月報酬率 %,-3.195,8.9113,-5.606,12.0388,2.0056,-3.5112,40.3203,4.5641,12.2564,31.655,18.7157,11.6224
1597 直得,現股當沖比重,10.48,25.26,1.94,4.34,9.09,9.56,25.78,31.59,31.15,31.5,45.09,41.07
1599 宏佳騰,月報酬率 %,-0.0001,-0.804,-1.1146,3.4835,7.1288,-3.8815,-2.6924,1.1859,0.0001,9.514,-8.2134,-4.4741
1599 宏佳騰,現股當沖比重,4.57,7.06,1.34,5.5,4.56,1.41,1.07,2.1,3.1,1.81,15.55,9.36
1742 台蠟,月報酬率 %,-11.7188,-1.7701,7.2073,7.5629,-8.5939,-5.5556,0.4525,0.9009,-2.6785,-3.6696,1.9047,-0.0001
1742 台蠟,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1752 南光,月報酬率 %,-7.8627,11.4666,-3.3492,5.9407,-1.9858,-4.5292,-0.1251,2.1249,-3.4273,-0.353,-3.3155,-2.0578
1752 南光,現股當沖比重,2.83,16.29,1.83,8.37,1.01,5.56,5.14,6.55,2.46,27.68,0,1.25
1777 生泰,月報酬率 %,1.1258,-1.6192,-3.8066,6.738,-2.9058,-6.192,-3.1906,2.4998,0.5544,-0.0002,0.5732,-2.0524
1777 生泰,現股當沖比重,0,6.9,7.14,3.48,13.88,22.76,37.14,14.29,0,10.71,0,19.35
1781 合世,月報酬率 %,-1.3297,5.1213,-3.5898,6.117,-5.0126,-13.1927,-10.3344,8.8136,-7.7883,-2.3649,-11.0724,-1.1674
1781 合世,現股當沖比重,13.16,7.32,42.54,24.71,24.99,0,0,0,0,0,0,0
1784 訊聯,月報酬率 %,-0.6524,-0.4926,-2.6401,4.2374,-7.1545,-2.9773,-2.3465,6.4694,5.9028,-6.885,-1.4085,-0.3572
1784 訊聯,現股當沖比重,7.87,21.86,0,3.47,3.57,0,2.77,20.85,11.83,35.39,14.27,1.35
1785 光洋科,月報酬率 %,0,0,96.5714,-12.2091,-13.2449,-14.1222,2.6665,8.6582,4.7809,10.2664,-2.7244,-10.6251
1785 光洋科,現股當沖比重,0,0,24.23,20.59,12.8,0,0,0,9.05,19.63,12.24,4.86
1787 福盈科,月報酬率 %,2.0737,-1.5802,1.6057,1.8058,6.8737,3.3195,-2.6103,2.6804,-0.4059,11.0629,-8.7889,2.9978
1787 福盈科,現股當沖比重,4.17,4.82,2.22,0.83,1.12,0,0,3.51,0,14.69,1.72,1.58
1788 杏昌,月報酬率 %,-0.7849,3.9548,2.7175,4.0212,0.7121,-0.2019,-1.417,-0.3849,0.7601,-0.2155,0.432,3.3335
1788 杏昌,現股當沖比重,0,0,4.55,7.12,14.28,0,0,0,0,8.33,0,0
1795 美時,月報酬率 %,-12.2163,19.0853,2.6711,6.3415,-13.4557,-5.4771,1.3085,5.3505,-5.7793,-5.9482,-4.743,-1.7634
1795 美時,現股當沖比重,7.46,21.16,4.6,3.67,9.67,7.16,3.69,20.08,15.29,28.45,11.63,7.58
1796 金穎生技,月報酬率 %,-10.5742,0.3507,-6.0242,5.8973,3.5111,-0.0701,-6.25,1.3733,-1.4472,-17.6925,-22.43,8.4338
1796 金穎生技,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1799 易威,月報酬率 %,3.3377,-16.5323,0.2415,9.8796,4.3858,-7.1431,4.5247,10.3896,-5.098,-1.6529,-4.6217,-3.0838
1799 易威,現股當沖比重,7.16,3,0,9.71,2.79,5.75,2.23,17.73,2.16,15.94,7.61,5.26
1813 寶利徠,月報酬率 %,5.0327,-2.2917,2.1321,1.4614,-3.292,0.4258,-2.1186,-1.2987,2.2229,-4.2601,-4.2155,-1.2225
1813 寶利徠,現股當沖比重,0,0,0,15.71,0,7.69,18.7,10,14.16,3.21,9.68,0
1815 富喬,月報酬率 %,-6.1303,8.5715,9.3985,19.9315,-9.169,-2.2082,-7.4195,0,4.2294,14.5329,-9.6677,6.3543
1815 富喬,現股當沖比重,0.18,23.25,8.13,11.58,8.89,21.55,5.97,13,9.41,18.27,14.28,10.29
2035 唐榮,月報酬率 %,-0.6322,-0.8484,2.4599,3.3404,-1.0101,-1.5305,-2.4868,-0.744,-0.8564,1.5116,-2.1276,-1.7392
2035 唐榮,現股當沖比重,0,0,0,0,0,0,38.48,0,0,0,17.65,20
2061 風青,月報酬率 %,9.3949,0.0001,4.4707,9.1216,-0.4127,-5.6994,18.132,-6.0466,15.8416,-8.1198,4.6511,-6.2223
2061 風青,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
2063 世鎧,月報酬率 %,0.0002,-4.2555,0.5414,3.4109,-1.0418,-0.3509,-1.9367,-0.462,4.8963,9.5152,28.0327,-6.5302
2063 世鎧,現股當沖比重,0,0,0,0,0,2.76,0,0,0,9.46,4.3,5.41
2064 晉椿,月報酬率 %,0.0002,3.0959,2.102,1.7645,16.4739,-1.737,-5.0505,3.1917,-2.8142,-0.8619,1.1595,1.4327
2064 晉椿,現股當沖比重,0,0,0,0,3.45,0,0,0,0,0,0,0
2065 世豐,月報酬率 %,-1.25,4.2786,2.2092,3.0879,18.2257,33.3851,-13.6206,7.8167,-11.1525,-14.4377,-7.2823,19.9234
2065 世豐,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
2066 世德,月報酬率 %,-2.2422,1.8348,-0.9009,-3.1817,-5.6336,3.9799,-1.4354,-0.0002,-2.4271,3.7712,1.7121,-2.0793
2066 世德,現股當沖比重,4.08,0,1.75,0,4.22,5.26,21.38,32.43,8,4.86,2.48,18.18
2067 嘉鋼,月報酬率 %,-5.7192,-7.2915,1.1237,-0.7408,-1.8657,-3.422,-9.4489,7.3912,-6.0729,0.4307,8.1545,-3.9682
2067 嘉鋼,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
2070 精湛,月報酬率 %,-2.4045,0,1.4493,2.1429,-9.077,1.6766,-7.7155,2.9321,-11.8551,1.9268,-2.198,-1.4172
2070 精湛,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
2221 大甲,月報酬率 %,2.6315,19.3734,-6.6826,13.8108,26.5169,-12.9663,-3.0613,-2.737,9.3072,4.7443,1.9881,15.3999
2221 大甲,現股當沖比重,15.89,17.72,8.51,4.43,8.84,8.53,0,10.64,11.25,5.66,3.62,14.52
2230 泰茂,月報酬率 %,-1.103,5.576,2.4648,-1.3746,-6.2717,-1.1151,-4.1353,3.1374,9.0489,-6.0069,0.7521,1.8657
2230 泰茂,現股當沖比重,3.92,30.23,5.41,0,2.89,0,3.33,0,0,18.96,0,18.18
2235 謚源,月報酬率 %,-6.6944,10.3138,-2.4392,4.1665,2.4,-0.7812,-7.0868,-0.4236,-0.1299,-3.9646,2.2935,5.3812
2235 謚源,現股當沖比重,10,4.7,0,22.22,3.12,0,0,0,0,0,0,0
2596 綠意,月報酬率 %,2.2791,7.5212,0.2591,12.1447,-3.917,-3.5971,1.2437,2.7028,-4.7319,-5.618,0.2975,0.2968
2596 綠意,現股當沖比重,1.57,2.61,5.65,0.81,0.4,4.87,1.05,4.71,5.17,0,3.13,0
2640 大車隊,月報酬率 %,-2.4719,10.5991,2.0833,1.6327,2.8113,-5.3713,3.4057,0.7984,2.2233,50.606,9.7182,-1.4121
2640 大車隊,現股當沖比重,0,0,0,0,5,0,0,0,0,17.2,0,1.12
2641 正德,月報酬率 %,-13.4616,5.3333,-15.7807,-13.8275,-1.4033,-12.7381,10.6411,-7.8917,-0.5355,6.7294,-7.44,-0.8176
2641 正德,現股當沖比重,7.76,27.77,11.6,6.14,7.3,16.22,15.71,14.55,3.97,7.17,1.8,0
2643 捷迅,月報酬率 %,9.6544,8.0435,-0.3019,1.5137,-9.4432,-5.9276,-5.3676,-4.5621,-2.0672,-1.1057,-7.3865,5.0615
2643 捷迅,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
2718 晶悅,月報酬率 %,-0.5284,-5.4867,-2.809,-0.3854,6.7698,-4.7102,-1.1407,-6.1539,-6.5573,0.2839,5.5804,-4.8625
2718 晶悅,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
2719 燦星旅,月報酬率 %,-16.105,1.7855,6.1403,-1.653,0.8403,-0.4166,-10.4602,8.4113,0.431,-11.1587,-3.8648,-1.4071
2719 燦星旅,現股當沖比重,2.8,0,0,0,4.76,0,0,0,0,0,0,0
2724 富驛-KY,月報酬率 %,-18.7501,1.5384,0,6.3706,0.5707,-27.6596,-2.157,-4.0081,0,0,0,0
2724 富驛-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
2726 雅茗-KY,月報酬率 %,1.2013,0.89,-6.0294,0.1564,8.9063,12.4822,29.4643,-0.9854,2.8671,0,2.4875,-0.9709
2726 雅茗-KY,現股當沖比重,0,10.1,0,0,16.67,11.16,23.19,10.89,6.07,6.83,18.97,24.56
2729 瓦城,月報酬率 %,4.296,0.6864,0.909,10.3604,-3.0613,-3.1577,13.9129,-4.771,1.0018,-4.0109,-2.1647,-1.1062
2729 瓦城,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
2732 六角,月報酬率 %,-0.4075,6.2754,1.1553,4.6953,-0.6061,0.0001,0.9756,6.6428,2.3019,0.5847,-4.6512,6.9512
2732 六角,現股當沖比重,0,1.72,0,3.46,0,0,14.17,0,2.01,4.01,0,15.1
2734 易飛網,月報酬率 %,-7.5844,-0.3037,-2.4389,5.3125,-16.0238,-1.4133,-0.7168,8.3034,106.6666,-21.9357,-0.8262,-11.25
2734 易飛網,現股當沖比重,15.54,14.29,25,3.6,7.91,0,0,11.76,0,27.6,7.64,22.12
2736 高野,月報酬率 %,-7.582,0.2216,-1.7699,3.1532,-0.8732,-18.5022,1.081,4.0106,-8.2262,-4.2312,4.4643,-6.2677
2736 高野,現股當沖比重,14.29,0,0,3.13,7.69,9.08,6.19,8.67,34.62,0,19.97,7.41
