證券代碼,Data Field,2013/6/14,2013/6/21,2013/6/28,2013/7/5,2013/7/12,2013/7/19,2013/7/26,2013/8/2,2013/8/9,2013/8/16,2013/8/23,2013/8/30,2013/9/6,2013/9/14,2013/9/18,2013/9/27,2013/10/4,2013/10/11,2013/10/18,2013/10/25,2013/11/1,2013/11/8,2013/11/15,2013/11/22,2013/11/29,2013/12/6,2013/12/13,2013/12/20,2013/12/27,2013/12/31,2014/1/3,2014/1/10,2014/1/17,2014/1/24,2014/1/27,2014/2/7,2014/2/14,2014/2/21,2014/2/27,2014/3/7,2014/3/14,2014/3/21,2014/3/28,2014/4/3,2014/4/11,2014/4/18,2014/4/25,2014/5/2,2014/5/9,2014/5/16,2014/5/23,2014/5/30,2014/6/6,2014/6/13,2014/6/20,2014/6/27
1565 精華,週報酬率 %,2.9112,0.1415,10.0283,10.1412,1.7482,-2.0619,-4.2106,0.2442,2.6343,-2.909,2.7467,-1.0935,3.4398,-1.9002,1.3316,-2.8675,7.257,-2.5229,4.706,-1.1236,-1.7046,0.2312,1.4993,-2.5,3.8462,-1.1224,-2.1566,-2.7842,0.8353,2.5301,-0.5916,-4.1667,0,-0.6212,-1.875,1.0191,-2.7742,9.4683,-0.237,-4.9882,-3.125,-9.0323,-1.2766,1.4368,-7.5071,6.5849,-5.1724,3.4848,5.1245,-2.5069,4.4286,2.4624,-3.0708,-2.4793,1.4124,1.1143
1565 精華,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,1.52,4.26,4.75,3.31,3.91,8.67,7.59,6.55,8.27,9.36,5.05,13.9,6.42,9.37,16.82,2.79,8.68,11.18,12.57,13.99,4.85,6.28,7.23,4.99
1785 光洋科,週報酬率 %,-8.2018,-0.3437,-1.7242,-1.0528,-3.546,-0.1838,4.9724,-5.9649,-2.5746,3.4483,0.7842,-0.7781,7.451,-6.2044,0.5836,2.3211,0.7562,-6.1915,1.2,-0.7906,0.1992,-4.3737,0.8316,-1.4433,3.7657,3.2258,-2.7344,-0.4017,4.2339,2.2045,3.6751,1.4926,2.022,0.1802,-2.8777,0.5555,-3.4991,6.2978,-1.0772,-1.8149,1.8483,-3.2667,-0.938,1.1363,7.8653,-0.0001,-7.4653,3.1895,-1.2728,0.1841,3.6764,-1.4184,1.4389,5.4965,-1.3445,-1.5333
1785 光洋科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,1.52,1.23,2.6,6.87,4.43,1.72,2.27,3.94,3.62,0.32,1.7,5.26,6.87,4.68,2.66,2.22,4.11,0,4.79,4.58,4.5,4.98,6.62,9.38
1795 美時,週報酬率 %,-6.3062,-0.3846,-5.4055,10.6122,0.5536,1.8349,-3.6036,1.1215,-7.2089,-3.9841,1.6598,7.9591,1.5123,-1.1174,5.4614,3.3928,7.5993,2.7288,12.1313,6.6177,-6.069,-2.3496,-3.0074,1.0853,9.6627,9.2307,6.2739,-11.2048,14.5183,20.8834,13.744,-8.0208,4.1902,-1.5217,0,5.1876,3.5677,23.1004,9.4649,4.8872,1.0754,-6.383,-1.5152,0,4.6154,-3.6764,-6.8702,-2.459,14.2858,-0.7353,1.4815,16.7884,-7.5,6.4189,3.4921,6.7484
1795 美時,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3081 聯亞,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3081 聯亞,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3105 穩懋,週報酬率 %,-6.7989,-2.4317,0.1557,-0.7776,5.3291,-4.1667,4.3477,-2.9761,0.6135,-9.7427,-2.8369,-0.3649,-1.0989,-0.7408,-0.1866,4.1122,-0.5386,-1.9856,-1.4733,-0.9344,-4.7171,-1.3861,1.6063,-4.3478,2.8926,7.0282,-0.7504,-0.5672,7.6045,3.3519,-0.7067,1.6015,-4.7287,-0.5515,-2.0333,2.0755,-0.7394,0.5586,2.2223,-2.174,-1.4816,-3.0075,1.1628,1.5325,-1.1321,4.3894,-1.6453,2.7881,-0.5426,0.0001,0.5454,4.7016,5.5268,-1.1457,0.1655,-0.9916
3105 穩懋,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.99,2.67,1.12,2.65,2.09,2.64,2.94,4.14,3.48,1.9,0.96,1.22,1.35,7.53,6.77,6.71,4.61,2.2,1.31,4.79,4.2,4.21,5.4,1.83
