證券代碼,Data Field,2016/4/29,2016/5/6,2016/5/13,2016/5/20,2016/5/27,2016/6/4,2016/6/8,2016/6/17,2016/6/24,2016/7/1,2016/7/7,2016/7/15,2016/7/22,2016/7/29,2016/8/5,2016/8/12,2016/8/19,2016/8/26,2016/9/2,2016/9/10,2016/9/14,2016/9/23,2016/9/30,2016/10/7,2016/10/14,2016/10/21,2016/10/28,2016/11/4,2016/11/11,2016/11/18,2016/11/25,2016/12/2,2016/12/9,2016/12/16,2016/12/23,2016/12/30,2017/1/6,2017/1/13,2017/1/20,2017/1/24,2017/2/3,2017/2/10,2017/2/18,2017/2/24,2017/3/3,2017/3/10,2017/3/17,2017/3/24,2017/3/31,2017/4/7,2017/4/14,2017/4/21,2017/4/28,2017/5/5,2017/5/12,2017/5/19,2017/5/26,2017/6/3,2017/6/9,2017/6/16,2017/6/23,2017/6/30,2017/7/7,2017/7/14,2017/7/21,2017/7/28,2017/8/4,2017/8/11,2017/8/18,2017/8/25,2017/9/1,2017/9/8,2017/9/15,2017/9/22,2017/9/30,2017/10/6,2017/10/13,2017/10/20,2017/10/27,2017/11/3,2017/11/10,2017/11/17,2017/11/24,2017/12/1,2017/12/8,2017/12/15,2017/12/22,2017/12/29,2018/1/5,2018/1/12,2018/1/19,2018/1/26,2018/2/2,2018/2/9,2018/2/12,2018/2/23,2018/3/2,2018/3/9,2018/3/16,2018/3/23,2018/3/31,2018/4/3,2018/4/13,2018/4/20,2018/4/27
1240 茂生農經,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.3243,3.1834,-5.6261,-3.8461,0.8979,-2.375,-3.3078,4.8334,6.0842,-7.9182,1.2932,-1,1.0101,-1.0426,0,-0.0215,3.2044,-2.0629,1.7021,0.4183,-1.0417,-0.4211,1.4799,-0.4167,0.4184,0.6458,0.8073,-2.4641,7.3684,-6.8627,2.2947,-0.391,8.471,0.9524,3.7737,10.7089,-1.4452,0.7999,-5.7696,-3.5088,-1.4364
1240 茂生農經,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258 其祥-KY,週報酬率 %,0.2667,-1.7287,3.5183,-6.7975,5.4698,-2.1276,-0.5434,3.0055,0.1326,4.6358,2.7847,1.7242,-1.4528,0.8072,3.6662,0.2439,-2.5548,0.2496,-3.1133,1.1567,-0.5082,-0.7663,-0.9009,-1.2987,-4.342,2.3384,-1.8818,0,-1.0958,2.4931,2.1621,3.1747,0.5128,-1.2755,-1.6796,2.3653,0.3852,-0.7672,1.2887,0.5089,2.1519,-0.2477,-1.3665,1.1335,-0.8717,0.8795,-2.117,-5.3435,-2.8226,1.2447,-1.3662,-0.9695,0.4195,-0.2786,0.419,-1.5299,3.2486,0.4104,1.3624,2.6881,-0.2618,-1.0499,0.7958,-0.7895,-1.061,-0.8982,-2.3843,-0.431,-4.9062,4.0972,-1.1662,1.4749,-2.3256,-2.0833,-1.2159,-1.5384,-1.7188,0.954,3.622,-2.8876,1.565,-8.4745,-2.6936,-1.557,1.2302,4.1666,0,-0.6667,1.0067,-0.3322,0,-2.0001,-2.0409,-10.5903,0.3883,3.6751,11.0075,3.3614,0.6505,-6.6235,1.0381,-1.0274,2.7681,2.5253,-1.4778
1258 其祥-KY,現股當沖比重,0,8.42,2.86,0,0,0,0,5.36,10.29,5.02,0.66,0,0.96,4.08,0.91,1.14,0,0,0,2.17,0,0,0,0,4.99,5,4,9.52,0,0,4.55,1.16,3.38,0,0,1.98,0,0,0,7.3,1.26,0,3.8,4.17,4.25,2.35,0,7.98,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,17.86,0,0,0,0,2.27,0,0,0,0,18.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,10.38,5.49,0,22.26,23.33,0,0,0,0,0,7.69,0
1259 安心,週報酬率 %,-2.3513,-0.8499,2.5714,2.3676,-0.0002,-1.3605,2.069,-0.6757,-0.9524,1.3736,1.6902,0.8309,-0.1374,1.1004,1.4966,13.1367,0.7109,-0.5883,2.722,-1.1521,0.8159,2.8901,-1.4607,-2.0525,-4.5401,-2.4391,-1.25,-1.2658,-1.5385,1.1719,0.6435,2.6854,-2.4907,-1.6604,-2.0779,1.4589,-1.6993,0.2659,-0.5306,-0.0001,0.6666,3.5763,-0.8952,1.4194,0.2545,-0.8883,0.7683,0.5082,-2.0228,0,-1.0322,0.6519,-1.5544,0.2631,2.8872,8.4184,4.5882,14.7355,-6.8628,-1.5789,6.2031,0.3476,-1.7579,0.9473,-4.0668,-0.4348,1.0917,-1.8358,-5.3905,1.279,-1.4925,-1.5151,0,0.5917,-2.4706,-0.6032,0.1214,-0.2424,0.8505,0.8433,0.0001,2.9869,3.2483,-0.5618,-0.9039,4.903,-4.3478,1.5907,-3.2438,2.4278,-0.4516,-1.3606,-0.4598,-1.8476,0.4706,0.7027,-3.0232,-0.4795,0.7229,-1.3159,-1.697,-0.1233,0.7407,0.4901,0
1259 安心,現股當沖比重,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,2.85,2.59,0,0,0,0,0,0,0,0,5.85,0,0,16.67,0,0,6.35,0,0,0,0,0,0,0,0,0,5.21,0,0,3.23,0,8.07,0,0,0,0,0,0,49.55,22.79,0,11,25.93,4.54,11.11,14.26,11.76,0,0,24.99,0,7.69,0,0,0,3.44,0,0,0,0,22.22,0,49.78,0,0,20,0,18.69,0,0,0,0,8.33,24.99,8.96,0,0,0,0,0,6.62,0,0,0,0,0,5.75,0,0,0
1264 德麥,週報酬率 %,-0.0002,-1.8422,1.8767,-1.842,4.5577,2.0512,-2.2613,-1.2853,-0.6606,3.0556,-1.8868,0.2747,1.9178,-1.6129,1.6392,-0.5376,-0.5405,0.5436,-0.0001,0.2703,0.5391,2.9491,0.0001,1.302,-2.5707,1.3192,-1.5626,-1.0581,0.8021,2.6524,3.1008,1.7543,0.4925,-0.4902,-1.9704,1.2563,-0.4963,0.4988,0.4962,0.4938,3.1941,2.3811,1.6279,0.4576,-0.2278,5.0228,3.4783,-0.2101,-0.2106,2.5317,-2.4692,1.4768,2.7027,1.0121,1.6031,-1.5779,1.4028,-2.9644,1.833,0,1.5999,-0.3937,4.2954,-2.381,4.2129,-3.8298,-0.4424,-1.1111,-0.6741,0.4525,-0.0001,0,0.4505,-0.2242,0.6742,-0.0001,-0.8929,0.2253,0.2247,0.4484,-0.6696,1.573,5.0885,-2.5263,-0.2161,2.8138,-0.8421,-0.2124,-0.2127,-0.2132,-0.2137,-0.6424,-0.2156,-3.0238,2.8953,1.2988,-0.2137,0,-0.6424,-1.293,-0.0001,0.4367,-1.3043,-1.9824,-1.1237
1264 德麥,現股當沖比重,0,0,0,0,1.92,0,0,1.81,2.3,0,5.67,0,0,0,0,0,4.16,0,11.36,0,0,4.75,0,9.82,0,0,6.63,0,10.36,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,2.76,1.97,0,0,0,3.09,11.14,2.65,3.11,1.02,2.43,0,0,1.09,2.62,3.38,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,9.04,0,0,0,0,5.28,0,0,4.5,0,0,0,0,0,0,9.05,5.46,11.71,0,0,0,0,0,0
1268 漢來美食,週報酬率 %,5.2632,-5,-2.3392,0,0,2.3952,-0.0702,0.6554,-1.628,2.0567,-0.9729,-3.1111,-2.2211,4.9321,2.7316,0.0062,-0.6173,1.2421,1.7117,-0.1809,-0.006,-1.5048,-1.2209,0,-0.6211,0.625,0.9317,-0.3077,-0.9321,0.9346,-0.926,-0.0001,0,0,-0.6667,0.3575,0.0062,0.3124,-0.3178,0,0,-2.0065,-0.2425,1.656,0,0.3208,0.9343,4.6649,1.7804,0.2916,-3.343,1.0465,0.6012,0.858,-0.8506,2.7219,8.2949,2.1277,0,-2.0886,-1.5958,0.0054,-1.0811,6.0933,-1.0928,0.5524,0.5494,-1.0929,-0.9944,6.0268,-1.0527,-2.234,2.285,1.0637,13.3333,-0.5883,-5.3254,3.7499,-1.506,-0.3058,-1.5336,-2.1807,-4.14,0.3322,-5.2979,-0.6994,1.7607,-1.73,2.8169,1.0272,-2.712,1.0453,-1.3793,-2.7972,-1.4388,1.0949,-0.722,-0.3636,4.7445,-3.8329,0.7247,0.3597,-1.4336,-0.3636,-0.3651
1268 漢來美食,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26
