公司,Data Field,2015/12/31,2016/12/30
1101 台泥,資產總額,"293,066,355","266,988,696"
1102 亞泥,資產總額,"270,077,209","238,470,785"
1103 嘉泥,資產總額,"27,383,042","26,128,917"
1104 環泥,資產總額,"19,970,871","20,347,150"
1108 幸福,資產總額,"7,855,502","7,752,644"
1109 信大,資產總額,"8,636,326","8,643,664"
1110 東泥,資產總額,"9,382,538","9,208,246"
1201 味全,資產總額,"36,482,806","33,867,933"
1203 味王,資產總額,"8,351,162","8,600,546"
1210 大成,資產總額,"40,027,543","37,864,292"
1213 大飲,資產總額,"843,408","851,231"
1215 卜蜂,資產總額,"9,644,227","11,187,178"
1216 統一,資產總額,"398,948,489","378,585,465"
1217 愛之味,資產總額,"11,394,737","11,545,689"
1218 泰山,資產總額,"7,758,985","7,882,846"
1219 福壽,資產總額,"7,702,140","8,029,070"
1220 台榮,資產總額,"3,094,716","3,014,420"
1225 福懋油,資產總額,"6,645,423","6,660,614"
1227 佳格,資產總額,"20,529,274","21,819,086"
1229 聯華投控,資產總額,"24,499,681","26,246,509"
1231 聯華食,資產總額,"6,480,517","6,373,950"
1232 大統益,資產總額,"4,856,678","5,509,730"
1233 天仁,資產總額,"1,987,827","1,992,084"
1234 黑松,資產總額,"22,108,895","22,294,964"
1235 興泰,資產總額,"2,752,651","4,241,749"
1236 宏亞,資產總額,"3,413,836","3,156,484"
1256 鮮活果汁-KY,資產總額,"1,643,171","1,731,289"
1301 台塑,資產總額,"423,501,050","455,666,072"
1303 南亞,資產總額,"513,725,976","537,184,804"
1304 台聚,資產總額,"57,498,146","61,995,475"
1305 華夏,資產總額,"12,373,687","13,308,987"
1307 三芳,資產總額,"14,068,144","15,224,237"
1308 亞聚,資產總額,"10,279,770","14,670,029"
1309 台達化,資產總額,"9,221,687","8,476,820"
1310 台苯,資產總額,"11,895,534","11,787,754"
1312 國喬,資產總額,"23,130,366","25,005,048"
1313 聯成,資產總額,"36,967,653","36,398,317"
1314 中石化,資產總額,"75,754,803","76,455,265"
1315 達新,資產總額,"8,996,298","9,566,746"
1316 上曜,資產總額,"3,578,234","4,190,676"
1319 東陽,資產總額,"36,269,687","36,465,486"
1321 大洋,資產總額,"10,535,911","10,918,710"
1323 永裕,資產總額,"3,730,154","3,808,137"
1324 地球,資產總額,"1,301,028","1,345,581"
1325 恒大,資產總額,"2,117,022","1,978,889"
1326 台化,資產總額,"512,985,430","544,436,590"
1337 再生-KY,資產總額,"11,331,525","11,090,173"
1338 廣華-KY,資產總額,"9,346,525","9,371,270"
1339 昭輝,資產總額,"5,336,342","6,206,933"
1340 勝悅-KY,資產總額,"6,390,992","6,452,093"
1341 富林-KY,資產總額,"1,517,721","1,475,372"
1402 遠東新,資產總額,"518,765,122","513,460,158"
1409 新纖,資產總額,"129,514,173","131,020,911"
1410 南染,資產總額,"1,528,527","1,545,421"
1413 宏洲,資產總額,"2,303,287","2,300,571"
1414 東和,資產總額,"4,780,071","4,681,681"
1416 廣豐,資產總額,"11,948,337","10,645,113"
1417 嘉裕,資產總額,"5,794,374","5,184,432"
1418 東華,資產總額,"1,803,196","1,772,056"
1419 新紡,資產總額,"11,363,500","12,332,484"
1423 利華,資產總額,"2,832,483","2,792,369"
1432 大魯閣,資產總額,"6,281,762","8,139,882"
1434 福懋,資產總額,"80,055,055","92,030,096"
1435 中福,資產總額,"1,113,560","1,105,626"
1436 華友聯,資產總額,"6,544,693","6,703,097"
1437 勤益控,資產總額,"9,297,935","9,382,852"
1438 裕豐,資產總額,"619,937","612,810"
1439 中和,資產總額,"2,149,496","2,133,934"
1440 南紡,資產總額,"40,917,855","40,733,415"
1441 大東,資產總額,"2,917,181","3,095,151"
1442 名軒,資產總額,"14,531,966","12,191,876"
1443 立益,資產總額,"4,741,525","4,294,510"
1444 力麗,資產總額,"18,232,833","19,382,718"
1445 大宇,資產總額,"2,322,243","2,299,776"
1446 宏和,資產總額,"3,789,847","3,830,192"
1447 力鵬,資產總額,"21,618,719","22,454,399"
1449 佳和,資產總額,"5,329,330","5,205,528"
1451 年興,資產總額,"13,576,073","13,150,436"
1452 宏益,資產總額,"2,708,697","2,648,392"
1453 大將,資產總額,"1,137,493","1,177,089"
1454 台富,資產總額,"2,191,814","2,143,013"
1455 集盛,資產總額,"11,469,828","11,476,838"
1456 怡華,資產總額,"4,553,193","4,544,380"
1457 宜進,資產總額,"11,933,920","11,394,337"
1459 聯發,資產總額,"6,986,325","6,661,197"
1460 宏遠,資產總額,"9,646,121","9,816,831"
1463 強盛,資產總額,"3,567,976","3,700,595"
1464 得力,資產總額,"9,158,360","11,092,243"
1465 偉全,資產總額,"2,794,053","2,564,411"
1466 聚隆,資產總額,"3,588,691","3,597,108"
1467 南緯,資產總額,"6,941,863","6,756,343"
1468 昶和,資產總額,"2,443,388","2,424,954"
1470 大統新創,資產總額,"1,076,684","1,076,698"
1471 首利,資產總額,"2,763,793","2,423,456"
1472 三洋紡,資產總額,"1,013,753","975,777"
1473 台南,資產總額,"7,691,397","6,860,286"
1474 弘裕,資產總額,"3,499,002","3,350,902"
1475 本盟,資產總額,"382,538","267,357"
1476 儒鴻,資產總額,"17,682,168","19,908,066"
1477 聚陽,資產總額,"13,555,154","13,135,777"
1503 士電,資產總額,"34,628,912","36,288,452"
1504 東元,資產總額,"84,434,252","92,373,956"
1506 正道,資產總額,"2,749,709","2,698,346"
1507 永大,資產總額,"30,501,571","27,896,068"
1512 瑞利,資產總額,"4,974,686","4,314,879"
1513 中興電,資產總額,"15,160,918","15,042,528"
1514 亞力,資產總額,"4,965,614","5,181,530"
1515 力山,資產總額,"5,677,115","5,411,726"
1516 川飛,資產總額,"408,248","490,397"
1517 利奇,資產總額,"5,215,526","4,850,308"
1519 華城,資產總額,"7,820,471","6,957,979"
1521 大億,資產總額,"3,655,900","3,640,544"
1522 堤維西,資產總額,"18,467,682","19,566,045"
1524 耿鼎,資產總額,"4,631,705","4,853,591"
1525 江申,資產總額,"4,187,270","4,389,042"
1526 日馳,資產總額,"1,308,560","1,428,262"
1527 鑽全,資產總額,"14,728,291","15,752,362"
1528 恩德,資產總額,"4,656,621","4,803,805"
1529 樂士,資產總額,"522,581","484,834"
1530 亞崴,資產總額,"6,842,667","6,437,188"
1531 高林股,資產總額,"5,352,871","4,722,072"
1532 勤美,資產總額,"36,240,194","35,156,055"
1533 車王電,資產總額,"4,358,156","4,148,632"
1535 中宇,資產總額,"6,813,951","7,565,750"
1536 和大,資產總額,"8,948,762","10,974,282"
1537 廣隆,資產總額,"4,608,941","5,082,308"
1538 正峰新,資產總額,"1,691,261","1,600,745"
1539 巨庭,資產總額,"2,966,134","3,145,401"
1540 喬福,資產總額,"1,598,286","1,633,377"
1541 錩泰,資產總額,"2,269,888","2,621,989"
1558 伸興,資產總額,"5,887,172","6,243,768"
1560 中砂,資產總額,"5,128,663","4,997,789"
1568 倉佑,資產總額,"2,975,172","3,375,704"
1582 信錦,資產總額,"9,347,637","9,058,687"
1583 程泰,資產總額,"13,190,582","11,889,824"
1587 吉茂,資產總額,"2,464,838","2,475,268"
1589 永冠-KY,資產總額,"15,589,756","15,052,389"
1590 亞德客-KY,資產總額,"21,456,017","22,962,912"
1592 英瑞-KY,資產總額,"7,142,234","6,920,702"
1598 岱宇,資產總額,"4,430,974","5,360,393"
1603 華電,資產總額,"8,531,071","7,754,570"
1604 聲寶,資產總額,"12,279,879","12,009,171"
1605 華新,資產總額,"104,683,291","114,179,214"
1608 華榮,資產總額,"12,198,781","11,965,740"
1609 大亞,資產總額,"17,745,429","17,700,995"
1611 中電,資產總額,"7,413,947","6,685,204"
1612 宏泰,資產總額,"5,179,861","5,349,840"
1614 三洋電,資產總額,"6,657,565","6,654,817"
1615 大山,資產總額,"2,177,206","2,179,599"
1616 億泰,資產總額,"3,923,339","3,455,129"
1617 榮星,資產總額,"3,130,196","3,055,641"
1618 合機,資產總額,"4,342,174","4,224,626"
1626 艾美特-KY,資產總額,"8,218,198","7,695,614"
1701 中化,資產總額,"9,912,905","9,957,117"
1702 南僑,資產總額,"18,399,335","18,577,168"
1707 葡萄王,資產總額,"8,612,365","9,549,756"
1708 東鹼,資產總額,"9,018,753","9,535,280"
1709 和益,資產總額,"10,277,403","10,339,237"
1710 東聯,資產總額,"38,154,441","35,078,884"
1711 永光,資產總額,"13,359,202","13,603,970"
1712 興農,資產總額,"15,578,341","15,676,776"
1713 國化,資產總額,"2,413,687","2,458,839"
1714 和桐,資產總額,"31,238,115","29,603,898"
1717 長興,資產總額,"49,117,676","51,802,056"
1718 中纖,資產總額,"602,905,995","655,102,816"
1720 生達,資產總額,"5,795,287","6,225,840"
1721 三晃,資產總額,"4,358,463","4,285,704"
1722 台肥,資產總額,"80,503,805","76,215,213"
1723 中碳,資產總額,"7,978,381","9,561,762"
1724 台硝,資產總額,"2,670,215","2,802,831"
1725 元禎,資產總額,"4,460,357","5,310,010"
1726 永記,資產總額,"9,487,700","9,874,917"
1727 中華化,資產總額,"2,221,385","2,402,960"
1730 花仙子,資產總額,"1,798,978","1,939,738"
1731 美吾華,資產總額,"2,630,140","2,597,752"
1732 毛寶,資產總額,"592,125","597,723"
1733 五鼎,資產總額,"2,694,508","2,500,786"
1734 杏輝,資產總額,"6,386,654","6,206,418"
1735 日勝化,資產總額,"2,736,205","2,825,630"
1736 喬山,資產總額,"22,497,724","22,652,549"
1737 臺鹽,資產總額,"6,851,101","7,053,391"
1760 寶齡富錦,資產總額,"1,175,357","1,191,232"
1762 中化生,資產總額,"2,870,633","2,725,642"
1773 勝一,資產總額,"5,050,798","5,354,798"
1776 展宇,資產總額,"2,123,463","2,105,528"
1783 和康生,資產總額,"1,168,240","1,097,414"
1786 科妍,資產總額,"1,072,752","1,357,137"
1789 神隆,資產總額,"12,221,595","12,783,000"
1802 台玻,資產總額,"96,029,723","85,683,708"
1805 寶徠,資產總額,"1,501,935","1,603,840"
1806 冠軍,資產總額,"13,275,120","11,465,160"
1808 潤隆,資產總額,"16,646,741","18,680,673"
1809 中釉,資產總額,"5,760,066","5,143,618"
1810 和成,資產總額,"11,275,524","11,544,513"
1817 凱撒衛,資產總額,"1,842,013","2,005,952"
1902 台紙,資產總額,"9,760,519","8,460,177"
1903 士紙,資產總額,"6,582,250","6,595,343"
1904 正隆,資產總額,"58,970,698","58,660,629"
1905 華紙,資產總額,"30,426,139","29,652,893"
1906 寶隆,資產總額,"4,056,345","5,808,025"
1907 永豐餘,資產總額,"113,390,900","110,702,921"
1909 榮成,資產總額,"47,250,032","56,340,501"
2002 中鋼,資產總額,"678,139,016","676,121,793"
2006 東和鋼鐵,資產總額,"36,080,468","36,601,314"
2007 燁興,資產總額,"14,111,769","15,598,066"
2008 高興昌,資產總額,"5,708,557","5,410,204"
2009 第一銅,資產總額,"4,563,011","5,129,803"
2010 春源,資產總額,"16,389,001","15,886,860"
2012 春雨,資產總額,"11,267,313","10,623,119"
2013 中鋼構,資產總額,"14,961,267","14,939,803"
2014 中鴻,資產總額,"30,602,823","31,022,278"
2015 豐興,資產總額,"19,043,520","19,637,184"
2017 官田鋼,資產總額,"7,699,089","8,027,006"
2020 美亞,資產總額,"5,561,964","5,979,318"
2022 聚亨,資產總額,"13,045,006","13,106,718"
2023 燁輝,資產總額,"76,359,996","82,036,490"
2024 志聯,資產總額,"2,123,336","2,056,928"
2025 千興,資產總額,"2,573,705","2,245,159"
2027 大成鋼,資產總額,"47,071,805","45,644,644"
2028 威致,資產總額,"5,214,135","6,253,342"
2029 盛餘,資產總額,"9,652,331","10,889,009"
2030 彰源,資產總額,"10,811,160","10,503,455"
2031 新光鋼,資產總額,"10,690,251","11,921,156"
2032 新鋼,資產總額,"2,027,537","2,019,756"
2033 佳大,資產總額,"1,266,679","1,260,484"
2034 允強,資產總額,"10,181,761","11,539,020"
2038 海光,資產總額,"6,062,851","5,922,050"
2049 上銀,資產總額,"32,766,219","32,966,525"
2059 川湖,資產總額,"9,245,735","9,919,089"
2062 橋椿,資產總額,"9,732,887","11,854,386"
2069 運錩,資產總額,"4,793,308","5,928,120"
2101 南港,資產總額,"23,260,882","22,765,250"
2102 泰豐,資產總額,"13,217,811","14,203,338"
2103 台橡,資產總額,"29,993,985","29,769,927"
2104 國際中橡,資產總額,"29,083,370","30,930,839"
2105 正新,資產總額,"165,958,222","168,164,726"
2106 建大,資產總額,"40,824,560","41,877,392"
2107 厚生,資產總額,"15,129,632","14,392,088"
2108 南帝,資產總額,"8,625,426","8,303,888"
2109 華豐,資產總額,"8,464,130","8,226,834"
2114 鑫永銓,資產總額,"2,556,017","2,641,966"
2115 六暉-KY,資產總額,"2,929,575","3,028,501"
2201 裕隆,資產總額,"212,002,090","221,271,641"
2204 中華,資產總額,"62,682,031","62,179,473"
2206 三陽工業,資產總額,"42,947,575","40,282,226"
2207 和泰車,資產總額,"165,192,528","178,916,576"
2208 台船,資產總額,"23,739,566","27,670,942"
2227 裕日車,資產總額,"31,179,035","29,739,748"
2228 劍麟,資產總額,"4,246,649","4,832,057"
2231 為升,資產總額,"3,342,093","6,432,517"
2233 宇隆,資產總額,"2,785,080","3,241,146"
2236 百達-KY,資產總額,"1,826,942","2,157,581"
2239 英利-KY,資產總額,"14,613,204","21,781,182"
2243 宏旭-KY,資產總額,"4,075,798","3,771,409"
2301 光寶科,資產總額,"209,653,863","210,856,788"
2302 麗正,資產總額,"2,063,060","2,122,660"
2303 聯電,資產總額,"337,366,810","386,655,182"
2305 全友,資產總額,"3,130,908","2,809,916"
2308 台達電,資產總額,"226,275,936","235,114,670"
2312 金寶,資產總額,"41,580,105","83,687,068"
2313 華通,資產總額,"51,512,742","50,199,161"
2314 台揚,資產總額,"5,862,566","5,320,116"
2316 楠梓電,資產總額,"15,134,063","12,702,195"
2317 鴻海,資產總額,"2,308,299,877","2,592,042,940"
2321 東訊,資產總額,"2,497,573","2,899,978"
2323 中環,資產總額,"33,587,192","29,258,561"
2324 仁寶,資產總額,"327,925,575","347,016,111"
2327 國巨,資產總額,"47,547,893","51,666,809"
2328 廣宇,資產總額,"18,775,935","18,735,011"
2329 華泰,資產總額,"17,708,548","18,072,630"
2330 台積電,資產總額,"1,657,518,298","1,886,455,302"
2331 精英,資產總額,"26,244,275","23,384,524"
2332 友訊,資產總額,"21,262,619","19,390,896"
2337 旺宏,資產總額,"37,627,662","35,544,515"
2338 光罩,資產總額,"3,954,607","3,557,918"
2340 光磊,資產總額,"11,773,447","10,805,456"
2342 茂矽,資產總額,"2,593,483","2,262,562"
