公司,Data Field,2013/12/31
1210 大成,資產總額,"38,458,006"
1227 佳格,資產總額,"15,902,424"
1229 聯華投控,資產總額,"25,897,685"
1314 中石化,資產總額,"71,001,350"
1319 東陽,資產總額,"31,237,542"
1434 福懋,資產總額,"76,618,380"
1476 儒鴻,資產總額,"12,546,353"
1477 聚陽,資產總額,"10,095,448"
1504 東元,資產總額,"76,890,053"
1507 永大,資產總額,"29,883,891"
1536 和大,資產總額,"6,591,151"
1590 亞德客-KY,資產總額,"14,516,551"
1605 華新,資產總額,"113,408,341"
1707 葡萄王,資產總額,"4,628,851"
1722 台肥,資產總額,"66,528,600"
1723 中碳,資產總額,"8,270,282"
1802 台玻,資產總額,"100,937,971"
2027 大成鋼,資產總額,"38,264,053"
2049 上銀,資產總額,"27,610,988"
2059 川湖,資產總額,"7,204,163"
2101 南港,資產總額,"20,573,352"
2104 國際中橡,資產總額,"30,869,032"
2201 裕隆,資產總額,"176,014,166"
2204 中華,資產總額,"60,060,410"
2227 裕日車,資產總額,"35,318,965"
2231 為升,資產總額,"1,999,301"
2313 華通,資產總額,"39,437,434"
2324 仁寶,資產總額,"336,102,814"
2337 旺宏,資產總額,"54,030,001"
2344 華邦電,資產總額,"55,678,678"
2345 智邦,資產總額,"13,545,995"
2347 聯強,資產總額,"124,454,657"
2352 佳世達,資產總額,"90,612,329"
2353 宏碁,資產總額,"190,499,710"
2354 鴻準,資產總額,"95,240,193"
2356 英業達,資產總額,"214,171,136"
2360 致茂,資產總額,"12,768,245"
2371 大同,資產總額,"203,654,991"
2376 技嘉,資產總額,"34,997,402"
2377 微星,資產總額,"41,640,654"
2379 瑞昱,資產總額,"34,129,182"
2383 台光電,資產總額,"14,571,432"
2385 群光,資產總額,"50,900,010"
2409 友達,資產總額,"492,242,851"
2439 美律,資產總額,"9,427,179"
2441 超豐,資產總額,"14,295,032"
2449 京元電子,資產總額,"37,338,294"
2451 創見,資產總額,"24,248,530"
2492 華新科,資產總額,"24,286,561"
2498 宏達電,資產總額,"172,629,187"
2542 興富發,資產總額,"101,700,460"
2603 長榮,資產總額,"175,009,291"
2606 裕民,資產總額,"51,419,261"
2610 華航,資產總額,"220,975,899"
2615 萬海,資產總額,"78,579,683"
2618 長榮航,資產總額,"152,722,934"
2723 美食-KY,資產總額,"8,828,439"
2809 京城銀,資產總額,"213,997,631"
2812 台中銀,資產總額,"496,212,735"
2834 臺企銀,資產總額,"1,326,368,076"
2845 遠東銀,資產總額,"492,191,720"
2867 三商壽,資產總額,"700,245,300"
2889 國票金,資產總額,"218,991,723"
2903 遠百,資產總額,"112,486,967"
2915 潤泰全,資產總額,"117,128,269"
3005 神基,資產總額,"21,904,251"
3023 信邦,資產總額,"9,385,164"
3034 聯詠,資產總額,"38,996,346"
3037 欣興,資產總額,"99,504,851"
3044 健鼎,資產總額,"49,155,332"
3231 緯創,資產總額,"270,541,774"
3406 玉晶光,資產總額,"14,073,404"
3443 創意,資產總額,"4,532,777"
3481 群創,資產總額,"508,200,885"
3532 台勝科,資產總額,"21,904,627"
3682 亞太電,資產總額,"39,583,201"
3702 大聯大,資產總額,"135,105,841"
3706 神達,資產總額,"44,110,412"
4958 臻鼎-KY,資產總額,"71,551,407"
5269 祥碩,資產總額,"1,342,757"
5522 遠雄,資產總額,"85,029,079"
5534 長虹,資產總額,"24,365,430"
6176 瑞儀,資產總額,"52,531,642"
6213 聯茂,資產總額,"16,076,491"
6239 力成,資產總額,"71,944,023"
6269 台郡,資產總額,"19,043,185"
6285 啟碁,資產總額,"22,270,230"
6409 旭隼,資產總額,"3,603,593"
6415 矽力-KY,資產總額,"2,930,370"
6456 GIS-KY,資產總額,"43,323,724"
6669 緯穎,資產總額,"2,225,105"
8341 日友,資產總額,"2,661,687"
8454 富邦媒,資產總額,"5,792,497"
8464 億豐,資產總額,"11,803,177"
9914 美利達,資產總額,"18,811,303"
9917 中保,資產總額,"18,762,429"
9921 巨大,資產總額,"40,500,744"
9933 中鼎,資產總額,"48,837,298"
9941 裕融,資產總額,"68,017,396"
9945 潤泰新,資產總額,"85,834,562"
1565 精華,資產總額,"6,189,007"
1785 光洋科,資產總額,"19,608,140"
1795 美時,資產總額,"4,259,817"
3081 聯亞,資產總額,"1,143,768"
3105 穩懋,資產總額,"21,111,504"
3152 璟德,資產總額,"2,953,626"
3227 原相,資產總額,"6,668,157"
3264 欣銓,資產總額,"12,844,196"
3293 鈊象,資產總額,"3,001,680"
3324 雙鴻,資產總額,"3,335,839"
3529 力旺,資產總額,"1,828,434"
3611 鼎翰,資產總額,"2,122,400"
4107 邦特,資產總額,"1,996,958"
4123 晟德,資產總額,"5,464,689"
4162 智擎,資產總額,"2,743,997"
4736 泰博,資產總額,"3,190,627"
4947 昂寶-KY,資產總額,"2,883,969"
4966 譜瑞-KY,資產總額,"4,982,511"
5263 智崴,資產總額,"987,250"
5274 信驊,資產總額,"823,583"
5289 宜鼎,資產總額,"2,072,015"
5347 世界,資產總額,"28,849,959"
5371 中光電,資產總額,"58,107,590"
5425 台半,資產總額,"8,389,392"
5457 宣德,資產總額,"2,865,915"
5483 中美晶,資產總額,"39,673,642"
5536 聖暉,資產總額,"7,005,282"
6121 新普,資產總額,"40,457,772"
6147 頎邦,資產總額,"38,229,276"
6173 信昌電,資產總額,"3,459,759"
6180 橘子,資產總額,"4,694,924"
6182 合晶,資產總額,"17,320,675"
6188 廣明,資產總額,"25,726,848"
6238 勝麗,資產總額,"375,950"
6274 台燿,資產總額,"10,373,637"
6279 胡連,資產總額,"4,989,283"
6290 良維,資產總額,"5,067,530"
6462 神盾,資產總額,"325,845"
6488 環球晶,資產總額,"21,074,041"
6510 精測,資產總額,"517,139"
6561 是方,資產總額,"1,147,206"
6643 M31,資產總額,"216,481"
8069 元太,資產總額,"40,085,095"
8076 伍豐,資產總額,"5,481,049"
8086 宏捷科,資產總額,"2,195,462"
8299 群聯,資產總額,"22,457,612"
8358 金居,資產總額,"4,932,229"
8406 金可-KY,資產總額,"11,619,800"
8436 大江,資產總額,"1,714,695"
8942 森鉅,資產總額,"8,386,295"
1101 台泥,資產總額,"282,680,739"
1102 亞泥,資產總額,"262,403,581"
1216 統一,資產總額,"370,203,449"
1301 台塑,資產總額,"408,746,365"
1303 南亞,資產總額,"524,510,130"
1326 台化,資產總額,"525,690,119"
1402 遠東新,資產總額,"472,999,472"
2002 中鋼,資產總額,"681,999,373"
2105 正新,資產總額,"162,228,472"
2207 和泰車,資產總額,"135,028,355"
2301 光寶科,資產總額,"212,361,486"
2303 聯電,資產總額,"295,902,829"
2308 台達電,資產總額,"197,296,326"
2317 鴻海,資產總額,"2,312,461,203"
2327 國巨,資產總額,"58,717,825"
2330 台積電,資產總額,"1,263,054,977"
2357 華碩,資產總額,"296,072,755"
2382 廣達,資產總額,"558,085,239"
2395 研華,資產總額,"27,536,084"
2408 南亞科,資產總額,"93,326,819"
2412 中華電,資產總額,"441,185,107"
2454 聯發科,資產總額,"258,636,862"
2474 可成,資產總額,"105,379,036"
2633 台灣高鐵,資產總額,"500,606,616"
2801 彰銀,資產總額,"1,700,055,541"
2823 中壽,資產總額,"977,601,733"
2880 華南金,資產總額,"2,164,728,571"
2881 富邦金,資產總額,"4,596,971,814"
2882 國泰金,資產總額,"6,177,272,661"
2883 開發金,資產總額,"647,943,022"
2884 玉山金,資產總額,"1,381,074,947"
2885 元大金,資產總額,"865,094,056"
2886 兆豐金,資產總額,"3,113,628,418"
2887 台新金,資產總額,"2,870,986,686"
2888 新光金,資產總額,"2,535,233,401"
2890 永豐金,資產總額,"1,465,944,950"
2891 中信金,資產總額,"2,424,720,079"
2892 第一金,資產總額,"2,263,385,352"
2912 統一超,資產總額,"83,497,968"
3008 大立光,資產總額,"38,613,559"
3045 台灣大,資產總額,"138,352,379"
3711 日月光投控,資產總額,
4904 遠傳,資產總額,"120,223,776"
4938 和碩,資產總額,"415,895,524"
5871 中租-KY,資產總額,"195,775,950"
5876 上海商銀,資產總額,"1,435,947,944"
5880 合庫金,資產總額,"3,073,076,700"
6505 台塑化,資產總額,"482,226,907"
9904 寶成,資產總額,"248,129,226"
9910 豐泰,資產總額,"21,496,510"
2609 陽明,資產總額,"142,253,856"
