公司,Data Field,2015/12/31,2016/12/30,2017/12/29
1240 茂生農經,資產總額,"1,099,146","1,369,517","1,587,872"
1258 其祥-KY,資產總額,"1,562,040","1,647,203","2,323,855"
1259 安心,資產總額,"2,610,793","2,760,223","2,953,839"
1264 德麥,資產總額,"2,947,057","2,917,922","3,088,701"
1268 漢來美食,資產總額,"2,435,304","2,605,655","3,213,208"
1333 恩得利,資產總額,"1,088,225","886,959","597,455"
1336 台翰,資產總額,"2,717,955","2,437,407","2,421,612"
1565 精華,資產總額,"6,562,800","7,344,618","8,602,946"
1569 濱川,資產總額,"4,656,020","4,604,806","5,827,538"
1570 力肯,資產總額,"780,737","869,266","898,344"
1580 新麥,資產總額,"2,928,910","3,117,303","3,304,931"
1584 精剛,資產總額,"3,025,149","1,931,211","2,365,933"
1586 和勤,資產總額,"2,613,517","2,754,344","2,973,012"
1591 駿吉-KY,資產總額,"630,793","616,172","625,986"
1593 祺驊,資產總額,"1,037,807","1,018,135","1,052,894"
1595 川寶,資產總額,"2,498,955","2,417,343","3,876,942"
1597 直得,資產總額,"2,276,256","2,196,373","2,638,819"
1599 宏佳騰,資產總額,"1,802,120","1,990,486","2,088,461"
1742 台蠟,資產總額,"1,074,603","850,045","859,710"
1752 南光,資產總額,"3,045,420","3,172,164","3,334,297"
1777 生泰,資產總額,"1,224,186","1,287,465","1,555,855"
1781 合世,資產總額,"695,882","641,827","573,597"
1784 訊聯,資產總額,"1,915,483","1,872,487","1,824,948"
1785 光洋科,資產總額,"21,171,925","19,220,789","19,055,226"
1787 福盈科,資產總額,"1,630,183","1,710,500","1,841,073"
1788 杏昌,資產總額,"2,431,198","2,470,976","2,613,352"
1795 美時,資產總額,"15,501,941","15,196,851","15,635,655"
1796 金穎生技,資產總額,"345,179","496,304","508,747"
1799 易威,資產總額,"951,913","1,267,283","1,338,585"
1813 寶利徠,資產總額,"1,131,204","1,238,707","1,322,569"
1815 富喬,資產總額,"11,973,768","12,370,656","13,364,768"
2035 唐榮,資產總額,"18,770,292","19,253,678","19,655,115"
2061 風青,資產總額,"1,004,314","1,009,923","1,258,191"
2063 世鎧,資產總額,"1,170,516","1,284,647","1,450,748"
2064 晉椿,資產總額,"2,745,577","3,227,473","3,627,163"
2065 世豐,資產總額,"1,265,625","1,460,674","1,436,238"
2066 世德,資產總額,"1,334,997","1,683,903","2,109,683"
2067 嘉鋼,資產總額,"1,245,719","1,342,788","1,386,115"
2070 精湛,資產總額,"1,222,429","1,361,579","1,617,192"
2221 大甲,資產總額,"1,176,734","1,285,562","1,245,235"
2230 泰茂,資產總額,"807,907","1,003,074","1,025,678"
2235 謚源,資產總額,"1,475,613","1,490,658","1,669,861"
2596 綠意,資產總額,"2,576,199","2,586,477","2,854,117"
2640 大車隊,資產總額,"2,579,103","2,441,681","2,318,327"
2641 正德,資產總額,"4,215,684","4,856,038","4,252,559"
2643 捷迅,資產總額,"971,681","1,080,845","1,106,085"
2718 晶悅,資產總額,"887,690","830,731","755,327"
2719 燦星旅,資產總額,"954,444","846,585","707,815"
2724 富驛-KY,資產總額,"2,264,362","1,550,134","1,138,158"
2726 雅茗-KY,資產總額,"1,352,945","1,364,960","1,509,958"
2729 瓦城,資產總額,"2,286,518","2,339,118","2,406,537"
2732 六角,資產總額,"1,298,081","1,658,788","2,118,251"
2734 易飛網,資產總額,"1,107,886","960,240","691,486"
2736 高野,資產總額,"1,792,293","2,167,776","2,267,953"
2740 天蔥,資產總額,"421,709","401,125","322,231"
2745 五福,資產總額,"1,251,016","1,257,231","1,444,616"
2752 豆府,資產總額,"243,857","327,368","412,399"
2916 滿心,資產總額,"1,294,402","1,211,545","1,187,079"
2924 東凌-KY,資產總額,"1,416,338","1,290,416","1,086,151"
2926 誠品生活,資產總額,"4,579,409","4,831,669","5,004,846"
2928 紅馬-KY,資產總額,"1,801,812","3,413,713","3,214,768"
2937 集雅社,資產總額,"894,278","988,115","1,165,536"
3064 泰偉,資產總額,"1,018,362","1,008,288","640,065"
3066 李洲,資產總額,"1,412,109","1,303,519","1,263,131"
3067 全域,資產總額,"330,678","317,784","297,229"
3071 協禧,資產總額,"2,499,855","2,453,548","2,472,975"
3073 凱柏實業,資產總額,"553,697","534,084","526,129"
3078 僑威,資產總額,"6,433,276","6,380,086","7,327,007"
3081 聯亞,資產總額,"3,993,166","4,078,537","4,050,087"
3083 網龍,資產總額,"1,406,252","1,270,873","1,236,938"
3085 新零售,資產總額,"383,922","750,166","1,210,906"
3086 華義,資產總額,"808,789","463,517","498,383"
3088 艾訊,資產總額,"2,990,537","3,345,587","3,770,850"
3089 元炬,資產總額,"994,824","873,050","759,196"
3092 鴻碩,資產總額,"2,554,715","2,780,615","3,024,855"
3093 港建,資產總額,"1,252,132","1,192,889","1,073,862"
3095 及成,資產總額,"4,858,743","1,311,444","1,239,884"
3105 穩懋,資產總額,"24,111,473","26,410,639","37,027,452"
3114 好德,資產總額,"1,553,452","1,514,964","1,675,670"
3115 寶島極,資產總額,"757,826","623,062","630,654"
3118 進階,資產總額,"681,917","675,969","732,309"
3122 笙泉,資產總額,"679,055","659,776","560,436"
3128 昇銳,資產總額,"940,800","911,870","902,357"
3131 弘塑,資產總額,"3,318,769","4,098,928","4,197,925"
3141 晶宏,資產總額,"1,036,255","1,191,322","1,265,116"
3144 新揚科,資產總額,"2,470,974","2,671,375","2,916,898"
3147 大綜,資產總額,"955,765","919,458","1,036,589"
3152 璟德,資產總額,"3,497,535","3,637,002","3,759,782"
3162 精確,資產總額,"1,081,005","857,083","830,586"
3163 波若威,資產總額,"2,284,535","2,612,692","2,263,646"
3169 亞信,資產總額,"870,391","841,994","900,927"
3171 新洲,資產總額,"1,756,978","1,694,973","1,552,199"
3176 基亞,資產總額,"4,494,435","4,822,311","4,846,307"
3178 公準,資產總額,"1,383,659","1,524,405","1,644,765"
3188 鑫龍騰,資產總額,"425,251","1,419,411","1,907,574"
3191 和進,資產總額,"776,578","468,896","421,429"
3202 樺晟,資產總額,"2,678,781","2,757,417","2,604,852"
3205 佰研,資產總額,"1,131,659","1,412,411","1,062,623"
3206 志豐,資產總額,"1,205,930","1,420,416","1,632,245"
3207 耀勝,資產總額,"767,277","695,917","600,453"
3211 順達,資產總額,"16,599,888","16,243,176","15,796,981"
3213 茂訊,資產總額,"1,651,777","1,807,054","1,994,693"
3217 優群,資產總額,"1,920,428","2,054,010","2,270,022"
3218 大學光,資產總額,"1,889,865","1,742,737","2,004,293"
3219 倚強股份,資產總額,"179,044","139,858","194,121"
3221 台嘉碩,資產總額,"2,227,204","2,346,402","2,407,314"
3224 三顧,資產總額,"1,033,583","808,867","779,696"
3226 至寶電,資產總額,"1,172,083","1,280,115","1,347,540"
3227 原相,資產總額,"6,475,056","6,472,283","7,223,274"
3228 金麗科,資產總額,"548,352","510,874","532,509"
3230 錦明,資產總額,"2,386,069","1,845,238","1,478,469"
3232 昱捷,資產總額,"631,651","508,305","868,330"
3234 光環,資產總額,"4,436,030","3,774,732","3,337,627"
3236 千如,資產總額,"1,466,894","1,639,304","2,300,068"
3252 海灣,資產總額,"4,308,947","4,064,779","3,948,534"
3259 鑫創,資產總額,"833,831","725,916","656,364"
3260 威剛,資產總額,"20,603,925","24,761,523","27,249,948"
3264 欣銓,資產總額,"13,366,416","15,638,293","16,276,452"
3265 台星科,資產總額,"7,700,436","7,073,428","6,042,772"
