公司,Data Field,2015/12/31,2016/12/30
1240 茂生農經,資產總額,"1,099,146","1,369,517"
1258 其祥-KY,資產總額,"1,562,040","1,647,203"
1259 安心,資產總額,"2,610,793","2,760,223"
1264 德麥,資產總額,"2,947,057","2,917,922"
1268 漢來美食,資產總額,"2,435,304","2,605,655"
1333 恩得利,資產總額,"1,088,225","886,959"
1336 台翰,資產總額,"2,717,955","2,437,407"
1565 精華,資產總額,"6,562,800","7,344,618"
1569 濱川,資產總額,"4,656,020","4,604,806"
1570 力肯,資產總額,"780,737","869,266"
1580 新麥,資產總額,"2,928,910","3,117,303"
1584 精剛,資產總額,"3,025,149","1,931,211"
1586 和勤,資產總額,"2,613,517","2,754,344"
1591 駿吉-KY,資產總額,"630,793","616,172"
1593 祺驊,資產總額,"1,037,807","1,018,135"
1595 川寶,資產總額,"2,498,955","2,417,343"
1597 直得,資產總額,"2,276,256","2,196,373"
1599 宏佳騰,資產總額,"1,802,120","1,990,486"
1742 台蠟,資產總額,"1,074,603","850,045"
1752 南光,資產總額,"3,045,420","3,172,164"
1777 生泰,資產總額,"1,224,186","1,287,465"
1781 合世,資產總額,"695,882","641,827"
1784 訊聯,資產總額,"1,915,483","1,872,487"
1785 光洋科,資產總額,"21,171,925","19,220,789"
1787 福盈科,資產總額,"1,630,183","1,710,500"
1788 杏昌,資產總額,"2,431,198","2,470,976"
1795 美時,資產總額,"15,501,941","15,196,851"
1796 金穎生技,資產總額,"345,179","496,304"
1799 易威,資產總額,"951,913","1,267,283"
1813 寶利徠,資產總額,"1,131,204","1,238,707"
1815 富喬,資產總額,"11,973,768","12,370,656"
2035 唐榮,資產總額,"18,770,292","19,253,678"
2061 風青,資產總額,"1,004,314","1,009,923"
2063 世鎧,資產總額,"1,170,516","1,284,647"
2064 晉椿,資產總額,"2,745,577","3,227,473"
2065 世豐,資產總額,"1,265,625","1,460,674"
2066 世德,資產總額,"1,334,997","1,683,903"
2067 嘉鋼,資產總額,"1,245,719","1,342,788"
2070 精湛,資產總額,"1,222,429","1,361,579"
2221 大甲,資產總額,"1,176,734","1,285,562"
2230 泰茂,資產總額,"807,907","1,003,074"
2235 謚源,資產總額,"1,475,613","1,490,658"
2596 綠意,資產總額,"2,576,199","2,586,477"
2640 大車隊,資產總額,"2,579,103","2,441,681"
2641 正德,資產總額,"4,215,684","4,856,038"
2643 捷迅,資產總額,"971,681","1,080,845"
2718 晶悅,資產總額,"887,690","830,731"
2719 燦星旅,資產總額,"954,444","846,585"
2724 富驛-KY,資產總額,"2,264,362","1,550,134"
2726 雅茗-KY,資產總額,"1,352,945","1,364,960"
2729 瓦城,資產總額,"2,286,518","2,339,118"
2732 六角,資產總額,"1,298,081","1,658,788"
2734 易飛網,資產總額,"1,107,886","960,240"
2736 高野,資產總額,"1,792,293","2,167,776"
2740 天蔥,資產總額,"421,709","401,125"
2745 五福,資產總額,"1,251,016","1,257,231"
2752 豆府,資產總額,"243,857","327,368"
2916 滿心,資產總額,"1,294,402","1,211,545"
2924 東凌-KY,資產總額,"1,416,338","1,290,416"
2926 誠品生活,資產總額,"4,579,409","4,831,669"
2928 紅馬-KY,資產總額,"1,801,812","3,413,713"
2937 集雅社,資產總額,"894,278","988,115"
3064 泰偉,資產總額,"1,018,362","1,008,288"
3066 李洲,資產總額,"1,412,109","1,303,519"
3067 全域,資產總額,"330,678","317,784"
3071 協禧,資產總額,"2,499,855","2,453,548"
3073 凱柏實業,資產總額,"553,697","534,084"
3078 僑威,資產總額,"6,433,276","6,380,086"
3081 聯亞,資產總額,"3,993,166","4,078,537"
3083 網龍,資產總額,"1,406,252","1,270,873"
3085 新零售,資產總額,"383,922","750,166"
3086 華義,資產總額,"808,789","463,517"
3088 艾訊,資產總額,"2,990,537","3,345,587"
3089 元炬,資產總額,"994,824","873,050"
3092 鴻碩,資產總額,"2,554,715","2,780,615"
3093 港建,資產總額,"1,252,132","1,192,889"
3095 及成,資產總額,"4,858,743","1,311,444"
3105 穩懋,資產總額,"24,111,473","26,410,639"
3114 好德,資產總額,"1,553,452","1,514,964"
3115 寶島極,資產總額,"757,826","623,062"
3118 進階,資產總額,"681,917","675,969"
3122 笙泉,資產總額,"679,055","659,776"
3128 昇銳,資產總額,"940,800","911,870"
3131 弘塑,資產總額,"3,318,769","4,098,928"
3141 晶宏,資產總額,"1,036,255","1,191,322"
3144 新揚科,資產總額,"2,470,974","2,671,375"
3147 大綜,資產總額,"955,765","919,458"
3152 璟德,資產總額,"3,497,535","3,637,002"
3162 精確,資產總額,"1,081,005","857,083"
3163 波若威,資產總額,"2,284,535","2,612,692"
3169 亞信,資產總額,"870,391","841,994"
3171 新洲,資產總額,"1,756,978","1,694,973"
3176 基亞,資產總額,"4,494,435","4,822,311"
3178 公準,資產總額,"1,383,659","1,524,405"
3188 鑫龍騰,資產總額,"425,251","1,419,411"
3191 和進,資產總額,"776,578","468,896"
3202 樺晟,資產總額,"2,678,781","2,757,417"
3205 佰研,資產總額,"1,131,659","1,412,411"
