mean_before_daily,0.0649%
mean_after_daily,-0.0009%
mean_before_weekly,0.3381%
mean_after_weekly,0.026%
mean_before_monthly,1.6896%
mean_after_monthly,-0.2685%
mean_before_cash,3.3115%
mean_after_cash,4.5116%
std_before_daily,1.5167%
std_after_daily,1.703%
std_before_weekly,3.0528%
std_after_weekly,3.6999%
std_before_monthly,5.8145%
std_after_monthly,6.8822%
std_before_cash,3.0143%
std_after_cash,2.6355%
median_before_daily,-0.0022%
median_after_daily,-0.0244%
median_before_weekly,0.1966%
median_after_weekly,-0.0021%
median_before_monthly,1.4454%
median_after_monthly,-0.442%
median_before_cash,2.7755%
median_after_cash,3.999%
max_before_daily,0.7699%
max_after_daily,0.5161%
max_before_weekly,3.8274%
max_after_weekly,2.461%
max_before_monthly,-6.336%
max_after_monthly,11.9393%
max_before_cash,20.5408%
max_after_cash,24.3064%
min_before_daily,-0.3193%
min_after_daily,-0.6851%
min_before_weekly,-1.4325%
min_after_weekly,-2.8611%
min_after_monthly,-9.6387%
min_before_cash,0.0%
min_after_cash,0.0%
0.25_before_daily,-0.0406%
0.25_after_daily,-0.0612%
0.25_before_weekly,-0.1927%
0.25_after_weekly,-0.265%
0.25_before_monthly,-0.7482%
0.25_after_monthly,-1.6785%
0.25_before_cash,1.177%
0.25_after_cash,1.5983%
0.75_before_daily,0.1521%
0.75_after_daily,0.0649%
0.75_before_weekly,0.7794%
0.75_after_weekly,0.3314%
0.75_before_monthly,3.5073%
0.75_after_monthly,1.1368%
0.75_before_cash,4.2373%
0.75_after_cash,5.5667%
tttest_mean_daily,0.0%
tttest_mean_weekly,0.0%
ttest_mean_monthly,significant
ttest_std_daily,significant
ttest_std_weekly,significant
ttest_std_monthly,significant
ttest_median_daily,not significant
ttest_median_weekly,significant
ttest_median_monthly,significant
