證券代碼,Data Field,2016/11/1,2016/11/2,2016/11/3,2016/11/4,2016/11/7,2016/11/8,2016/11/9,2016/11/10,2016/11/11,2016/11/14,2016/11/15,2016/11/16,2016/11/17,2016/11/18,2016/11/21,2016/11/22,2016/11/23,2016/11/24,2016/11/25,2016/11/28,2016/11/29,2016/11/30,2016/12/1,2016/12/2,2016/12/5,2016/12/6,2016/12/7,2016/12/8,2016/12/9,2016/12/12,2016/12/13,2016/12/14,2016/12/15,2016/12/16,2016/12/19,2016/12/20,2016/12/21,2016/12/22,2016/12/23,2016/12/26,2016/12/27,2016/12/28,2016/12/29,2016/12/30,2017/1/3,2017/1/4,2017/1/5,2017/1/6,2017/1/9,2017/1/10,2017/1/11,2017/1/12,2017/1/13,2017/1/16,2017/1/17,2017/1/18,2017/1/19,2017/1/20,2017/1/23,2017/1/24,2017/2/2,2017/2/3,2017/2/6,2017/2/7,2017/2/8,2017/2/9,2017/2/10,2017/2/13,2017/2/14,2017/2/15,2017/2/16,2017/2/17,2017/2/18,2017/2/20,2017/2/21,2017/2/22,2017/2/23,2017/2/24,2017/3/1,2017/3/2,2017/3/3,2017/3/6,2017/3/7,2017/3/8,2017/3/9,2017/3/10,2017/3/13,2017/3/14,2017/3/15,2017/3/16,2017/3/17,2017/3/20,2017/3/21,2017/3/22,2017/3/23,2017/3/24,2017/3/27,2017/3/28,2017/3/29,2017/3/30,2017/3/31,2017/4/5,2017/4/6,2017/4/7,2017/4/10,2017/4/11,2017/4/12,2017/4/13,2017/4/14,2017/4/17,2017/4/18,2017/4/19,2017/4/20,2017/4/21,2017/4/24,2017/4/25,2017/4/26,2017/4/27,2017/4/28,2017/5/2,2017/5/3,2017/5/4,2017/5/5,2017/5/8,2017/5/9,2017/5/10,2017/5/11,2017/5/12,2017/5/15,2017/5/16,2017/5/17,2017/5/18,2017/5/19,2017/5/22,2017/5/23,2017/5/24,2017/5/25,2017/5/26,2017/5/31,2017/6/1,2017/6/2,2017/6/3,2017/6/5,2017/6/6,2017/6/7,2017/6/8,2017/6/9,2017/6/12,2017/6/13,2017/6/14,2017/6/15,2017/6/16,2017/6/19,2017/6/20,2017/6/21,2017/6/22,2017/6/23,2017/6/26,2017/6/27,2017/6/28,2017/6/29,2017/6/30,2017/7/3,2017/7/4,2017/7/5,2017/7/6,2017/7/7,2017/7/10,2017/7/11,2017/7/12,2017/7/13,2017/7/14,2017/7/17,2017/7/18,2017/7/19,2017/7/20,2017/7/21,2017/7/24,2017/7/25,2017/7/26,2017/7/27,2017/7/28,2017/7/31,2017/8/1,2017/8/2,2017/8/3,2017/8/4,2017/8/7,2017/8/8,2017/8/9,2017/8/10,2017/8/11,2017/8/14,2017/8/15,2017/8/16,2017/8/17,2017/8/18,2017/8/21,2017/8/22,2017/8/23,2017/8/24,2017/8/25,2017/8/28,2017/8/29,2017/8/30,2017/8/31,2017/9/1,2017/9/4,2017/9/5,2017/9/6,2017/9/7,2017/9/8,2017/9/11,2017/9/12,2017/9/13,2017/9/14,2017/9/15,2017/9/18,2017/9/19,2017/9/20,2017/9/21,2017/9/22,2017/9/25,2017/9/26,2017/9/27,2017/9/28,2017/9/29,2017/9/30,2017/10/2,2017/10/3,2017/10/5,2017/10/6,2017/10/11,2017/10/12,2017/10/13,2017/10/16,2017/10/17,2017/10/18,2017/10/19,2017/10/20,2017/10/23,2017/10/24,2017/10/25,2017/10/26,2017/10/27,2017/10/30,2017/10/31
1240 茂生農經,(賣價-買價),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240 茂生農經,(賣價-買價)/P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258 其祥-KY,(賣價-買價),0.15,0.35,0.05,0.4,0.3,0.35,0.05,0.45,0.2,0.1,0.05,0.35,0.25,0.1,0.05,0.1,0.15,0.3,0.05,0.3,0.1,0.1,0.1,0.3,0.45,0.05,0.1,0.35,0.2,0.45,0.1,0.15,0.05,0.25,0.05,0.15,0.1,0.15,0.05,0.1,0.1,0.2,0.25,0.1,0.25,0.15,0.1,0.1,0.05,0.3,0.15,0.2,0.35,0.2,0.1,0.2,0.15,0.05,0.05,0.2,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.25,0.25,0.05,0.05,0.3,0.35,0.1,0.15,0.05,0.3,0.1,0.15,0.25,0.05,0.15,0.3,0.45,0.25,0.35,0.4,0.25,0.1,0.05,0.1,0.25,0.1,0.15,0.55,0.1,0.4,0.15,0.05,0.15,0.05,0.2,0.1,0.15,0.4,0.6,0.45,0.3,0.35,0.5,0.35,0.35,0.25,0.15,0.4,0.55,0.2,0.3,0.15,0.1,0.2,0.1,0.3,0.1,0.25,0.5,0.3,0.2,0.2,0.05,0.1,0.15,0.05,0.3,0.1,0.15,0.2,0.15,0.2,0.15,0.25,0.2,0.15,0.3,0.25,0.05,0.2,0.25,0.2,0.05,0.15,0.2,0.2,0.1,0.05,0.1,0.15,0.1,0.4,0.3,0.3,0.05,0.05,0.25,0.1,0.15,0.25,0.15,0.1,0.25,0.05,0.15,0.6,0.05,0.05,0.4,0.25,0.1,0.25,0.1,0.3,0.05,0.35,0.15,0.15,0.15,0.15,0.35,0.65,0.55,0.05,0.55,0.65,0.55,0.05,0.05,0.4,0.4,0.3,0.3,0.3,0.3,0.25,0.35,0.55,0.05,0.45,1.65,0.4,0.75,0.4,0.2,0.35,0.25,0.15,0.45,0.1,0.5,0.2,0.2,0.3,0.4,0.1,0.15,0.4,0.1,0.2,0.2,0.05,0.1,0.1,0.3,0.4,0.3,0.6,0.5,0.2,0.35,0.35,0.15,0.1,0.05,0.2,0.4,0.3
1258 其祥-KY,(賣價-買價)/P,0.004297994,0.010195165,0.001468429,0.011554015,0.008595989,0.010098096,0.001470588,0.012964564,0.005841121,0.002857143,0.001426941,0.010043042,0.007163324,0.002849815,0.001419245,0.002774695,0.004145937,0.008379888,0.0013947,0.008356546,0.002770851,0.002774695,0.002703433,0.0081103,0.012228261,0.001362398,0.002686728,0.009451796,0.005379236,0.012274959,0.002700513,0.004081633,0.001365747,0.006811989,0.001374759,0.004145937,0.002774695,0.004173623,0.001385425,0.002760144,0.002749519,0.005491488,0.006854949,0.002707093,0.006811989,0.004070556,0.00269324,0.002696872,0.001353546,0.008060183,0.00403986,0.005401026,0.00951087,0.005434783,0.00269324,0.005331911,0.004024685,0.001341562,0.001341562,0.005339028,0.002609603,0.001306506,0.002616431,0.002622607,0.002632965,0.00262605,0.002619859,0.002622607,0.001319609,0.006615507,0.006615507,0.001319609,0.001328021,0.008008542,0.009403546,0.002683123,0.003984064,0.001313025,0.007867821,0.002622607,0.00397351,0.006606765,0.001314752,0.003944255,0.007898894,0.011817227,0.006673785,0.009378349,0.010718114,0.006656017,0.002683123,0.001415228,0.002872738,0.007181844,0.002872738,0.004251701,0.015759312,0.002920561,0.011668611,0.004375729,0.001458576,0.004375729,0.001452222,0.005762028,0.002841716,0.004251701,0.011524056,0.017286085,0.013142523,0.00892326,0.010367299,0.014810427,0.010379597,0.010321439,0.007405213,0.004455004,0.011848341,0.016243355,0.005873715,0.008787346,0.004411765,0.002929115,0.005891016,0.002945508,0.008910009,0.002945508,0.00736377,0.014667058,0.009208103,0.006095703,0.006086427,0.001491202,0.00297885,0.004486988,0.001493429,0.008810573,0.00288517,0.004327755,0.00575374,0.004315305,0.00575374,0.004309107,0.007163324,0.005730659,0.004297994,0.00851547,0.007086168,0.001409642,0.005520287,0.00704821,0.005578801,0.001380072,0.004140215,0.00554939,0.005535566,0.002767783,0.001383892,0.002763958,0.004156276,0.002774695,0.011188811,0.008391608,0.008347245,0.001385425,0.001392758,0.006973501,0.002774695,0.004108463,0.007010656,0.004206394,0.002797203,0.006993007,0.001392758,0.004200504,0.016958734,0.001409642,0.001413228,0.011277136,0.007134703,0.002857143,0.007130633,0.002852253,0.00863061,0.001436369,0.009997144,0.004332756,0.004383402,0.004357931,0.004383402,0.010213014,0.018646013,0.016138498,0.001571833,0.016949153,0.01993865,0.016845329,0.00154321,0.001536098,0.012106538,0.011961722,0.009104704,0.00889416,0.008971292,0.008971292,0.007543754,0.010622155,0.016496701,0.001504212,0.013497301,0.049788775,0.011961722,0.022169672,0.011926058,0.006016847,0.010577214,0.007566586,0.004539952,0.013719512,0.00304414,0.015267176,0.006144393,0.00618047,0.009342884,0.012437811,0.003124024,0.004693367,0.012496095,0.003128911,0.006277464,0.006295247,0.001588815,0.003177629,0.003157562,0.009472687,0.012932428,0.009683667,0.019367334,0.015837821,0.006435006,0.011210762,0.011225144,0.004708098,0.003114295,0.001549907,0.00618047,0.012380068,0.009328358
1259 安心,(賣價-買價),1.3,0.9,0.3,0.4,1.3,0.3,1.7,1.4,0.7,0.4,0.1,0.3,0.2,0.2,0.5,0.6,0.5,0.2,0.3,0.6,0.4,0.6,0.6,0.3,0.4,0.8,0.2,0.5,0.3,0.5,0.1,0.1,0.2,0.5,0.3,0.4,0.2,0.4,0.6,0.5,0.6,0.9,0.9,0.2,0.9,0.7,0.8,0.7,0.4,0.5,0.8,1.1,0.4,0.5,0.8,0.9,0.8,0.9,0.7,1.3,0.5,0.5,0.3,0.3,0.2,1.1,0.4,0.4,0.2,0.2,0.4,0.4,0.4,0.5,0.3,0.5,0.6,0.2,0.9,0.3,0.7,0.7,0.7,0.2,0.2,0.4,0.5,0.7,0.8,0.1,0.6,0.1,0.7,0.1,0.4,0.9,1,0.7,0.9,0.6,0.9,0.7,0.6,0.4,1,0.6,0.9,0.8,1,1,0.5,0.8,0.5,1,0.6,0.1,0.6,0.4,0.1,0.1,0.7,0.7,0.4,0.7,1.3,0.7,1,0.5,0.4,0.4,0.7,0.9,1.3,-93.5,0.8,0.6,0.3,0.4,0.7,0.8,0.5,-102,1.5,0.5,1.4,0.5,0.8,2,1.2,0.7,0.9,1.2,1.2,0.8,0.6,0.7,0.3,0.3,1,0.4,0.2,0.9,1.4,0.4,0.4,1.6,1,0.9,0.8,1.6,0.6,0.6,0.4,0.8,0.7,0.8,0.7,0.7,1.1,1.4,0.6,0.9,1.1,0.5,0.3,0.5,0.7,1.1,0.7,1.4,0.6,1.9,0.7,1.2,0.7,0.6,0.6,0.6,0.4,0.3,0.4,0.5,0.2,0.6,0.9,2.3,1.2,0.5,0.7,0.2,0.8,1,1,0.8,0.9,1.3,0.8,0.8,0.6,0.9,0.9,1.2,0.8,1.4,1.2,0.8,1.1,0.4,0.8,1.2,0.5,1,0.7,0.4,0.2,0.4,0.3,1.7,1.2,1.2,0.5,1.2,0.4,1,0.3,1,1.4
1259 安心,(賣價-買價)/P,0.018439716,0.012944053,0.00443984,0.005767844,0.018867925,0.004382121,0.024930342,0.020449898,0.010251904,0.005767844,0.001445713,0.00433714,0.002895194,0.002895194,0.007247427,0.008708273,0.007209805,0.002883922,0.004314684,0.008651766,0.005752912,0.008488964,0.008488964,0.004202269,0.005581915,0.011347518,0.002818887,0.007118451,0.004309726,0.007219174,0.001449485,0.001454969,0.002932981,0.007303535,0.004399472,0.005873715,0.00295203,0.005881488,0.008949881,0.00746826,0.008961912,0.013497301,0.013233348,0.002940744,0.01331952,0.010469638,0.011965301,0.010469638,0.005888415,0.007360518,0.011887073,0.016408115,0.005966587,0.007380074,0.0119976,0.013497301,0.011981429,0.013497301,0.01048375,0.019496101,0.007399734,0.007448235,0.004463621,0.004457652,0.002955956,0.015986049,0.005752912,0.005752912,0.002891427,0.00287315,0.005738881,0.005805515,0.005805515,0.007256894,0.004354136,0.007256894,0.008608321,0.002862049,0.012717253,0.00421763,0.009991436,0.009953078,0.009929078,0.002851033,0.002854696,0.005760369,0.007191141,0.010093727,0.011535689,0.00142369,0.008575104,0.001381788,0.009719522,0.001397233,0.005673759,0.012796815,0.014218683,0.009965831,0.012944053,0.008651766,0.013062409,0.009991436,0.008564088,0.005805515,0.0143287,0.008663009,0.013094718,0.011716462,0.014664907,0.014568765,0.007284382,0.011655012,0.007284382,0.014568765,0.008741259,0.001466491,0.008685582,0.005858231,0.001479947,0.001479947,0.010387298,0.010373444,0.005904059,0.010146398,0.018769853,0.009965831,0.014419611,0.007173601,0.005506608,0.005280528,0.009122898,0.011909488,0.017202594,-1.124744376,0.009976306,0.007465472,0.00366793,0.005060729,0.008747813,0.009986269,0.006047412,-1.124710552,0.016956817,0.005797774,0.016403046,0.005827506,0.009471939,0.02360439,0.014132611,0.008429672,0.010814708,0.014435222,0.013772524,0.009061049,0.006755235,0.007834359,0.003397893,0.003387916,0.011247329,0.00443066,0.002254283,0.010154575,0.015812062,0.004517732,0.004498932,0.017885088,0.011485012,0.010336511,0.009119927,0.018221159,0.006832935,0.006825939,0.004579279,0.009139724,0.00818522,0.009405126,0.008301708,0.008365201,0.013087448,0.016112326,0.007084662,0.01071939,0.013305915,0.006061341,0.003557875,0.005929791,0.008247909,0.013073449,0.008319468,0.017048222,0.007355645,0.022803649,0.0088395,0.015187951,0.008964016,0.007638447,0.007611315,0.007664793,0.005116398,0.003837299,0.005010648,0.00626331,0.002496567,0.007507508,0.011120722,0.028614083,0.01525941,0.006379992,0.008921744,0.002551997,0.010317256,0.012911556,0.012835323,0.01017294,0.011444557,0.016746103,0.010329245,0.010268258,0.007701194,0.011551791,0.011551791,0.015402387,0.01036538,0.01871908,0.015927794,0.010591818,0.014458465,0.005264543,0.010403121,0.015849954,0.006636581,0.013239772,0.00914674,0.005264543,0.002644803,0.005289606,0.003977197,0.0223449,0.015868818,0.01590879,0.006572029,0.015680125,0.005226708,0.013144059,0.003943218,0.013144059,0.01829348
1264 德麥,(賣價-買價),1,0.5,0.5,0.5,2.5,1,1,1.5,0.5,1.5,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,1,1,2,1,0.5,2,0.5,2,2,0.5,1,1,2,0.5,0.5,1.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,2.5,1.5,2.5,2,2,1,0.5,0.5,1.5,1,0.5,2,1,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,1.5,1,1.5,2,0.5,0.5,1,0.5,1,0.5,1.5,1.5,0.5,1,1,1,1.5,0.5,1,0.5,0.5,1.5,0.5,2.5,1.5,1.5,1.5,0.5,1.5,1,0.5,1,0.5,0.5,1,1,0.5,2,1.5,1.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,1,1.5,0.5,0.5,1.5,1,1.5,0.5,0.5,1.5,0.5,2,3,0.5,0.5,1.5,3,0.5,1,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,0.5,1.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,2,1.5,0.5,0.5,1.5,0.5,0.5,0.5,0.5,1,0.5,1.5,1.5,1.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,0.5,1,1,2,1,1,0.5,1,2,1.5,0.5,0.5,1.5,1.5,2.5,1,0.5,2,1.5,0.5,1,0.5,1,1,1,1,2,1.5,0.5,1,1,0.5,0.5,0.5,1,1.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,0.5,1,0.5,1.5,1,1,1,1.5,3,1.5,1
1264 德麥,(賣價-買價)/P,0.006663113,0.00338524,0.00338524,0.003376097,0.016657783,0.006716368,0.006825473,0.010128292,0.003349186,0.010074552,0.003279764,0.003279764,0.006542362,0.003262643,0.00324591,0.006425909,0.003196727,0.006345178,0.003164557,0.003156765,0.003125391,0.006266449,0.003125391,0.003110033,0.003042658,0.003072197,0.003079766,0.006129329,0.006189651,0.006297626,0.00623558,0.012563603,0.006220066,0.003110033,0.01262706,0.003156765,0.012563603,0.012658228,0.003172589,0.00631353,0.006250781,0.01262706,0.003148813,0.003133225,0.009446439,0.003148813,0.003140901,0.003148813,0.006297626,0.003133225,0.00311779,0.00311779,0.003133225,0.015744064,0.009446439,0.015626953,0.01247116,0.01247116,0.006204629,0.003102314,0.003072197,0.009019301,0.005900401,0.002950201,0.011828021,0.005900401,0.002936513,0.002889338,0.002889338,0.002889338,0.005726393,0.002889338,0.002889338,0.005792065,0.005726393,0.00286977,0.00860931,0.005752416,0.008728034,0.011531365,0.002882841,0.002882841,0.005611987,0.002756948,0.005538018,0.00274499,0.008025682,0.007924768,0.002663825,0.005305321,0.005305321,0.005305321,0.008008542,0.002658302,0.005327651,0.002658302,0.002709587,0.008181521,0.002733137,0.013376137,0.007991476,0.00794155,0.007908056,0.002598077,0.007875256,0.005272037,0.002625085,0.00526122,0.002663825,0.002663825,0.00526122,0.005305321,0.002625085,0.010500341,0.007859164,0.007794232,0.007762368,0.002587456,0.007667928,0.007501125,0.002500375,0.002515344,0.002530364,0.00252538,0.00254065,0.00505076,0.007501125,0.002490536,0.00245652,0.007456751,0.004990767,0.007486151,0.002530364,0.00252538,0.00738407,0.00245652,0.009864852,0.014972301,0.002510292,0.002510292,0.007606491,0.015429718,0.002535497,0.005030687,0.002515344,0.002510292,0.00505076,0.00505076,0.00252538,0.00505076,0.00252538,0.00252538,0.002520288,0.002520288,0.007501125,0.002490536,0.004971167,0.004990767,0.004990767,0.002500375,0.002505261,0.002495384,0.002447022,0.002332742,0.009370315,0.007103282,0.002388231,0.002414409,0.007227174,0.002435698,0.002441049,0.002446543,0.002446543,0.004797314,0.002362726,0.007057827,0.007042915,0.00719597,0.002414409,0.002441049,0.002424948,0.012205243,0.002446543,0.002446543,0.002451942,0.002457365,0.004903884,0.004903884,0.009807768,0.004925866,0.004970179,0.002479544,0.004936809,0.009873618,0.007455268,0.00249066,0.002496256,0.00747198,0.007438631,0.012397719,0.00498132,0.002485089,0.009985022,0.00747198,0.002496256,0.00498132,0.002485089,0.004959088,0.00498132,0.004992511,0.004959088,0.009940358,0.007488767,0.002485089,0.004970179,0.004947801,0.0024739,0.002462933,0.0024739,0.00498132,0.007405213,0.002479544,0.0024739,0.002485089,0.004947801,0.0024739,0.002468404,0.002462933,0.004914729,0.004893086,0.004914729,0.004925866,0.009851731,0.002485089,0.002485089,0.009851731,0.0024739,0.004959088,0.002485089,0.007438631,0.004936809,0.004936809,0.004925866,0.007388799,0.014843402,0.007421701,0.004936809
1268 漢來美食,(賣價-買價),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,1,0.5,0.5,1,1,0.5,1.5,0.5,0.5,1.5,0.5,1,0.5
1268 漢來美食,(賣價-買價)/P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003242542,0.003270325,0.003357057,0.003357057,0.003366777,0.006733553,0.003386845,0.006753563,0.003448276,0.006917543,0.007133685,0.003646441,0.003635042,0.007223868,0.007178236,0.003437844,0.010376314,0.003458771,0.003458771,0.010471204,0.003490401,0.007002311,0.003511976
