證券代碼,Data Field,2015/7/31,2015/8/31,2015/9/30,2015/10/30,2015/11/30,2015/12/31,2016/1/30,2016/2/26,2016/3/31,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31
1101 台泥,月報酬率 %,-6.3415,1.9006,-4.304,8.5456,-18.6464,-7.3003,-0.0002,9.89,4.9998,4.4446,-8.6626,6.6553,9.8977,6.9321
1101 台泥,現股當沖比重,2,4.36,1.62,1.45,2.29,3.09,1.19,0.72,5.8,6.85,2.04,4.72,0.32,1.28
1102 亞泥,月報酬率 %,-5.0684,0.8658,-1.6508,4.8135,-18.0742,-0.9041,-4.1972,5.143,6.5215,-2.2109,-13.5652,12.2737,4.6594,0.8563
1102 亞泥,現股當沖比重,0.71,2.41,0.52,0.41,0.71,2.06,3.05,4.43,1.52,6.12,0.64,0.53,1.02,2.89
1103 嘉泥,月報酬率 %,-10.3734,-9.9074,6.3599,7.4627,-8.5184,-3.6435,-4.937,3.0938,1.1791,-2.8603,-8.833,-0.1196,6.8264,2.3708
1103 嘉泥,現股當沖比重,0,0,0,0,0,0,0,0.82,8.44,0,0.19,0,0,1.3
1104 環泥,月報酬率 %,-6.3896,-11.5546,-2.1379,11.408,0.6537,-2.5973,-8.6666,1.7031,6.9377,-7.6063,-2.9055,9.2269,3.6336,12.8206
1104 環泥,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0.4,0.79,0
1108 幸福,月報酬率 %,-0.1647,5.5,-2.8436,-0.0001,-2.439,1.0001,-4.8514,2.4974,4.0609,-0.9756,-0.4926,-0.0001,1.1634,-0.6398
1108 幸福,現股當沖比重,0,0,0,0,0,0,0,0,1.59,2.41,0,0,0.41,0
1109 信大,月報酬率 %,-6.6341,-9.3752,-0.0002,1.1822,-2.9124,0.5001,-2.6865,2.2496,-0.7,0.7049,0.5,-0.4975,3.5198,5.4186
1109 信大,現股當沖比重,0,0,0,0,0,0,0,11.15,5.5,1.2,0,1.71,0,1.51
1110 東泥,月報酬率 %,-3.9547,-9.0909,16.1539,0,-0.9934,5.6856,-10.4429,2.1201,4.844,2.9702,0,-2.5642,1.9824,0.3269
1110 東泥,現股當沖比重,0,0,0,0,0,0,0,0,0,6.88,5.54,14.71,22.22,0
1201 味全,月報酬率 %,12.2716,-9.3023,-1.0256,0.5184,-5.4124,-4.6323,3.4285,1.105,8.1966,0.7577,1.7543,3.9408,-4.9764,-3.99
1201 味全,現股當沖比重,0,0,0,0,0,0,0,1.44,0.79,0.42,6.3,6.95,0,1.34
1203 味王,月報酬率 %,-4.7826,-7.5341,3.3373,8.0402,6.0464,0.4385,-1.3101,-1.3273,-3.3633,-0.2319,1.1625,-0.2299,0.4609,2.5228
1203 味王,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210 大成,月報酬率 %,-2.9885,-13.9673,5.5395,8.8398,-1.2691,6.4264,-3.8648,11.3065,-6.0946,5.2885,17.8083,14.1471,-8.1494,2.1757
1210 大成,現股當沖比重,0,0,0,0,0,0,0,4.04,1.19,1.11,0.83,5.43,4.73,4.77
1213 大飲,月報酬率 %,-11.5839,-21.1231,0.339,7.0945,-2.2083,-2.258,-0.66,6.9767,13.9753,-5.1769,21.8391,-10.1415,-0.9712,-6.7055
1213 大飲,現股當沖比重,0,0,0,0,0,0,0,0,3.25,0,16.09,0,1.56,0
1215 卜蜂,月報酬率 %,-2.6925,-10.7765,8.9058,3.0372,8.8437,-4.1669,-3.0435,2.2424,8.7719,12.7018,14.4903,16.0935,4.7972,5.1351
1215 卜蜂,現股當沖比重,0,0,0,0,0,0,0,0,0.59,0.85,10.22,2.97,13.3,14.7
1216 統一,月報酬率 %,1.6452,11.2396,-1.7241,-3.5084,-2.1818,2.0445,0.5464,3.8042,-1.3962,3.009,6.7011,2.2541,2.6772,-5.0769
1216 統一,現股當沖比重,3.04,5.11,3.05,2.18,2.43,1.48,1.78,1.54,1.48,2.87,0.79,1.99,5.82,3.76
1217 愛之味,月報酬率 %,4.925,-18.2529,1.4353,7.3902,8.1994,21.5153,-5.5679,-2.7123,-2.0605,-0.6189,2.2417,-0.6091,0.0001,-1.7159
1217 愛之味,現股當沖比重,0,0,0,0,0,0,0,0.93,0.89,9.92,20.28,0,0.79,0.61
1218 泰山,月報酬率 %,-1.6666,-11.8646,-2.8848,2.4751,10.6279,5.2403,-0.8299,1.6737,2.4692,-2.8113,9.9175,-0.7518,2.2728,11.852
1218 泰山,現股當沖比重,0,0,0,0,0,0,0,1.78,5.75,0.71,1.97,1.69,0,2.24
1219 福壽,月報酬率 %,4.3948,-2.6492,0.0001,0.3403,0.6779,-1.3469,-3.7543,3.9007,4.4369,-1.3072,0.331,0.3301,2.3026,-0.0001
1219 福壽,現股當沖比重,0,0,0,0,0,0,0,0.38,0,0,0,0,4.41,0
1220 台榮,月報酬率 %,-1.084,0.5051,-0.7034,1.2145,5.5,1.8957,-2.3256,0.9523,-0.4717,-0.4738,3.3334,8.7557,-7.0267,5.238
1220 台榮,現股當沖比重,0,0,0,0,0,0,0,0,1.83,0,0,4.56,4.65,4.3
1225 福懋油,月報酬率 %,4.4815,-1.5281,6.2642,1.7468,3.2189,6.653,0.5848,5.0388,14.5757,-4.3479,25.7577,7.0952,28.0001,-1.2715
1225 福懋油,現股當沖比重,0,0,0,0,0,0,0,21.67,0,0.33,1,0.66,2.39,12.64
1227 佳格,月報酬率 %,3.4706,-13.1993,-3.9242,10.7042,-2.4173,7.0402,-2.8015,3.5088,-3.3898,-1.8797,-0.7662,1.5444,0.5069,11.6762
1227 佳格,現股當沖比重,8.39,4.47,1.08,10.39,1.35,2.21,8.12,1.53,6.8,2.54,0.79,1.97,0.87,1.53
1229 聯華,月報酬率 %,-3.4641,-2.4325,4.1097,5.2632,-5,-0.0001,-1.0525,2.9255,4.6513,-0.7407,2.9851,1.6908,1.1877,6.7174
1229 聯華,現股當沖比重,0,0,0,0,0,0,0,0,3.35,0,0.14,0.33,0,0.6
1231 聯華食,月報酬率 %,-1.25,-14.8734,0.1922,6.1418,3.0742,-0.8773,3.3628,0.1713,1.1964,-1.5203,8.4045,-0.4748,1.272,0.7543
1231 聯華食,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0.53
1232 大統益,月報酬率 %,2.2184,-3.9107,4.0697,4.19,-0.2682,0.8062,-0.6667,0.8052,5.0601,0.1267,0.1268,1.2642,4.9937,1.6437
1232 大統益,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1233 天仁,月報酬率 %,-2.8831,-5.8679,-2.5973,2.6665,-2.5974,-3.8666,-0.1386,5.5555,1.3159,-1.2986,-2.1052,1.6127,3.3141,-0.4048
1233 天仁,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234 黑松,月報酬率 %,-6.2833,0.76,-5.4298,1.7543,-1.7243,-0.0001,7.1769,7.143,-1.9444,-1.2746,-9.1822,3.1598,4.5595,0.1533
1234 黑松,現股當沖比重,0,0,0,0,0,0,0,0,0,0,4.87,2.92,0.78,2.77
1235 興泰,月報酬率 %,2.4525,-4.7871,0.5587,9.8001,-0.5463,5.2198,-0.7834,4.737,15.0754,1.0916,3.8877,-2.4947,-1.9191,5.8696
1235 興泰,現股當沖比重,0,0,0,0,0,0,0,0,4.79,39.03,1.47,0,11.11,3.04
1236 宏亞,月報酬率 %,-2.8043,-8.7719,0.721,3.58,-5.0693,4.3689,-3.9533,3.632,-2.57,-2.8776,-2.2223,1.0102,2.0088,-1.5228
1236 宏亞,現股當沖比重,0,0,0,0,0,0,0,3.98,0,0,0,0,0,19.87
1256 鮮活果汁-KY,月報酬率 %,-14.4186,-10.5261,5.1471,7.3425,-8.7949,-4.6429,-10.1123,17.9168,-12.7208,-2.8337,-9.9999,0.4629,-2.3923,54.9018
1256 鮮活果汁-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262 綠悅-KY,月報酬率 %,-8.965,-12.3505,3.6365,7.8948,1.6259,-4.7999,-6.3024,7.623,4.9999,11.905,10.2835,-3.8586,-1.6722,-3.7414
1262 綠悅-KY,現股當沖比重,3.18,9.49,7.31,0,0,0,0,1.52,1.94,7.09,10.52,2.01,5.86,4.04
1301 台塑,月報酬率 %,-1.3142,2.4285,-3.2079,8.7895,-2.384,4.4775,-0.6494,3.2681,1.0126,0.6265,-1.6189,-1.5191,4.6152,0.6429
1301 台塑,現股當沖比重,5.1,3.35,1.69,0.62,1.85,4.11,4.81,2.67,3.94,3.39,1.31,2.55,0.31,1.89
1303 南亞,月報酬率 %,-7.7882,-8.0621,-6.2395,16.3667,-9.428,4.0957,-4.426,9.4339,5.956,-6.5089,-1.5824,-1.9292,4.2446,0.3312
1303 南亞,現股當沖比重,2.57,6.5,2.32,0.98,2,6.36,1.53,3.18,2.66,3.71,2.56,1,0.74,1.04
1304 台聚,月報酬率 %,-11.5929,15.3154,5.8593,-0.0001,-8.8562,5.2633,2.6923,1.8727,-5.1471,-0.7751,-1.9534,-0.3983,7.1999,6.5891
1304 台聚,現股當沖比重,0,0,0,0,0,0,0,4.49,2.82,1.14,1.35,0.61,0.67,4.53
1305 華夏,月報酬率 %,0.9831,17.0507,0,12.9922,0.0001,5.2263,-5.9603,3.521,9.1837,-2.4924,-4.4729,4.0134,5.7881,29.3228
1305 華夏,現股當沖比重,0,0,0,0,0,0,0,8.55,3.78,3.05,2.54,4.53,0.91,3.74
1307 三芳,月報酬率 %,-13.7776,-2.579,38.2354,-13.9362,0.3708,-4.5567,-7.7418,3.3565,6.3601,-2.4173,0.3912,-1.4284,6.8129,-3.4481
1307 三芳,現股當沖比重,1.79,5.73,28.48,0,0,0,0,1.32,3.12,2.35,0.42,0,0.63,0
1308 亞聚,月報酬率 %,-9.0268,8.7664,5.0746,7.1022,-6.8967,-1.7094,6.3766,3.8148,-4.4619,-1.6485,-2.7934,-1.7242,5.263,4.2474
1308 亞聚,現股當沖比重,0,0,0,0,0,0,0,3.01,5.93,1.12,1.99,3.43,0.25,2.09
1309 台達化,月報酬率 %,-8.5365,20.4,-6.5336,8.0568,-21.0525,5.1388,-1.8493,4.0378,-0.1292,-0.9067,-2.8757,-1.8843,3.5665,1.3246
1309 台達化,現股當沖比重,0,0,0,0,0,0,0,2.86,0,2.07,5.54,0,1,1.22
1310 台苯,月報酬率 %,-1.9934,-13.5594,5.8824,4.8146,-5.3003,27.2389,1.173,6.0869,-3.5519,-8.2152,-2.778,-0.3175,7.6431,2.1823
1310 台苯,現股當沖比重,0,0,0,0,0,0,3.99,3.17,4.07,2.3,0.7,5.98,3.76,2.65
1312 國喬,月報酬率 %,-18.6554,3.7976,-8.2317,5.9799,-15.0472,14.3911,2.5808,5.6605,2.9761,-2.8904,-5.9522,-1.5823,13.6694,-4.4643
1312 國喬,現股當沖比重,5.03,6.35,2.39,2.48,3.76,7.35,10.29,3.62,3.5,2.71,4.27,5.8,4.25,5.8
1313 聯成,月報酬率 %,-9.3268,-2.8112,2.9052,7.8177,-9.3655,5.4443,-7.376,3.6406,-0.8779,-3.4329,1.491,2.3729,0.6621,8.6293
1313 聯成,現股當沖比重,0,0,0,0,0,0,0,8.51,1.03,0,1.46,2.2,0,5.13
1314 中石化,月報酬率 %,-9.6135,-7.3988,7.9899,-4.2773,-7.0048,2.987,0.6306,1.0023,0.4964,0.7406,-6.8626,-4.8687,4.841,-2.5066
1314 中石化,現股當沖比重,3.13,5.91,3.48,6.29,2.69,7.3,3.64,5.34,2.58,4.9,1.98,2.38,6.8,1.72
1315 達新,月報酬率 %,-0.4348,-7.0513,5.0575,3.2821,-0.6356,-2.5585,0.6565,1.5218,4.4967,-3.0738,2.1143,1.8634,3.2065,0
