證券代碼,Data Field,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/27,2018/3/31,2018/4/30
1240 茂生農經,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5674,-5.3876,2.5754,-0.5107,2.6518,-0.4167,10.8786,-1.4905,14.9396,-4.1828
1240 茂生農經,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258 其祥-KY,月報酬率 %,-3.2175,1.3297,1.8373,5.7435,0.3792,-3.0227,-4.6754,3.5425,2.5,1.4122,1.6456,-9.9626,-0.6917,2.0891,2.8649,-2.7747,-5.2334,-2.9852,0.6155,-11.4677,2.9361,-2.8525,-6.7358,8.1484,2.7398
1258 其祥-KY,現股當沖比重,0,4.44,0,4.08,1.43,0,7.14,0,1.98,7.3,4.17,0,0,0,0,0,0,0,0,50,0,0,0,0,3.85
1259 安心,月報酬率 %,-0.7033,1.2745,3.3621,3.3754,17.0067,1.9767,-9.5782,0.2522,-3.7737,-1.9609,4.8001,-1.3995,-1.9354,18.421,10.7166,-6.7218,-2.7715,-5.4732,0.7237,5.7487,1.2456,-3.8032,-1.744,-4.0238,1.8494
1259 安心,現股當沖比重,0,0,3.11,0,1.99,0,0,0,0,0,0,0,0,5.68,11.76,0,0,0,15.32,0,8.33,0,18.74,0,0
1264 德麥,月報酬率 %,-1.5544,3.6843,0.3145,-1.8766,0.8196,4.0652,-1.3022,6.3325,-0.0001,0.9925,7.8625,7.9726,4.2194,1.8217,0.5965,1.8121,-1.7739,1.1287,-0.2233,4.2506,0.8582,-1.2767,-0.0001,-1.293,-3.9302
1264 德麥,現股當沖比重,0,0,0,0,3.97,0,3.44,0,0,0,0,2.76,0,2.36,1.09,0,0,0,0,0,0,0,0,0,0
1268 漢來美食,月報酬率 %,5.8823,1.4944,-5.4794,-1.5577,4.0063,-1.8292,0.6274,-0.9383,-0.3117,-0.0002,-0.6253,7.8686,-1.4577,12.4262,-2.6317,5.5199,2.7173,13.3333,-4.4118,-7.0767,-5.96,2.4645,-5.4982,1.0909,0
1268 漢來美食,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333 恩得利,月報酬率 %,-22.3404,-28.4931,-2.299,33.3334,-2.059,-12.012,-18.0888,-8.2502,-2.9974,-3.9325,14.3276,-14.5779,26.3475,4.2654,-1.3635,-11.0598,-3.6272,7.527,-9.25,1.9285,6.4865,0.5075,1.01,14.9998,-19.3478
1333 恩得利,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1336 台翰,月報酬率 %,-2.378,6.0256,25.7558,4.3269,-9.6774,-5.6124,-11.5676,-5.9903,13.1339,-6.7817,21.8247,18.4209,3.4187,37.1901,6.6265,-3.3896,0.5848,24.709,-7.6924,-9.0908,5.5556,-4.4737,-0.2754,-4.9724,-6.1046
1336 台翰,現股當沖比重,2.7,0,0,13.01,0,0,0,0,0,21.72,0,12.5,1.5,33.47,17.41,11.92,5.74,22.95,17.11,3.26,6.74,4.6,0,2.53,0.53
1565 精華,月報酬率 %,-8.067,17.3839,1.9746,9.8111,1.4267,-6.7775,-9.0535,-7.9939,0.8198,-3.5772,-11.4672,17.143,-5.0406,-1.8838,10.9949,-2.201,15.0683,-6.3953,14.4411,18.0463,12.0687,-4.5127,-2.9003,-6.195,-5.6604
1565 精華,現股當沖比重,1.99,9.72,14.78,24.21,17.77,13.48,9.97,14.26,10.41,8.29,16.18,7.25,10.89,7.29,15.92,9.69,15.28,0,18.32,17.24,32.99,25.54,25.27,13.83,22.64
1569 濱川,月報酬率 %,-2.0878,-1.0661,2.3707,34.2107,63.1373,-0.481,29.2271,26.355,-5.0296,-8.0997,2.0338,-5.8141,37.7424,-2.9448,-1.8469,19.6236,-16.4045,9.2865,-4.3479,-4.4157,6.7938,4.7063,-8.241,3.6195,-27.1669
1569 濱川,現股當沖比重,3.33,0,0,13.19,19.89,17.18,23.99,27.97,20.37,21.31,17.19,46.2,44.64,14.05,16.36,48.14,8.44,35.43,11.47,10.02,9.77,12.07,25.56,16.68,9.17
1570 力肯,月報酬率 %,-5.1987,-7.097,0.3472,6.5745,1.1326,0.9969,-7.5658,0.3558,-0.7093,1.4286,-2.1125,-0.3597,-0.361,7.2463,-0.3376,1.6948,12.7589,-1.5291,5.9006,-7.6246,-5.397,-1.6778,-4.4368,1.0713,-2.4735
1570 力肯,現股當沖比重,1.36,0,0,3.49,3.61,4.41,5.49,7.87,0,0,0,2.11,0,0,0,0,5.53,3.12,1.14,2.52,0,0,0,2.08,0
1580 新麥,月報酬率 %,-8.1543,-2.8038,2.4039,13.1458,21.5881,2.1583,4.2255,3.7159,-7.8175,0.3534,-4.9296,2.9632,-0.0001,20.144,6.5868,0.5617,-5.598,-4.0373,-0.9709,7.843,3.0303,-1.1766,-4.7619,2.1874,-5.5046
1580 新麥,現股當沖比重,1.43,2.83,4.92,0.87,2.74,1.62,2.77,12.97,5.02,10.49,0,0,5.03,0.61,0,1.8,3.12,14.22,0,0,2.27,6.36,4.31,0,4.53
1584 精剛,月報酬率 %,-5.926,-6.6929,17.2997,-0.3596,2.5272,-0.7043,8.8655,-5.573,-8.3335,10.4895,-3.7976,15.1316,-6.2857,-22.5611,-4.7243,14.0496,-7.9711,-6.6928,-2.5315,-2.1644,2.2127,1.7317,0.8511,-4.6415,-0.4425
1584 精剛,現股當沖比重,0.47,0.84,3.34,2.27,13.64,31.13,0,3.59,13.95,15.99,49.74,17.28,59.37,38.77,5,27.5,5.99,16.05,5.78,0,51.85,3.46,1.1,9.62,4.84
1586 和勤,月報酬率 %,6.984,-6.38,1.9016,11.9754,-2.4338,-29.7044,-1.6337,1.3824,6.8181,-2.1277,16.7392,8.7522,-1.3698,0.6944,0.6897,-2.3972,16.3156,34.8415,-2.4608,8.1424,2.7573,-1.4449,-2.1989,-0.6422,-14.224
1586 和勤,現股當沖比重,3.59,0,0,0,2.27,16.52,3.08,1.77,24.98,2.57,3.6,1.99,2.75,17.66,0,24.48,3.74,17.45,34.87,61.1,4.83,16.48,23.85,20.9,13.28
1591 駿吉-KY,月報酬率 %,0.2603,-1.8181,24.0743,37.3133,12.4226,-9.3924,-14.6342,-10.8927,-4.2084,-10.042,8.8373,-9.6155,1.182,31.3085,6.5834,0.0001,10.551,-0.3323,14.3334,3.6444,-0.9847,20.5968,-2.5914,-4.2322,-14.6466
1591 駿吉-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61,11.23,30.12,35.29
1593 祺驊,月報酬率 %,-1.695,-0.2463,-1.6049,6.1098,-0.0002,-0.5089,-2.5578,4.1997,0.0001,-0.8817,0.6353,1.515,10.945,-8.9686,1.1085,1.2168,4.6692,4.0892,0.9524,17.6888,1.8037,-8.9567,0.5403,11.828,-8.5576
1593 祺驊,現股當沖比重,0,0,0,0,0,0,0,5,0,0,0,0,14.48,0,0,0,7.11,11.62,6.24,19.09,29.01,12.19,0,14.55,5.77
1595 川寶,月報酬率 %,-0.3602,-9.5841,-4.4001,0.8368,0.3247,-0.2298,-11.7511,-2.0888,6.5334,2.1276,15.4411,10.1908,-2.1196,0.3935,-0.3921,33.1319,1.0639,1.2032,2.0937,0.1471,-8.3824,4.3338,-2.6153,4.5812,-4.2297
1595 川寶,現股當沖比重,0,0,0,0,8,0,3.09,0,0,0,1.01,0,0,3.33,1.99,38.28,2.7,3.17,4.46,0,6.67,7.47,0,10.36,0
1597 直得,月報酬率 %,1.6234,-11.3417,5.0449,1.5439,9.4285,20.7579,-14.5975,-3.195,8.9113,-5.606,12.0388,2.0056,-3.5112,40.3203,4.5641,12.2564,31.655,18.7157,11.6224,3.0929,-12.9,45.8094,8.6614,15.9419,6.5623
1597 直得,現股當沖比重,13.54,6.55,1.92,5.94,8.78,7.68,2.15,10.48,25.26,1.94,4.34,9.09,9.56,25.78,31.59,31.15,31.5,45.09,41.07,31.72,17.01,56.95,49.01,52.77,54.76
1599 宏佳騰,月報酬率 %,-8.905,-4.1665,-3.6789,2.7778,13.1669,-3.2373,-7.5279,-0.0001,-0.804,-1.1146,3.4835,7.1288,-3.8815,-2.6924,1.1859,0.0001,9.514,-8.2134,-4.4741,9.7467,-1.9607,-1.294,-4.4099,-3.4915,-0.1293
1599 宏佳騰,現股當沖比重,4.61,8.03,5.29,2.38,5.25,2.44,5.26,4.57,7.06,1.34,5.5,4.56,1.41,1.07,2.1,3.1,1.81,15.55,9.36,3.81,2.22,0,0,15.77,3.82
