證券代碼,Data Field,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/27,2018/3/31,2018/4/30
1101 台泥,月報酬率 %,4.4446,-8.6626,6.6553,9.8977,6.9321,-1.6551,6.1712,-2.642,-4.6134,0.7112,6.356,-3.5857,-3.3059,-1.9943,2.3256,3.6049,-0.4287,-3.0131,-0.8876,0.1493,8.6439,3.2922,-1.7266,-1.2161,11.7649
1101 台泥,現股當沖比重,6.85,2.04,4.72,0.32,1.28,2.42,6.17,1.93,4.64,2.09,1.53,1.53,0.24,1.12,0.3,1.18,2.91,0.13,4.77,9.9,7.88,5.88,8.52,0.23,5.56
1102 亞泥,月報酬率 %,-2.2109,-13.5652,12.2737,4.6594,0.8563,-3.3509,0.5477,1.8149,-6.0605,1.5182,13.645,0.6581,-2.6143,-6.5434,-6.2837,2.2988,5.8617,-1.8279,0.1862,3.5317,1.2566,6.5601,-5.4908,0.5281,11.2084
1102 亞泥,現股當沖比重,6.12,0.64,0.53,1.02,2.89,2.05,3.61,1.17,0.78,0.68,1.13,2.57,0.47,5.68,2.39,1.21,4.44,0.97,7.07,7.94,4.64,8.51,9.12,1.34,11.7
1103 嘉泥,月報酬率 %,-2.8603,-8.833,-0.1196,6.8264,2.3708,-0.3323,-0.8891,-0.3363,-1.7998,10.0802,21.2278,-5.1503,-2.2625,-1.8518,2.3587,-1.3825,14.6738,2.9046,-2.4195,3.7189,6.3744,1.4981,-6.6421,-7.9053,2.5751
1103 嘉泥,現股當沖比重,0,0.19,0,0,1.3,0,1.22,0.87,0,6.92,10.83,0.37,8.29,18.51,1.1,0.77,8.35,1.42,4.84,24.76,27.62,4.76,2.45,4.45,18.86
1104 環泥,月報酬率 %,-7.6063,-2.9055,9.2269,3.6336,12.8206,1.4461,0.0001,0.8146,-0.4042,-0.2027,7.1139,1.3282,-2.2471,0.3831,-4.1986,-2.6119,1.7699,0.8696,0.6465,-1.9271,0.2184,-0.4356,-1.7507,-0.6681,-1.3452
1104 環泥,現股當沖比重,0,0,0.4,0.79,0,1.3,0,1.93,0,0,13.27,0.4,0,0,0,0.6,0,0,1.86,0,8.04,0.49,0.97,0,0.59
1108 幸福,月報酬率 %,-0.9756,-0.4926,-0.0001,1.1634,-0.6398,-0.8585,-1.7315,2.0927,-1.6183,0.4383,10.8079,-1.9704,-3.1156,-1.0374,-0.734,0.1126,-0.7884,-1.2487,0.1147,-2.1813,-1.7604,1.4337,-2.3558,-6.1521,-2.0564
1108 幸福,現股當沖比重,2.41,0,0,0.41,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,1.33,5.5,0,1.04,0.78
1109 信大,月報酬率 %,0.7049,0.5,-0.4975,3.5198,5.4186,-4.2055,-2.4389,-0.5001,0.5025,0.5,3.4826,-0.9617,-0.971,-0.4902,2.4627,0.476,10.6279,3.9303,7.2512,-6.2016,8.2643,5.3437,3.6232,-1.049,-2.4735
1109 信大,現股當沖比重,1.2,0,1.71,0,1.51,0,3.45,0,0,7.99,0,0,9.21,0,0,0,0,0,4.93,0,3.22,0,5.49,5.67,0
1110 東泥,月報酬率 %,2.9702,0,-2.5642,1.9824,0.3269,0.9773,-2.5807,0.0003,5.9605,-0.6249,0.3143,2.5078,-0.9176,-1.8518,-3.1446,-0.3248,-1.3115,-0.3324,-2.6667,-3.7673,4.9823,-5.0848,-0.0001,0.0001,-0.3571
1110 東泥,現股當沖比重,6.88,5.54,14.71,22.22,0,12.47,0,6.76,1.18,10.06,3.25,0,0,32.14,32,7.14,0,36.34,12.5,0,10.91,0,0,0,0
1201 味全,月報酬率 %,0.7577,1.7543,3.9408,-4.9764,-3.99,-7.5324,0.5617,0.8378,-3.047,4.8571,3.5422,-4.2106,1.6485,4.5945,-2.5841,-1.3263,4.0324,-2.0672,6.5964,-3.9603,9.0205,11.111,-4.4681,8.9089,-3.6808
1201 味全,現股當沖比重,0.42,6.3,6.95,0,1.34,0.51,3.83,1.85,1.64,1.08,2.65,1.03,0,0,0,0,0,0,0,0,0,0,0,0,9
1203 味王,月報酬率 %,-0.2319,1.1625,-0.2299,0.4609,2.5228,2.8211,0.2278,2.0454,2.4499,0.2173,4.1214,-0.2083,-0.4176,6.9183,-2.745,-1.0081,1.8077,0.0001,3.9584,0.2003,0.7999,6.151,-2.4299,0.7662,-2.0912
1203 味王,現股當沖比重,0,0,0,0,0,0,0,0,0,0,1.93,0,0,14.62,27.42,0,0,0,6.18,0,0,10.18,0,2.15,0
1210 大成,月報酬率 %,5.2885,17.8083,14.1471,-8.1494,2.1757,0.5567,6.0884,2.4349,-1.1884,-1.0309,0.8683,-0.8604,1.389,9.5891,0.9375,1.3934,-0.871,4.2003,6.3568,-2.041,-0.1487,1.3414,-0.1469,1.7673,10.9985
1210 大成,現股當沖比重,1.11,0.83,5.43,4.73,4.77,1.59,4.93,2.58,1.12,1.73,5.32,0.95,3.36,11.46,6.86,5.49,12.13,9.74,18.88,4.16,13.13,5.27,10.6,3.16,22.23
