證券代碼,Data Field,2015/7/3,2015/7/9,2015/7/17,2015/7/24,2015/7/31,2015/8/7,2015/8/14,2015/8/21,2015/8/28,2015/9/4,2015/9/11,2015/9/18,2015/9/25,2015/10/2,2015/10/8,2015/10/16,2015/10/23,2015/10/30,2015/11/6,2015/11/13,2015/11/20,2015/11/27,2015/12/4,2015/12/11,2015/12/18,2015/12/25,2015/12/31,2016/1/8,2016/1/15,2016/1/22,2016/1/30,2016/2/3,2016/2/19,2016/2/26,2016/3/4,2016/3/11,2016/3/18,2016/3/25,2016/4/1,2016/4/8,2016/4/15,2016/4/22,2016/4/29,2016/5/6,2016/5/13,2016/5/20,2016/5/27,2016/6/4,2016/6/8,2016/6/17,2016/6/24,2016/7/1,2016/7/7,2016/7/15,2016/7/22,2016/7/29,2016/8/5,2016/8/12,2016/8/19,2016/8/26
1101 台泥,週報酬率 %,1.6477,-5.9851,5.5703,-1.3736,-7.0652,-1.3157,-0.7407,-3.582,7.8947,-2.726,3.9824,-0.1419,-6.534,3.3435,6.6176,2.2069,-0.9448,-1.3624,0.2763,-6.887,-6.9528,-1.4309,-2.5806,-7.7813,-1.9749,1.4652,-1.4441,-1.099,-0.3704,-4.6468,6.4327,-2.5642,9.3984,3.0928,-0.8334,2.1848,3.9474,-0.9493,-1.5975,-1.9481,11.0928,-1.3412,-0.6042,-6.687,-5.5374,-2.4137,4.0635,3.9049,3.268,0.9493,-1.254,3.6508,4.441,3.3725,-1.1348,1.068,2.9499,0.2865,5.0001,2.3129
1101 台泥,現股當沖比重,0.47,2.17,0.9,1.61,2,4.87,0.77,1.2,2.94,2.03,4.28,1.69,1.52,0.59,3.73,0.44,0.66,1.45,2.18,1.79,3.16,10.65,2.4,3.07,1.2,1.2,3.09,4.14,15.12,1.62,1.19,1.59,0.65,0.72,3.01,3.45,3.75,1.17,6.63,4.09,7.69,2.57,6.85,8.35,3.54,2.68,2.32,0.78,5.06,1.7,8.38,3.97,1.35,1.43,2.71,0.32,1.11,0.18,8.07,0.65
1102 亞泥,週報酬率 %,-0.4105,-3.8461,1.7143,-0.7021,-1.9802,2.0202,-1.6973,-2.3022,3.3874,-0.0944,3.8053,-2.1994,-2.8485,0.6172,3.0675,2.3809,0.5813,-2.4566,1.4814,-10.511,-5.0571,-1.8901,0.0001,-4.9038,0.1842,2.022,-1.2612,-5.1095,-1.9231,-1.5688,4.5817,-2.4762,5.2735,2.412,1.268,5.9034,2.1959,-1.1571,-4.0134,-4.0069,8.53,-2.1739,-1.7095,-5.3913,-6.0662,-6.8493,2.7311,4.499,1.7613,1.7308,3.5917,4.0146,-2.6316,3.4234,0.5227,1.2131,1.1987,0,2.5381,0.9901
1102 亞泥,現股當沖比重,0.25,2.71,0.56,0.28,0.71,1.34,1.02,1.25,1.98,2.14,3.3,2.22,1.34,0.12,7.81,0.84,0.65,0.41,0.66,2.62,0.79,2.21,2.52,3.61,0.8,0.13,2.06,1.95,1.97,2.32,3.05,5.82,0.56,4.43,0.56,1.14,0.24,1.71,2.81,5.62,2,2.15,6.12,1.33,2.16,2.35,2.24,2.49,1.47,3.15,15.54,4.16,2.95,0.76,7.11,1.02,6.24,2.57,2.56,1.37
1103 嘉泥,週報酬率 %,-0.4098,-1.2345,-1.6667,-7.2034,-1.3699,-1.8519,0,-9.7169,0.836,4.6633,3.483,0.9852,-2.439,1.5,1.4778,4.8544,-1.3889,1.4084,-0.9258,-5.6075,-1.2871,-0.3009,-1.1065,-2.3397,-3.4374,3.5599,-0.8333,-3.0462,-1.7335,-1.9846,1.7998,1.1049,1.0928,0.8649,1.8221,2.2105,-5.2523,3.8044,-1.2565,-0.2121,0.425,-2.1164,-0.8649,-3.5987,-2.715,-1.8604,1.5403,-1.1669,-0.4722,-1.4235,-1.2033,1.9488,4.6595,1.5982,0.2247,0,0,-0.4485,2.8154,-0.6485
1103 嘉泥,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,1.09,0.82,0,3.32,0,0,0,0,0.42,0,0,0,1.42,0,0,0,2.31,0,0.75,1.54,1.33,0,0,0,0,0,4.83,1.9
1104 環泥,週報酬率 %,-1.2704,-5.3309,-0.3883,2.9006,-4.4177,-0.2102,-1.4737,-11.5384,1.4493,2.619,6.4965,-1.7429,-7.7605,0.0001,1.6827,1.6548,6.5117,0.2184,-1.3071,0.4415,0.2198,1.535,0.648,-0.4291,-3.2327,0.4454,-0.2218,-5.111,-3.7471,-1.4598,1.4814,-0.2433,1.7073,0.2397,2.1531,-0.7025,1.6509,2.0881,1.1363,-1.7977,1.6019,-4.2793,-2.8237,-3.1477,0,0.25,0.4988,-0.2481,0.2488,3.9702,0.716,4.2653,0.2274,-1.3606,0.23,4.1089,4.1958,1.3422,8.83,-1.014
1104 環泥,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,8.95,13.18,0,0,2.24,0,0,0.61,0,1.65,2.41,0,0,0.17,0,0.79,1.24,0,2.47,1.22
1108 幸福,週報酬率 %,-0.9259,-2.8037,5.3165,-2.8985,-0.4974,-0.7,3.7261,-3.3009,3.9155,1.9324,-0.4738,0.4762,-1.8958,-0.4831,0.4854,0,-0.4831,-0.4854,0.4878,-1.9418,-0.495,0.4975,0,-1.0891,0.6006,0.995,-0.4926,-2.1782,-4.1498,-1.2672,2.7808,1.2487,0.9249,0.3055,0.9137,0.1006,1.5074,-0.99,3,0,0.4854,-0.0001,-1.9324,-0.4926,-1.4852,1.5075,0.495,-0.4927,0.495,-0.4926,0.495,0.4926,1.4706,-0.4831,0.2565,-1.0548,-0.3198,-1.3904,1.0846,0.8583
1108 幸福,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,11.43,0,0,3.61,7.99,0,0,0,1.51,0,2.41,0,0,0,0,0,0,0,2.01,0,1.11,1.48,0,0.41,2.15,0,3.72,1.68
1109 信大,週報酬率 %,-0.4116,0.4132,-4.9943,-1.7621,0.4485,0.8928,-0.4426,-8.4445,-2.4272,1.99,1.4634,-0.9616,-0.0001,-1.4563,0,2.9557,0,-1.7225,-0.4854,-2.4389,0.0001,0,0.5,-0.995,0.5026,0.5,0,-0.995,-0.3015,-0.7056,-0.7106,1.227,0.6061,0.4016,0,0.5,-0.4975,-0.3,0,-0.2006,1.5075,-0.4951,-0.4975,0,0,-1,1.5152,0.4975,0.9901,-0.4903,0,-0.9852,0.4975,2.4949,-0.9852,0.995,-0.4926,0.495,0,9.8522
1109 信大,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15,0,11.59,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38
1110 東泥,週報酬率 %,-2.6577,2.0477,-4.3478,-3.1916,4.762,-2.7972,-1.7985,-1.8315,-3.7314,3.1008,3.0075,3.6496,3.1691,7.1672,-7.3248,5.1547,1.3072,-2.5806,1.9868,-0.6494,-0.6536,-1.3158,-1.3332,-4.0541,-1.4085,11.4285,1.2821,-6.329,-5.0676,-1.7793,2.5362,1.7667,1.7361,-1.3652,2.4222,4.054,-2.2729,0.3322,2.9801,-5.4663,6.4626,1.5975,-1.8869,-3.5256,-3.9867,0.346,8.2758,-0.6369,-2.2436,-0.9836,-0.9934,1.3378,0,0.9901,2.3091,-0.9709,0.9805,0,0.9709,-1.282
1110 東泥,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,3.49,9.22,16.67,0,0,2.59,0,4.55,6.88,3.7,11.38,0,1.6,0,16.24,0,10.75,4.96,28.57,32.18,25,22.22,0,0,6.26,0
1201 味全,週報酬率 %,-1.023,-1.2919,1.5706,9.7938,0.939,6.5117,0.8734,-13.8529,-1.5074,-3.5715,3.9683,1.2723,-4.0201,5.2356,-0.2487,0.2494,0.4976,-3.9603,2.8351,-1.7544,-3.3163,-1.3192,-6.4172,-6.0001,12.462,-2.1622,-3.3149,-2.2859,-1.1695,3.8462,3.1338,-1.6574,0.8427,1.9499,4.6448,4.1774,8.7718,-4.3778,-4.0964,-2.0101,2.8205,-0.2493,-0.25,-0.7519,-6.0607,-1.3442,6.2671,3.5897,-0.495,1.2438,8.108,-4.3183,-2.8504,-0.978,-0.247,-0.7426,0.2494,0,-2.9851,0
1201 味全,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.17,1.44,4.24,4.68,4.7,1.32,7.63,0,1.39,0.83,0.42,0,1.85,0,4.5,0.25,0,2.3,15.24,4.24,2.76,3.59,2.67,0,4.49,0,4.65,1.38
