證券代碼,Data Field,2016/11/4,2016/11/11,2016/11/18,2016/11/25,2016/12/2,2016/12/9,2016/12/16,2016/12/23,2016/12/30,2017/1/6,2017/1/13,2017/1/20,2017/1/24,2017/2/3,2017/2/10,2017/2/18,2017/2/24,2017/3/3,2017/3/10,2017/3/17,2017/3/24,2017/3/31,2017/4/7,2017/4/14,2017/4/21,2017/4/28,2017/5/5,2017/5/12,2017/5/19,2017/5/26,2017/6/3,2017/6/9,2017/6/16,2017/6/23,2017/6/30,2017/7/7,2017/7/14,2017/7/21,2017/7/28,2017/8/4,2017/8/11,2017/8/18,2017/8/25,2017/9/1,2017/9/8,2017/9/15,2017/9/22,2017/9/30,2017/10/6,2017/10/13,2017/10/20,2017/10/27
1101 台泥,週報酬率 %,-4.6296,4.0222,-4.4001,2.5105,0.9524,2.291,-3.4255,-6.2756,2.3289,0.2845,2.1277,-2.9167,1.2876,1.6949,6.1113,-2.3559,0.9382,0.9296,-2.6315,3.2431,-0.5235,-4.4736,2.3417,-1.7498,-2.4658,-1.4046,-1.1397,-1.8732,1.3216,0.4349,0.1443,-0.2882,-2.1676,3.102,0.8596,0,0.8523,1.6902,1.5992,-1.1364,-2.0116,0.4399,1.7518,-0.5739,-1.7318,-0.7342,0.2959,-0.2949,-0.1479,0,0.4444,-1.3274
1101 台泥,現股當沖比重,5.92,9.38,3.61,4.61,5.71,3.8,0.51,1.28,4.64,1.75,3.75,2.89,2.09,4.03,10.03,3.03,1.53,2.99,4.5,2.49,1.22,1.53,8.03,4.44,4.68,0.24,0.92,2.19,3.42,10.66,1.03,0.31,3.81,1.89,0.3,0.52,0.98,0.51,3.18,0.5,1.61,11.53,4.17,8.64,3,5.28,0.96,0.13,2.83,1.85,1.75,4.9
1102 亞泥,週報酬率 %,-3.3989,-1.1111,-2.4345,1.1516,5.6926,0.7182,-1.7824,-4.9001,0.5724,0.5694,2.8303,-3.8532,2.0992,0.9346,6.2964,1.0453,4.8276,1.4803,-3.4036,3.188,-1.626,1.1571,1.634,-1.6077,-3.1045,0.5059,0.3356,-5.8527,-1.4209,0.1802,-0.1798,-1.9819,-5.3309,2.3302,-0.9489,0.9578,-0.1898,0.5704,0.7561,3.0018,-2.55,1.6822,0.5514,3.7236,-0.5464,0.7327,-1.9999,-0.371,0.1862,0.3717,-0.3703,0.3718
1102 亞泥,現股當沖比重,0.85,0.65,0.99,1.52,2.2,0.87,1.02,0.66,0.78,1.02,3.7,0,0.68,0.23,6.14,1.35,1.13,1.09,1.84,0.91,3,2.57,2.43,1.31,2.45,0.47,2.64,5.62,4.73,17.11,1.79,0.27,1.4,0.63,2.39,0.53,0.64,0.18,3.16,1.23,2.23,6.15,0.84,4.23,17.1,18.58,1.45,0.97,4.84,2.16,1.39,10.15
1103 嘉泥,週報酬率 %,-0.6734,-1.8079,-1.3809,-1.6336,6.9989,-2.4391,-0.7955,-0.1145,0.1147,-0.9164,2.3122,1.6949,6.7778,-0.7284,17.9246,-4.4445,8.3721,1.2876,-6.7796,-0.0001,4.5454,-3.913,-3.1675,-6.0747,6.9651,0.4651,-1.3889,-2.3474,-0.9615,3.398,3.7558,-3.1673,0.0001,1.8692,-0.4587,0,0.4608,-0.4587,-1.3824,0,0,-0.9346,8.0705,7.5556,0,3.7191,-1.992,0.813,0.4031,-1.2048,-1.626,0.4132
1103 嘉泥,現股當沖比重,2.98,0,0.14,0.08,1.65,0,1.17,0,0,0.84,0,0.31,6.92,0.31,7.71,2.05,10.83,5.99,4.04,1.09,18.68,0.37,0.09,3.58,13.92,8.29,5.51,1.58,1.87,2.21,6.3,0.71,4.14,0,1.1,0,0.47,1.7,5.07,3.69,3.69,6.42,1.02,6.16,3.43,0.17,0,1.42,0.73,1.74,10.12,1.53
1104 環泥,週報酬率 %,-1.8331,-1.8672,2.537,-1.0308,2.7083,-1.0142,1.6393,-1.4113,0.8179,-0.6084,-0.2041,0.409,0.2037,0.813,2.0162,3.3597,0.7648,-1.5181,1.5415,1.8975,-0.5586,-0.0001,0.5618,-2.9795,-0.9596,1.1628,-0.3832,-0.7692,-0.3876,0.9727,-0.1926,-2.7027,-5.5556,3.3613,2.0325,-0.7969,0.994,-1.9355,-1.3158,-1.1111,-0.2247,3.6036,-0.2175,-0.2179,-0.4367,4.1668,-1.6843,-0.6424,0.431,0.8583,0.4255,-0.4238
1104 環泥,現股當沖比重,0,0,0,0,1.58,0,0.21,0,0,0,0,0,0,0,10.59,0.38,13.27,0,0,0.63,0,0.4,0,0,0.97,0,0.94,0,0,0,0,0,0,0,0,0,1.33,0,0,0,8.22,0.56,0,0,0,4.57,0,0,0,0.52,0,0
1108 幸福,週報酬率 %,-0.33,0.2208,2.0926,-0.6473,1.0858,-0.3223,-1.1854,-0.9815,0.4405,0.3289,0.2185,0.1089,-0.2179,0.8734,10.3897,-3.0392,2.6289,-0.9852,-1.2935,0.8065,0.5,-0.995,0.5025,-2.5,-1.3334,0.2079,0,1.3485,-2.2518,0.5236,-0.2083,0.2088,-1.9793,0.2124,0.4241,-0.2112,-0.2117,0.7424,-0.2035,-0.5631,0.453,-1.9166,-0.3449,1.4994,0,-0.3409,0.3419,-1.1364,0.9195,-1.139,0.1152,-0.2302
1108 幸福,現股當沖比重,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0.48,13.23,0,4.94,0.13,0.62,0,0.78,0,4.78,0,1.04,0,0,5.16,4.61,0.19,0,0,0,0,0,0,1.04,0,2.08,0,1.81,0,0.73,0,0,4.34,0,0,0,1.11,8.87,0
1109 信大,週報酬率 %,-1.4851,1.005,-0.6965,-0.2004,0.1004,0.2006,-0.1001,0.7014,-0.4975,0,0.5,0,0,-0.4975,3,0.9708,0,0,-0.9616,0.4854,0,-0.4831,0,-1.4563,-0.0001,0.4926,0,-1.4705,0.995,0.4926,0.4902,1.4634,-0.4808,0.483,-0.0001,-0.9801,0.4902,0.4878,0.4854,-0.4831,0.4854,4.3478,6.0186,0,2.6202,2.1277,-0.0001,-0.8333,-0.8403,10.1696,-3.0769,0
1109 信大,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,7.99,0,13.92,0,0,0,0,0,10.84,0,0,3.94,0,9.21,0,2.38,5.61,4.09,0,0,0,0,0,1.33,7.41,0,0,0,0,0,2.5,0,0,0,0,0,23.12,18.18,0,0
1110 東泥,週報酬率 %,-0.6601,0.9968,-0.9868,0.0002,0.0001,1.9933,1.303,-0.3214,3.2258,-2.5,-0.3205,0.3216,1.9231,-2.2012,0.6429,-0.0001,1.917,-0.9404,3.1645,0,0.0001,0.3067,0.6116,0.9117,-2.1084,-0.3077,-1.2345,0,0,0,-1.25,-1.5823,-0.9646,0,0,-0.9741,-0.0001,0.3256,-0.3288,0.0001,-0.66,-1.329,1.3468,-0.3322,0.3333,-0.9967,0.671,0,-0.3333,0.3344,-0.0001,-2.3332
1110 東泥,現股當沖比重,0,15.53,0,0,0,0,2.56,0,1.18,23.53,0,0,10.06,0,7.35,0,3.25,0,8.74,0,10.5,0,0,0,0,0,4.53,0,39.26,32.5,16.05,15.58,0,20,32,5,0,29.87,0,6.25,0,4.66,0,0,0,12.4,0,36.34,0,0,0,12.5
1201 味全,週報酬率 %,-1.676,-1.1363,3.1608,-0.8358,2.2472,-0.5494,-1.3811,-3.6415,1.7443,-0.2857,2.0058,2.8089,0.2732,8.4468,-0.2514,-5.5416,1.3335,0,-1.5789,1.6042,-1.3158,-2.9333,-1.9231,-1.1204,1.983,2.7778,-1.0811,3.5519,-0.2638,1.8518,-0.7792,0.7854,-2.3377,-1.5958,1.8918,1.061,-1.5748,-0.2667,-1.0695,-0.5405,-1.9021,1.6621,4.0872,0.5236,-2.0834,0.7979,-2.1109,2.1564,2.6386,-0.7712,4.1451,4.7264
1201 味全,現股當沖比重,0.33,3.56,1.28,1.03,0.21,3.5,8.08,3.91,1.64,1.3,0.85,1.78,1.08,6.58,6.58,4.28,2.65,3.18,1.98,2.84,4.5,1.03,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203 味王,週報酬率 %,-1.3575,0.4587,1.1416,0.2257,0.9009,2.4554,-0.6536,-0.2193,1.0989,0.4348,-1.0823,1.3129,-0.432,0.6507,3.2328,1.0438,-0.8264,-0.2083,-0.4174,-0.6289,0.8438,0.2092,0.2087,-0.8334,0.6303,-0.4176,-0.2095,0.6304,0.6262,6.2239,-2.7343,0.2008,-1.2023,1.4199,-0.8,-0.6049,-0.8114,1.227,-0.8081,0.611,-0.8098,1.4286,-0.2012,0.3615,0,-0.4184,0.0001,0.8404,0,0.8333,-0.4131,3.527
1203 味王,現股當沖比重,0.67,0,0,2.84,0,0,0,0,0,0,0,0,0,0,1.19,7.61,1.93,7.48,0,0,0,0,0,0,0,0,0,0,0,20.03,2,0,0,0,27.42,1.16,0,0,0,0,0,10.69,0,4.22,8.07,0,0,0,1.91,0,2.03,3.1
1210 大成,週報酬率 %,-5.4794,6.1595,2.0478,0.5016,-3.9933,-0.52,-0.6968,-1.9298,4.1145,-1.0309,-1.0417,1.0526,0,1.3889,-0.5136,-1.0326,1.0436,-1.3768,2.2688,1.0239,2.3649,-4.9505,0.6945,-1.7242,0.8772,1.5653,-0.1713,0.0001,-0.8576,12.6297,-1.2289,-2.0216,2.0635,1.0885,-0.6154,8.5139,1.1413,-3.526,-1.6081,0.1486,-7.7151,0.8039,3.6682,-0.27,3.7216,-0.0001,-0.9361,1.5749,6.0466,1.7544,-1.7241,0.8772
1210 大成,現股當沖比重,4.78,9.48,9.58,6.47,2.34,2.64,4.42,6.34,1.12,1.13,1.26,2.7,1.73,3.43,4.41,3.17,5.32,5.9,6.73,0.19,4.29,0.95,4.5,1.63,7.67,3.36,4.64,4.96,1.31,29.03,20.14,9.37,17.91,4.51,6.86,11.77,10.72,6.9,2.81,14.44,7.18,7.19,3.96,4.57,18.21,4.07,7.22,9.74,20.63,5.18,8.07,15.59
1213 大飲,週報酬率 %,0.9317,0,-0.6154,2.1672,2.4243,0.5917,-1.7648,-0.2995,0.9009,0.2976,-0.2967,0.5951,0.8875,1.4662,2.8902,-0.5619,0.8476,0.8403,0.0001,-0.5556,0,0,-0.2793,-1.9608,1.1429,-2.2598,1.734,-1.1365,0.5747,-0.2856,-0.5731,0.5764,-2.0057,-0.5849,-0.2941,-3.2449,-1.2196,-3.7037,0.641,1.5924,-2.8213,-1.2902,5.5556,-3.0961,-1.5974,-0.3247,-0.6515,-0.328,0,0.6579,-0.3269,-0.0001
1213 大飲,現股當沖比重,1.76,0,0,0,0,8.95,0,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,3.03,0,0,0,6.45,0,25.38,7.01,6.62,0,0,4.87,0.93,13.86,8,5.62,4.43,5.95,15.48,10.53,1.18,7.41,0,0,0,0,0,3.23
1215 卜蜂,週報酬率 %,-6.949,3.6172,-1.6891,5.8419,-2.3811,2.5498,-3.2432,-0.447,0.6735,7.0233,-0.6248,-2.5158,0.0001,1.5055,1.0594,-0.9434,2.2222,6.0042,5.664,-1.1091,2.8039,-1.4545,2.3985,-0.7207,1.2704,1.9713,1.406,0.3466,1.5544,16.6668,-3.2069,0.9037,7.7611,4.8476,-1.453,2.5856,4.898,-6.0959,0.0001,-6.0774,-1.9118,-1.7991,2.9008,-2.8189,0.7634,0.7575,-1.8045,-1.5314,2.7993,0.7564,-1.0511,-3.0349
1215 卜蜂,現股當沖比重,16.72,15.84,6.08,10.82,6.92,5.7,1.63,3.8,3.56,6.45,7.04,8.88,5.58,5.58,9.85,7.48,9.15,11.28,15.96,4.37,6.66,8.58,5.48,1.04,2.64,9.66,5.2,2.23,6.24,33.16,12.38,10.52,38.69,20.01,7.41,8.52,10.88,21.52,5.45,15.12,14.43,18.56,18.1,4.65,28.88,6.66,3.69,32.56,5.46,16.16,8.58,4.56
1216 統一,週報酬率 %,-0.0001,-8.5,-0.5466,0.7325,-1.6363,2.9575,-4.3088,-2.0639,2.299,1.3108,1.6635,-1.2728,-1.4734,-1.3085,3.0304,0.3677,0.0001,3.1136,-2.6643,6.0218,-0.6884,-1.3865,-1.2303,-0.7117,-0.1792,0,0.8976,1.4234,0.7017,5.5749,-1.4852,-1.5076,-0.3401,3.413,0.6602,-1.1475,0.1658,-0.6622,-2.6666,2.5871,-0.1729,3.9861,6.8333,-0.468,2.1944,0.6135,-2.8963,-1.2559,1.113,2.673,-2.6035,-0.7862
1216 統一,現股當沖比重,2,2.75,0.78,0.61,6.62,3.03,2.39,1.12,0.62,0.54,0.34,3.23,0.59,0.51,2.17,0.48,0.35,3.13,2.47,4.27,1.44,1.6,2.2,4.68,3.5,2.06,1.83,4.26,3.55,10.97,1.45,2.38,3.63,1.97,4.51,2.96,4.23,2.44,9.15,0.28,9.75,5.65,3.32,2.82,3.68,7.84,13.32,8.87,4.47,7.46,4.02,4.55
1217 愛之味,週報酬率 %,-3.4482,-1.2362,0.1391,0,2.6389,0.1353,0.6757,-2.0134,1.6438,-0.539,0.6774,-0.4037,-0.5405,0.8152,2.4258,0.1316,0.6571,-0.1305,-1.1764,0.6614,-1.4455,0.5332,1.4588,-2.2222,0.1336,0.534,0.1327,-0.1327,-1.7264,4.0541,-0.7793,-0.2618,-0.5249,-0.0001,-0.1318,1.9815,9.9741,-4.7114,-2.9666,0.1275,-1.5267,2.3256,-0.3789,0.2534,-1.1378,0.8952,-1.5209,-1.287,0.1304,-0.2604,-0.5222,-0.5249
1217 愛之味,現股當沖比重,0.39,0.91,0,1.32,0.59,0.65,0,0.91,0,0.98,0,3.58,0,2.65,1.17,0,3.96,1.27,0.37,0.56,0.14,4.78,1.08,2.04,0.35,0.46,0.25,12.06,0.13,16.12,0.84,2.4,2.68,0.25,1.1,6.85,31.72,15.2,5.66,2.37,4.27,1.77,5.05,1.15,4.32,3.74,1.56,2.36,2.42,1.32,5.79,1.88
1218 泰山,週報酬率 %,-4.7619,-1.875,0.637,-0.0001,-0.0001,-1.8988,-0.9677,-2.2801,-0.6667,0.6712,0.3333,-0.3322,0,2.6667,0.9741,0.3215,-0.641,-1.6129,-0.3279,0.3288,-0.9836,-1.3246,2.0134,-1.9737,-0.6712,0.6756,-0.3356,-1.3468,-5.8021,14.8551,9.1483,-2.6011,-0.2967,-2.381,1.8292,14.6707,20.1045,5.4348,-12.165,-4.9295,-2.2221,-6.0607,-1.344,-2.7248,-1.1205,1.4164,3.3519,-1.0811,-0.5464,-0.8242,-1.3849,5.0562
1218 泰山,現股當沖比重,2.65,0.7,1.25,0,0.96,5.24,2.47,0,5.47,8.41,2.34,3.01,2.15,1.73,5.69,0,0,2.64,0.69,1.23,0,0,0.15,0,2.12,4.83,1.35,2.49,0.64,37.69,14.7,11.54,27.23,1.56,7.08,22.35,51.78,38.16,18.16,17.71,23.35,23.78,19.11,24.3,16.73,2.33,41.27,11.22,2.16,4.6,1.45,7.33
1219 福壽,週報酬率 %,2.9315,-1.8986,0.9677,0.639,-1.5872,0,0.3226,-0.6431,2.9126,-0.9434,0.0001,0.0001,0.6349,-0.9464,-0.0001,2.8664,2.1673,-0.9091,-0.0002,0.6116,-0.912,1.8404,-0.6024,0.0001,0.303,-1.2085,0,0.3058,-0.3048,1.2232,3.0211,-2.3461,0.3003,-0.2994,2.4024,2.6393,6.2857,-1.4553,-0.2801,0,-0.5617,-0.5649,1.1364,-0.5618,0.2825,-0.5633,2.2662,-0.831,0.2793,-0.2786,-0.2793,-0.2802
