證券代碼,Data Field,2014/1/10,2014/1/17,2014/1/24,2014/1/27,2014/2/7,2014/2/14,2014/2/21,2014/2/27,2014/3/7,2014/3/14,2014/3/21,2014/3/28,2014/4/3,2014/4/11,2014/4/18,2014/4/25,2014/5/2,2014/5/9,2014/5/16,2014/5/23,2014/5/30,2014/6/6,2014/6/13,2014/6/20,2014/6/27,2014/7/4,2014/7/11,2014/7/18,2014/7/25,2014/8/1,2014/8/8,2014/8/15,2014/8/22,2014/8/29,2014/9/5,2014/9/12,2014/9/19,2014/9/26,2014/10/3,2014/10/9,2014/10/17,2014/10/24,2014/10/31,2014/11/7,2014/11/14,2014/11/21,2014/11/28,2014/12/5,2014/12/12,2014/12/19,2014/12/27,2014/12/31
1565 精華,週報酬率 %,-4.1667,0,-0.6212,-1.875,1.0191,-2.7742,9.4683,-0.237,-4.9882,-3.125,-9.0323,-1.2766,1.4368,-7.5071,6.5849,-5.1724,3.4848,5.1245,-2.5069,4.4286,2.4624,-3.0708,-2.4793,1.4124,1.1143,-2.8926,-8.5105,0.7753,-4.6153,3.3872,-6.0843,2.99,2.7522,0.6515,7.6052,-0.9024,-1.2139,-1.3824,2.648,-15.0227,-8.5715,-4.4922,9.2024,-7.1161,-4.4355,1.8987,-1.3458,1.3642,17.1843,-8.1271,0.5769,-0.1912
1565 精華,現股當沖比重,2.61,1.52,4.26,4.75,3.31,3.91,8.67,7.59,6.55,8.27,9.36,5.05,13.9,6.42,9.37,16.82,2.79,8.68,11.18,12.57,13.99,4.85,6.28,7.23,4.99,3.75,5.59,11.43,9.19,9.52,11.54,7.39,9.7,1.67,13.57,17.97,2.37,3.7,28.51,9.92,11.45,9.79,7.65,7.26,11.82,16.59,9.13,4.02,16.36,8.08,10.05,6.9
1785 光洋科,週報酬率 %,1.4926,2.022,0.1802,-2.8777,0.5555,-3.4991,6.2978,-1.0772,-1.8149,1.8483,-3.2667,-0.938,1.1363,7.8653,-0.0001,-7.4653,3.1895,-1.2728,0.1841,3.6764,-1.4184,1.4389,5.4965,-1.3445,-1.5333,0.3461,-1.724,4.2105,0.1683,-2.9926,-4.6594,2.2555,-0.5515,2.5877,-0.5405,-2.1739,1.1112,-3.2967,-0.1894,-0.5693,-12.4046,2.8323,1.4831,-1.4614,-1.4831,0,-0.6452,0.8658,6.2232,0.404,2.0121,-0.789
1785 光洋科,現股當沖比重,2.24,1.52,1.23,2.6,6.87,4.43,1.72,2.27,3.94,3.62,0.32,1.7,5.26,6.87,4.68,2.66,2.22,4.11,0,4.79,4.58,4.5,4.98,6.62,9.38,2.32,9.17,5.81,6.3,1.62,1.8,2.2,5.79,2.77,3.32,10.45,2.07,7.22,4.44,4.15,4.76,7.09,17.48,0.79,0.93,3.03,7.46,2.27,17,11.46,4.21,3.24
1795 美時,週報酬率 %,-8.0208,4.1902,-1.5217,0,5.1876,3.5677,23.1004,9.4649,4.8872,1.0754,-6.383,-1.5152,0,4.6154,-3.6764,-6.8702,-2.459,14.2858,-0.7353,1.4815,16.7884,-7.5,6.4189,3.4921,6.7484,-4.023,-1.7964,7.3171,2.5569,-18.5596,-13.2654,-4.706,4.9383,6.6667,-0.7354,-7.037,2.3904,-5.8366,2.4794,-14.5161,-21.0377,-4.4205,10.125,-5.4483,6.2426,-1.695,10.2298,13.66,4.1284,-12.2467,6.9277,-1.878
1795 美時,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,13.14,35.82,18.08,23.89,14.43,16.8,13.78,10.99,14.79,11.95,15.37,15.51,18.75,18.77,25.19,17.82,14.16,18.78,20.8,15.54,19.01,18.09,19.97
3081 聯亞,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-2.1164,-2.1621,-3.8674,10.3448,-3.6457,-0.1622,-0.0541,-0.325,8.6901,1.0001,1.4902,5.6097,-8.0832,-2.5124,-0.969,3.7374,-3.161,0.7773,3.3266,2.0052,-1.7074,-0.7445,1,0.2475
3081 聯亞,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3105 穩懋,週報酬率 %,1.6015,-4.7287,-0.5515,-2.0333,2.0755,-0.7394,0.5586,2.2223,-2.174,-1.4816,-3.0075,1.1628,1.5325,-1.1321,4.3894,-1.6453,2.7881,-0.5426,0.0001,0.5454,4.7016,5.5268,-1.1457,0.1655,-0.9916,3.005,-7.6175,0.7019,1.2085,-4.537,3.232,6.63,2.7633,2.521,-1.1475,-0.6634,0.1669,-1.4999,6.2606,-5.414,-12.7947,2.7027,3.0075,1.6423,3.7701,2.4222,-0.5068,2.7165,-0.9917,-4.6745,5.4292,-1.6612
3105 穩懋,現股當沖比重,2.4,2.99,2.67,1.12,2.65,2.09,2.64,2.94,4.14,3.48,1.9,0.96,1.22,1.35,7.53,6.77,6.71,4.61,2.2,1.31,4.79,4.2,4.21,5.4,1.83,7.73,3.8,4.59,2.46,3.85,1.16,6.1,3.02,1.91,4.12,5.32,2.37,3.22,8.95,8.9,8.54,8.54,1.99,6.35,7.37,1.84,2.53,4.53,9.12,5.94,6.24,2.09
