證券代碼,Data Field,2015/7/3,2015/7/9,2015/7/17,2015/7/24,2015/7/31,2015/8/7,2015/8/14,2015/8/21,2015/8/28,2015/9/4,2015/9/11,2015/9/18,2015/9/25,2015/10/2,2015/10/8,2015/10/16,2015/10/23,2015/10/30,2015/11/6,2015/11/13,2015/11/20,2015/11/27,2015/12/4,2015/12/11,2015/12/18,2015/12/25,2015/12/31,2016/1/8,2016/1/15,2016/1/22,2016/1/30,2016/2/3,2016/2/19,2016/2/26,2016/3/4,2016/3/11,2016/3/18,2016/3/25,2016/4/1,2016/4/8,2016/4/15,2016/4/22,2016/4/29,2016/5/6,2016/5/13,2016/5/20,2016/5/27,2016/6/4,2016/6/8,2016/6/17,2016/6/24,2016/7/1,2016/7/7,2016/7/15,2016/7/22,2016/7/29,2016/8/5,2016/8/12,2016/8/19,2016/8/26
1240 茂生農經,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240 茂生農經,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258 其祥-KY,週報酬率 %,-0.8439,-4.0426,-0.7761,-11.7318,12.958,0.927,0.4592,-16.5714,0.8219,3.2609,7.8949,1.4635,3.8461,8.7964,-9.3618,3.2865,-2.7273,-1.4019,-0.237,-5.9382,0.7576,0.2507,-3.25,3.3592,-0.375,-1.5056,2.93,-7.6733,0.6702,1.1984,3.6841,-1.269,10.7969,9.0488,-2.4467,-3.5988,2.2624,-13.717,-1.2821,1.5584,-1.7902,-2.3438,0.2667,-1.7287,3.5183,-6.7975,5.4698,-2.1276,-0.5434,3.0055,0.1326,4.6358,2.7847,1.7242,-1.4528,0.8072,3.6662,0.2439,-2.5548,0.2496
1258 其祥-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,13.4,4.11,6.83,4.64,1.91,0,1.07,2.71,4.76,0,8.42,2.86,0,0,0,0,5.36,10.29,5.02,0.66,0,0.96,4.08,0.91,1.14,0,0
1259 安心,週報酬率 %,-2.5937,0.3184,0.9524,-0.0001,-3.4591,-0.3256,5.2288,-2.795,-3.0351,-0.8237,0.6645,-1.4852,-1.8426,-0.1706,1.0257,0.6768,1.5127,3.4768,1.1199,0.3164,2.0505,-1.5456,10.832,2.9745,-0.9629,-0.139,1.3907,-1.509,-0.4177,-0.2796,-1.8231,0.8571,0.7082,1.5472,1.2467,-0.1368,-2.3288,0.2805,-1.8182,1.2821,0.4219,1.2604,-2.3513,-0.8499,2.5714,2.3676,-0.0002,-1.3605,2.069,-0.6757,-0.9524,1.3736,1.6902,0.8309,-0.1374,1.1004,1.4966,13.1367,0.7109,-0.5883
1259 安心,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,2.85,2.59,0
1264 德麥,週報酬率 %,-0.7388,-1.737,0.5051,-2.5125,-1.0309,-9.8958,3.4682,-4.4693,-1.1696,-0.5917,9.8213,1.897,-3.4575,-0.2755,3.3149,1.3369,0.7916,-0.2617,0.5251,-2.3499,-0.5348,0.2688,-1.8767,-3.8251,1.4205,-0.8403,2.5424,-2.2038,-1.4085,6,-4.8517,2.2663,3.324,7.2386,4.25,-2.8777,0,-1.7283,-3.0151,-0.7772,-1.3055,0.5293,-0.0002,-1.8422,1.8767,-1.842,4.5577,2.0512,-2.2613,-1.2853,-0.6606,3.0556,-1.8868,0.2747,1.9178,-1.6129,1.6392,-0.5376,-0.5405,0.5436
1264 德麥,現股當沖比重,2.38,12.92,9.98,6.25,0,5.49,0,0,11.48,0,7.44,0,0,11.07,0,5.26,4.76,0,1.45,0,0,1.92,0,0,0,0,2.26,0,0,0,0,0,1.19,5.22,3.23,3.16,8.56,2.94,0,3.08,0,2.21,0,0,0,0,1.92,0,0,1.81,2.3,0,5.67,0,0,0,0,0,4.16,0
1268 漢來美食,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3334,-5.7592,0.2779,-0.277,-4.9946,2.339,1.1371,0.565,0.5618,-0.5587,0.5561,-2.2292,-0.5715,-1.7242,0,-1.7544,1.7857,5.2632,-5,-2.3392,0,0,2.3952,-0.0702,0.6554,-1.628,2.0567,-0.9729,-3.1111,-2.2211,4.9321,2.7316,0.0062,-0.6173,1.2421
1268 漢來美食,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
