代碼,Data Field,2014/1/6,2014/1/7,2014/1/8,2014/1/9,2014/1/10,2014/1/13,2014/1/14,2014/1/15,2014/1/16,2014/1/17,2014/1/20,2014/1/21,2014/1/22,2014/1/23,2014/1/24,2014/1/27,2014/2/5,2014/2/6,2014/2/7,2014/2/10,2014/2/11,2014/2/12,2014/2/13,2014/2/14,2014/2/17,2014/2/18,2014/2/19,2014/2/20,2014/2/21,2014/2/24,2014/2/25,2014/2/26,2014/2/27,2014/3/3,2014/3/4,2014/3/5,2014/3/6,2014/3/7,2014/3/10,2014/3/11,2014/3/12,2014/3/13,2014/3/14,2014/3/17,2014/3/18,2014/3/19,2014/3/20,2014/3/21,2014/3/24,2014/3/25,2014/3/26,2014/3/27,2014/3/28,2014/3/31,2014/4/1,2014/4/2,2014/4/3,2014/4/7,2014/4/8,2014/4/9,2014/4/10,2014/4/11,2014/4/14,2014/4/15,2014/4/16,2014/4/17,2014/4/18,2014/4/21,2014/4/22,2014/4/23,2014/4/24,2014/4/25,2014/4/28,2014/4/29,2014/4/30,2014/5/2,2014/5/5,2014/5/6,2014/5/7,2014/5/8,2014/5/9,2014/5/12,2014/5/13,2014/5/14,2014/5/15,2014/5/16,2014/5/19,2014/5/20,2014/5/21,2014/5/22,2014/5/23,2014/5/26,2014/5/27,2014/5/28,2014/5/29,2014/5/30,2014/6/3,2014/6/4,2014/6/5,2014/6/6,2014/6/9,2014/6/10,2014/6/11,2014/6/12,2014/6/13,2014/6/16,2014/6/17,2014/6/18,2014/6/19,2014/6/20,2014/6/23,2014/6/24,2014/6/25,2014/6/26,2014/6/27,2014/6/30,2014/7/1,2014/7/2,2014/7/3,2014/7/4,2014/7/7,2014/7/8,2014/7/9,2014/7/10,2014/7/11,2014/7/14,2014/7/15,2014/7/16,2014/7/17,2014/7/18,2014/7/21,2014/7/22,2014/7/24,2014/7/25,2014/7/28,2014/7/29,2014/7/30,2014/7/31,2014/8/1,2014/8/4,2014/8/5,2014/8/6,2014/8/7,2014/8/8,2014/8/11,2014/8/12,2014/8/13,2014/8/14,2014/8/15,2014/8/18,2014/8/19,2014/8/20,2014/8/21,2014/8/22,2014/8/25,2014/8/26,2014/8/27,2014/8/28,2014/8/29,2014/9/1,2014/9/2,2014/9/3,2014/9/4,2014/9/5,2014/9/9,2014/9/10,2014/9/11,2014/9/12,2014/9/15,2014/9/16,2014/9/17,2014/9/18,2014/9/19,2014/9/22,2014/9/23,2014/9/24,2014/9/25,2014/9/26,2014/9/29,2014/9/30,2014/10/1,2014/10/2,2014/10/3,2014/10/6,2014/10/7,2014/10/8,2014/10/9,2014/10/13,2014/10/14,2014/10/15,2014/10/16,2014/10/17,2014/10/20,2014/10/21,2014/10/22,2014/10/23,2014/10/24,2014/10/27,2014/10/28,2014/10/29,2014/10/30,2014/10/31,2014/11/3,2014/11/4,2014/11/5,2014/11/6,2014/11/7,2014/11/10,2014/11/11,2014/11/12,2014/11/13,2014/11/14,2014/11/17,2014/11/18,2014/11/19,2014/11/20,2014/11/21,2014/11/24,2014/11/25,2014/11/26,2014/11/27,2014/11/28,2014/12/1,2014/12/2,2014/12/3,2014/12/4,2014/12/5,2014/12/8,2014/12/9,2014/12/10,2014/12/11,2014/12/12,2014/12/15,2014/12/16,2014/12/17,2014/12/18,2014/12/19,2014/12/22,2014/12/23,2014/12/24,2014/12/25,2014/12/26,2014/12/27,2014/12/29,2014/12/30,2014/12/31
1210 大成,現股買進金額(千元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210 大成,現股賣出金額(千元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210 大成,成交值(千元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1227 佳格,現股買進金額(千元),"1,497",92,276,"1,188","3,610",0,450,811,363,"1,443",543,723,90,721,269,801,"1,044",958,871,699,"7,131","1,507",89,703,88,0,87,"1,571",961,263,961,88,352,87,175,175,"1,219",873,"1,291","1,025","1,433","2,561",337,"1,847",760,841,"1,000",910,892,651,491,"2,074",928,167,998,832,669,84,251,332,83,"1,002",167,"2,101","2,016",593,253,84,167,84,84,497,654,165,"1,067",577,413,164,328,327,408,245,83,"1,158","1,089",332,"1,260",0,0,250,331,84,337,666,915,166,82,248,83,414,82,165,82,165,0,0,82,82,0,0,247,0,"7,379",1,0,"1,380",83,"1,173",756,83,83,248,0,"2,305",330,246,0,0,0,825,249,83,332,332,0,"1,272","2,931","2,072","2,112","2,793","4,825",537,153,152,77,534,0,78,0,147,148,0,817,300,303,76,"1,926",77,610,0,0,0,761,985,152,"1,284",227,76,603,"1,060",451,0,0,0,148,74,442,73,929,"2,847","4,988","2,026",212,496,421,562,"2,425","2,432","1,039",761,"4,628","3,570","2,297",136,829,"3,687","1,482","1,321","1,684","1,986",554,626,"1,182",622,760,415,0,68,0,69,205,342,"1,883",342,"1,699",640,354,212,71,71,432,"1,151","2,548","1,780",0,713,0,0,212,"1,682",69,277,137,275,474,68,"1,091",137,0,0,0,0,69,0,139,"2,695"
1227 佳格,現股賣出金額(千元),"1,474",92,278,"1,182","3,629",0,450,818,360,"1,446",543,727,91,718,269,800,"1,043",957,872,696,"7,214","1,510",89,703,88,0,88,"1,571",968,263,968,88,352,88,174,175,"1,227",870,"1,288","1,020","1,437","2,533",337,"1,867",756,840,999,903,899,652,493,"2,080",918,166,"1,001",839,668,83,250,332,83,"1,003",167,"2,109","2,027",593,253,84,168,84,83,498,661,166,"1,077",579,412,164,328,326,409,246,82,"1,167","1,085",334,"1,251",0,0,250,333,84,336,671,919,166,83,249,83,412,82,164,82,165,0,0,82,83,0,0,247,0,"7,346",82,0,"1,409",83,"1,168",752,83,83,247,0,"2,299",328,245,0,0,0,826,250,83,334,334,0,"1,288","2,945","2,063","2,130","2,793","4,851",535,153,152,77,537,0,77,0,147,148,0,814,302,304,76,"1,926",77,617,0,0,0,763,990,152,"1,284",228,76,603,"1,050",454,0,0,0,148,74,444,73,925,"2,836","5,053","2,041",214,498,424,563,"2,453","2,399","1,050",753,"4,710","3,561","2,321",137,831,"3,692","1,481","1,329","1,696","2,000",556,629,"1,181",625,759,414,0,69,0,69,206,340,"1,903",346,"1,705",641,353,212,71,71,431,"1,144","2,580","1,771",0,717,0,0,212,"1,666",69,276,137,275,474,68,"1,099",137,0,0,0,0,69,0,139,"2,714"
1227 佳格,成交值(千元),"98,989","35,486","44,122","73,904","73,882","52,245","387,067","53,623","49,941","48,105","58,866","67,467","40,778","77,151","70,400","127,451","171,512","93,797","114,766","84,444","129,807","122,837","85,615","99,216","48,179","43,766","54,075","63,159","69,682","28,716","53,067","48,387","60,685","49,786","43,910","36,095","77,075","124,829","117,667","183,142","104,168","83,981","111,416","90,489","150,821","60,759","92,167","129,708","83,555","134,194","91,993","139,838","133,152","186,150","97,925","77,473","37,247","58,320","61,741","59,411","60,748","70,860","63,182","55,946","56,574","46,838","22,314","27,321","50,248","133,258","57,311","67,905","43,806","145,739","48,376","28,617","18,633","41,256","40,232","44,335","34,767","33,854","33,907","77,489","35,396","25,487","23,320","36,966","36,347","38,608","40,253","57,095","60,864","94,476","62,490","75,648","25,763","18,899","17,128","36,176","42,380","35,918","35,722","30,646","41,571","67,483","35,217","64,690","43,793","52,565","42,076","43,661","69,183","50,757","74,672","219,473","57,865","86,122","35,157","25,597","37,310","32,343","44,396","41,209","41,338","57,135","32,795","30,341","32,936","34,858","28,659","28,356","31,836","32,057","79,962","169,185","159,063","123,296","213,114","193,195","350,971","85,481","31,742","42,877","23,154","36,835","50,319","36,983","37,475","101,275","57,844","95,201","60,380","47,856","28,801","23,775","74,029","43,806","44,326","39,309","29,107","40,916","22,119","34,881","23,993","21,744","17,294","18,537","16,115","23,041","40,931","19,119","32,412","38,905","23,900","19,711","23,117","43,001","115,999","237,461","88,829","51,516","22,809","25,633","29,164","38,810","45,123","69,882","66,745","68,288","75,782","71,953","60,307","31,463","33,869","50,341","71,843","46,506","61,468","51,019","28,117","41,055","30,796","28,651","22,218","31,250","14,475","38,824","40,012","29,735","54,637","130,487","68,416","77,976","146,847","53,392","40,245","26,546","53,899","31,364","40,945","37,084","37,846","38,002","28,322","27,348","14,361","19,590","21,061","47,107","27,590","41,448","52,709","57,672","70,529","55,183","52,391","38,516","39,676","32,223","9,561","12,583","6,427","31,579","25,933","59,624"
1229 聯華,現股買進金額(千元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229 聯華,現股賣出金額(千元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229 聯華,成交值(千元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314 中石化,現股買進金額(千元),614,"7,894","3,477","8,147","1,272","2,442",786,605,"1,816","1,694",312,"5,915",584,"1,789",975,"2,513","2,938","2,792","1,356","4,946","1,416","2,425",714,"1,974","17,836","2,523",939,894,"2,314",489,"1,492","11,113","7,522",540,"1,287","1,848","4,548","3,432","2,022",902,"5,261","4,820","28,863","4,185","1,479","9,411","1,444","1,228","2,717","3,363","2,197","3,848","1,854","1,272","10,994","1,244","1,874","2,046","5,119","1,870",733,"32,027","12,266","18,773","3,488","1,573","2,125","1,693","1,011","2,560","2,515","7,976","3,121","3,046","2,517","28,195","3,145","20,855","5,879","14,290","4,500","9,085","7,043","21,996","7,585","16,940","2,435","2,868","3,146","4,140","2,315","1,656","4,794","44,391","7,401","23,555","31,117","9,550","6,432","2,754","4,348","5,384","5,307","1,489","9,993","25,052","46,948","70,565","15,222","10,384","25,859","6,878","58,290","1,846","8,766","4,279","14,803","12,568","6,159","9,456","5,741","9,378","3,754","4,082","12,686","8,890","17,037","5,474","3,373","11,886","1,508","1,141","2,110","3,781","12,253","5,197","44,091","30,962","272,290","159,132","173,256","80,691","53,928","37,080","13,775","6,329","22,749","4,329","8,776","5,850","2,944","4,667","5,935","15,423","3,240","17,095","2,285",438,831,"1,676","3,950","2,340","1,717",994,580,"31,914","18,009","4,065","1,544",821,"2,150","2,907","14,745","14,471",825,"1,153","1,361","8,562","1,779","19,908","3,549","2,804","2,714","2,599","1,352","1,482","2,784","5,940","7,701","5,681","15,668","4,878","12,656","2,040","2,787","1,040","3,247","2,541","2,335","3,055","1,864","14,211","11,414","2,403","2,026","2,246","1,845","11,156","2,747","2,272","1,777","1,635","1,991","2,844","1,721","16,992","3,209","5,620","2,929","3,600","2,102","2,499","1,993","1,808","3,970","3,559","14,094","11,036","1,353","1,235","1,862","8,234",945,"2,075","10,499","31,631","56,982","17,535","42,394","65,366","29,944","84,913","20,914","16,356","41,591","73,872"
