代碼,Data Field,2014/6/30,2014/6/27,2014/6/26,2014/6/25,2014/6/24,2014/6/23,2014/6/20,2014/6/19,2014/6/18,2014/6/17,2014/6/16,2014/6/13,2014/6/12,2014/6/11,2014/6/10,2014/6/9,2014/6/6,2014/6/5,2014/6/4,2014/6/3,2014/5/30,2014/5/29,2014/5/28,2014/5/27,2014/5/26,2014/5/23,2014/5/22,2014/5/21,2014/5/20,2014/5/19,2014/5/16,2014/5/15,2014/5/14,2014/5/13,2014/5/12,2014/5/9,2014/5/8,2014/5/7,2014/5/6,2014/5/5,2014/5/2,2014/4/30,2014/4/29,2014/4/28,2014/4/25,2014/4/24,2014/4/23,2014/4/22,2014/4/21,2014/4/18,2014/4/17,2014/4/16,2014/4/15,2014/4/14,2014/4/11,2014/4/10,2014/4/9,2014/4/8,2014/4/7,2014/4/3,2014/4/2,2014/4/1,2014/3/31,2014/3/28,2014/3/27,2014/3/26,2014/3/25,2014/3/24,2014/3/21,2014/3/20,2014/3/19,2014/3/18,2014/3/17,2014/3/14,2014/3/13,2014/3/12,2014/3/11,2014/3/10,2014/3/7,2014/3/6,2014/3/5,2014/3/4,2014/3/3,2014/2/27,2014/2/26,2014/2/25,2014/2/24,2014/2/21,2014/2/20,2014/2/19,2014/2/18,2014/2/17,2014/2/14,2014/2/13,2014/2/12,2014/2/11,2014/2/10,2014/2/7,2014/2/6,2014/2/5,2014/1/27,2014/1/24,2014/1/23,2014/1/22,2014/1/21,2014/1/20,2014/1/17,2014/1/16,2014/1/15,2014/1/14,2014/1/13,2014/1/10,2014/1/9,2014/1/8,2014/1/7,2014/1/6,2014/1/3,2014/1/2,2013/12/31,2013/12/30,2013/12/27,2013/12/26,2013/12/25,2013/12/24,2013/12/23,2013/12/20,2013/12/19,2013/12/18,2013/12/17,2013/12/16,2013/12/13,2013/12/12,2013/12/11,2013/12/10,2013/12/9,2013/12/6,2013/12/5,2013/12/4,2013/12/3,2013/12/2,2013/11/29,2013/11/28,2013/11/27,2013/11/26,2013/11/25,2013/11/22,2013/11/21,2013/11/20,2013/11/19,2013/11/18,2013/11/15,2013/11/14,2013/11/13,2013/11/12,2013/11/11,2013/11/8,2013/11/7,2013/11/6,2013/11/5,2013/11/4,2013/11/1,2013/10/31,2013/10/30,2013/10/29,2013/10/28,2013/10/25,2013/10/24,2013/10/23,2013/10/22,2013/10/21,2013/10/18,2013/10/17,2013/10/16,2013/10/15,2013/10/14,2013/10/11,2013/10/9,2013/10/8,2013/10/7,2013/10/4,2013/10/3,2013/10/2,2013/10/1,2013/9/30,2013/9/27,2013/9/26,2013/9/25,2013/9/24,2013/9/23,2013/9/18,2013/9/17,2013/9/16,2013/9/14,2013/9/13,2013/9/12,2013/9/11,2013/9/10,2013/9/9,2013/9/6,2013/9/5,2013/9/4,2013/9/3,2013/9/2,2013/8/30,2013/8/29,2013/8/28,2013/8/27,2013/8/26,2013/8/23,2013/8/22,2013/8/20,2013/8/19,2013/8/16,2013/8/15,2013/8/14,2013/8/13,2013/8/12,2013/8/9,2013/8/8,2013/8/7,2013/8/6,2013/8/5,2013/8/2,2013/8/1,2013/7/31,2013/7/30,2013/7/29,2013/7/26,2013/7/25,2013/7/24,2013/7/23,2013/7/22,2013/7/19,2013/7/18,2013/7/17,2013/7/16,2013/7/15,2013/7/12,2013/7/11,2013/7/10,2013/7/9,2013/7/8,2013/7/5,2013/7/4,2013/7/3,2013/7/2,2013/7/1,2013/6/28,2013/6/27,2013/6/26,2013/6/25,2013/6/24,2013/6/21,2013/6/20,2013/6/19,2013/6/18,2013/6/17,2013/6/14,2013/6/13
1101 台泥,成交量(千股),"4,902","4,172","7,980","6,401","3,667","7,586","8,081","6,808","13,820","11,510","5,936","8,631","3,991","6,671","12,204","10,536","9,518","10,851","8,138","10,685","10,819","9,349","12,714","8,807","14,089","17,160","18,875","14,602","15,457","15,482","12,477","10,433","17,985","21,023","13,660","13,257","12,525","14,905","5,972","4,908","5,317","7,160","7,042","10,620","9,426","5,582","6,556","3,718","2,337","2,147","5,137","8,723","10,468","9,768","9,700","18,284","6,199","11,662","16,274","12,692","9,294","6,854","6,549","7,780","4,790","5,764","8,130","6,314","7,074","6,950","4,068","4,350","3,992","4,325","3,741","5,264","7,815","7,518","5,716","5,832","6,826","8,515","11,869","7,740","8,941","11,784","5,576","12,460","6,057","5,216","4,791","10,502","13,305","7,165","8,054","7,177","10,091","10,692","12,017","20,203","13,768","9,706","13,175","10,623","10,737","7,249","15,951","16,224","15,911","8,378","10,387","12,090","21,508","18,636","11,592","11,744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101 台泥,現股當沖比重,4.73,0.17,0,6.09,0.33,0.82,0.19,0.43,0.54,0.26,1.84,0.34,0.8,1.83,5.7,2.41,0.69,1.38,1.59,1.36,0.95,0.76,1.58,2.18,2.26,1.74,1.29,2.64,3.22,1.35,0.61,1.8,2.92,0.68,1.55,1.86,1.17,0.23,1.47,1.1,0.96,0.67,0.92,1.51,0.24,1.33,1.42,2.26,2.82,1.86,3.62,2.58,1.51,8.14,3.64,3.17,3.82,1.68,0.82,3.94,4.54,3.94,1.44,1.97,0.98,0.5,1.8,1.52,1.43,2.17,2.53,1.75,2.35,2.94,3.63,1.9,2.52,2.05,1.54,2.42,1.32,1.2,1.5,0.75,1.53,2.44,0.43,0.59,0.38,0.75,0.17,1.15,0.35,2.04,1.3,1.37,0.91,2.05,2.17,1.6,3.62,3.76,1.62,0.76,1.05,0.97,1.41,2.46,4.97,1.41,1.12,1.99,1.05,0.96,0.41,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102 亞泥,成交量(千股),"3,762","4,340","4,816","5,046","6,559","5,211","7,144","10,119","6,951","4,815","6,230","4,219","2,803","5,490","5,107","5,586","4,663","7,000","5,614","4,003","6,658","5,502","6,208","2,472","2,067","3,326","8,015","4,369","4,313","3,563","4,859","2,985","6,424","4,862","3,615","4,494","4,869","5,977","4,512","4,528","4,600","10,485","5,116","5,428","6,898","6,706","10,911","4,946","4,422","5,240","16,276","10,634","11,632","7,947","12,976","10,965","6,324","4,733","6,805","6,608","9,196","8,168","9,574","14,709","67,866","2,494","2,832","1,637","3,078","3,187","2,070","2,203","2,048","2,313","3,814","1,158","2,905","2,806","6,773","3,208","2,484","3,623","4,713","4,020","4,353","4,135","2,606","5,849","2,482","2,162","2,010","1,451","2,869","2,322","2,728","1,229","3,739","2,534","8,517","11,978","6,110","3,534","3,021","1,855","2,800","2,186","2,361","3,580","4,978","2,454","4,763","4,097","5,882","5,253","4,504","3,755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102 亞泥,現股當沖比重,0.58,0.16,0,4.36,0.29,0.27,0.06,0,0.16,0.52,8.15,0.45,0.07,1.13,0.04,0.84,0.04,0.16,0.46,0.32,0.26,0.07,1.42,1.82,1.69,1.65,0.74,0.73,0.86,0.93,0.95,0.77,0.37,0.76,0.86,1.16,0.74,2.12,1.15,1.77,0.17,15.92,1.31,0.39,0.62,0.12,0.54,0.18,0.09,0.82,0.65,1.07,0.75,3.41,3.13,1.44,0,0.55,0.54,0.59,0.85,0.16,1.97,0.47,0.35,0.28,0.32,0.79,0.42,0.53,0.14,0.59,1.46,1.95,0.42,0,1.96,0.53,0.74,0.03,0,0,2.08,0.05,0,1.04,0.31,0.02,0.28,0.46,0.8,1.86,0.07,0.56,0.22,1.06,0.19,1.54,1.07,0.44,1,0.08,0,0,0.04,0.05,3.68,0.03,2.29,0.12,0.31,0.1,0.46,0.42,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216 統一,成交量(千股),"4,497","3,577","4,459","9,256","8,142","3,241","4,686","3,916","8,576","4,841","3,755","4,728","6,664","5,996","5,203","2,429","2,455","6,023","5,571","4,916","9,746","6,978","7,023","4,918","7,890","12,285","9,034","2,394","3,135","3,479","3,821","4,145","5,472","5,435","6,827","3,775","3,479","5,076","5,454","3,031","3,880","7,376","3,883","6,815","8,706","6,711","13,788","3,402","2,414","3,255","4,793","5,327","7,261","5,033","10,756","8,874","9,547","14,959","10,081","7,770","12,850","13,964","15,517","6,687","5,094","6,794","8,928","7,616","11,330","16,691","10,092","9,722","13,321","27,363","16,157","5,734","6,075","8,577","14,489","12,313","6,985","9,871","13,414","13,994","19,930","6,573","6,820","10,836","10,564","11,472","19,875","20,623","37,422","13,500","11,448","7,572","7,788","16,839","25,790","28,866","17,836","17,872","15,384","20,944","12,265","6,008","7,670","7,594","9,380","5,960","4,368","4,946","9,230","5,631","3,722","3,446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216 統一,現股當沖比重,1.11,0.98,0,54.34,1.3,1.2,0.09,1.46,0.29,0.04,1.36,1.37,0.5,0.77,1.11,1.73,0.04,1.08,0.14,0.41,0.86,0.43,0.94,0.85,0.44,0.46,1.39,0.04,0.51,1.21,1.41,1.3,0.27,0.53,0.16,1.09,0.26,1.28,0.53,0,0.49,7.94,2.32,4.5,3.69,0.16,3.64,1.12,0.08,0.74,0.31,0.75,0.36,0.24,1.67,0.35,1.41,1.02,0.14,2.63,2.02,2.41,1.87,0.72,0.37,4.08,1.29,0.24,0.79,1.71,0.74,2.9,2.09,1.53,0.52,1.15,0.18,0.89,1.04,1.63,0.89,1.5,1.43,1.04,3.33,0.73,0.19,1.84,0.7,0.69,1.17,0.94,1.39,1.62,0.64,1.16,1.34,2.58,1.27,0.59,0.73,0.08,0.58,0.84,0.33,0.17,0.57,0.21,0.42,1.04,0.11,0.53,0.26,0.67,0.08,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301 台塑,成交量(千股),"4,895","4,438","2,372","2,230","7,094","4,775","5,636","9,243","10,071","4,350","4,791","5,478","4,961","5,304","3,330","1,649","2,622","2,982","1,879","4,378","6,416","2,569","5,660","1,035","2,275","3,006","2,594","2,064","2,275","2,189","2,999","2,650","4,260","3,194","2,091","3,102","2,763","5,160","3,586","2,648","5,515","12,449","3,888","3,741","5,712","2,626","3,952","1,595",932,"1,326","2,636","5,437","6,052","3,170","2,860","4,939","4,033","5,942","4,880","6,325","4,247","5,031","3,902","4,682","8,365","3,978","6,052","5,658","8,231","9,565","2,834","6,048","5,327","9,666","5,545","4,310","3,091","3,736","4,209","4,525","2,627","3,006","7,473","4,339","5,549","4,515","2,372","4,025","3,183","2,753","4,780","2,066","4,456","2,265","3,831","3,597","3,260","9,175","10,552","16,863","8,554","3,769","3,609","5,265","3,144","2,508","1,671","4,919","4,494","3,334","3,822","3,298","4,894","3,512","3,689","4,237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301 台塑,現股當沖比重,1.74,0.88,0,8.52,0.18,0.63,0.62,0.19,0.43,0.85,0.33,0.62,1.25,0.51,0.42,0.61,2.21,1.78,0.96,0.66,1,0.66,0.11,0,0.92,0.96,0.35,5.81,1.01,4.98,5.37,3.24,4.04,4.6,3.44,2.51,9.81,9.48,4.99,1.28,7.52,4.22,3.55,8.31,2.54,4.53,4.33,5.45,6.97,1.43,5.16,2.74,1.65,0.85,0.59,8,6.42,1.85,2.93,1.28,0.61,2.07,2.1,1.26,4.58,5.05,2.91,3.04,0.46,5.25,4.9,1.07,2.78,0.97,0.32,1.74,0.16,1.07,1.81,3.05,4.72,0.93,3.91,0.44,0.45,0.33,0.55,2.66,4.11,4.39,5.29,0.77,3.52,5.61,0.18,6.03,6.69,1.44,0.32,2.37,3.53,0.08,0.55,0.06,0.51,1.83,0.36,0.16,0.44,0.15,0.34,1.24,2.27,0.48,0.19,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303 南亞,成交量(千股),"7,248","5,540","5,143","8,065","10,924","4,164","4,283","3,216","8,781","3,914","3,165","2,203","2,124","5,023","7,857","4,363","1,976","4,220","6,493","4,001","10,902","6,223","6,019","2,401","2,239","3,633","2,942","1,626","3,983","2,376","2,934","1,761","5,597","3,945","3,010","3,301","3,173","4,454","3,130","2,356","2,912","9,406","4,103","3,095","3,130","2,717","4,261","2,556",924,"2,901","4,064","6,911","6,121","4,152","5,731","6,071","4,556","4,921","5,734","4,162","4,922","7,177","5,235","8,450","7,481","5,081","4,017","3,728","6,421","7,404","4,805","4,955","3,743","8,561","6,880","3,716","4,280","2,229","3,635","3,858","5,355","4,179","7,886","6,784","5,404","3,181","2,870","5,287","2,608","4,424","5,543","9,469","7,067","4,586","9,849","4,454","5,917","10,569","11,409","19,780","10,565","6,596","6,539","6,131","6,126","7,669","5,068","7,391","8,627","6,282","3,829","5,739","4,803","2,510","3,695","4,392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303 南亞,現股當沖比重,1.1,0.25,0,17.61,1.06,0.55,0.77,2.27,0.48,0.54,1.3,0.73,0.38,1.19,0.57,1.12,0.1,4.69,0.63,0.82,0.88,1.08,0.1,0.42,0.8,4.27,0.27,0.43,2.26,3.41,2.35,3.63,5.11,3.57,8.93,3,0.79,2.22,3.07,0.68,3.47,5.61,5,1.39,2.08,2.21,1.43,0.47,0.97,0.24,8.56,0.77,0.83,2.79,1.2,0.43,1.82,1.83,0.28,2.09,0.45,1.48,0.25,0.26,0.99,0.26,0.47,1.64,0.48,5.9,0.17,0.3,0.99,0.67,0.87,2.48,2.08,0.99,3.38,0.65,1.34,1.39,4.25,0.38,1.33,2.48,4.95,2,1.5,1.22,0.81,2.1,2.52,1.4,1.92,0.25,2.89,1.68,3.4,2.06,2.51,0.62,0.29,0.38,0.73,1.66,1.5,0.8,2.21,0.89,3,1.6,2.33,0.56,1.81,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
