公司,Data Field,2013/6/28,2013/9/30,2013/12/31,2014/3/31,2014/6/30
1210 大成,M負債比率％,0,0,0,0,0
1227 佳格,M負債比率％,0,0,0,0,0
1229 聯華投控,M負債比率％,0,0,19.27,0,0
1314 中石化,M負債比率％,0,0,0,0,0
1319 東陽,M負債比率％,0,0,0,0,0
1434 福懋,M負債比率％,0,0,0,0,0
1476 儒鴻,M負債比率％,0,0,0,0,0
1477 聚陽,M負債比率％,0,0,0,0,0
1504 東元,M負債比率％,0,0,0,0,0
1507 永大,M負債比率％,0,0,0,0,0
1536 和大,M負債比率％,0,0,0,0,0
1590 亞德客-KY,M負債比率％,0,0,0,0,0
1605 華新,M負債比率％,0,0,0,0,0
1707 葡萄王,M負債比率％,0,0,0,0,0
1722 台肥,M負債比率％,0,0,0,0,0
1723 中碳,M負債比率％,0,0,0,0,0
1802 台玻,M負債比率％,0,0,0,0,0
2027 大成鋼,M負債比率％,0,0,0,0,0
2049 上銀,M負債比率％,0,0,0,0,0
2059 川湖,M負債比率％,0,0,0,0,0
2101 南港,M負債比率％,0,0,0,0,0
2104 國際中橡,M負債比率％,0,0,0,0,42.16
2201 裕隆,M負債比率％,0,0,0,0,0
2204 中華,M負債比率％,0,0,0,0,0
2227 裕日車,M負債比率％,0,0,0,0,0
2231 為升,M負債比率％,0,0,0,0,0
2313 華通,M負債比率％,0,0,0,0,0
2324 仁寶,M負債比率％,0,0,0,0,0
2337 旺宏,M負債比率％,0,0,0,0,0
2344 華邦電,M負債比率％,0,0,0,0,0
2345 智邦,M負債比率％,0,0,0,0,0
2347 聯強,M負債比率％,0,0,0,0,0
2352 佳世達,M負債比率％,0,0,0,0,0
2353 宏,M負債比率％,0,0,0,0,0
2354 鴻準,M負債比率％,0,0,0,0,0
2356 英業達,M負債比率％,0,0,0,0,0
2360 致茂,M負債比率％,34.45,0,31.73,31.26,45.48
2371 大同,M負債比率％,0,0,69.43,0,0
2376 技嘉,M負債比率％,0,0,0,0,0
2377 微星,M負債比率％,0,0,0,0,0
2379 瑞昱,M負債比率％,0,0,0,0,0
2383 台光電,M負債比率％,0,0,0,0,0
2385 群光,M負債比率％,0,0,0,0,0
2409 友達,M負債比率％,0,0,0,0,0
2439 美律,M負債比率％,0,0,0,0,0
2441 超豐,M負債比率％,0,0,0,0,0
2449 京元電子,M負債比率％,0,0,0,0,0
2451 創見,M負債比率％,0,0,0,0,0
2492 華新科,M負債比率％,0,0,0,0,0
2498 宏達電,M負債比率％,0,0,0,0,0
2542 興富發,M負債比率％,0,0,0,0,0
2603 長榮,M負債比率％,0,0,0,0,0
2606 裕民,M負債比率％,0,0,0,0,0
2610 華航,M負債比率％,0,0,0,0,0
2615 萬海,M負債比率％,0,0,0,0,0
2618 長榮航,M負債比率％,0,0,0,0,0
2723 美食-KY,M負債比率％,0,0,0,0,0
2809 京城銀,M負債比率％,0,0,88.64,0,0
2812 台中銀,M負債比率％,0,0,0,0,0
2834 臺企銀,M負債比率％,95.78,95.75,95.68,95.6,95.5
2845 遠東銀,M負債比率％,0,0,94.12,0,0
2867 三商壽,M負債比率％,0,0,96.95,0,0
2889 國票金,M負債比率％,0,0,0,0,0
2903 遠百,M負債比率％,0,0,0,0,0
2915 潤泰全,M負債比率％,0,0,0,0,0
3005 神基,M負債比率％,0,0,0,0,0
3023 信邦,M負債比率％,0,0,0,0,0
3034 聯詠,M負債比率％,0,0,0,0,0
3037 欣興,M負債比率％,0,0,0,0,0
3044 健鼎,M負債比率％,0,0,0,0,0
3231 緯創,M負債比率％,0,0,0,0,0
3406 玉晶光,M負債比率％,0,0,0,0,0
3443 創意,M負債比率％,0,0,0,0,0
3481 群創,M負債比率％,63.04,0,0,0,0
3532 台勝科,M負債比率％,0,0,0,0,0
3682 亞太電,M負債比率％,0,0,0,0,0
3702 大聯大,M負債比率％,0,0,0,0,0
3706 神達,M負債比率％,0,0,0,0,0
4958 臻鼎-KY,M負債比率％,0,0,0,0,0
5269 祥碩,M負債比率％,0,0,0,0,0
5522 遠雄,M負債比率％,58.67,59.22,56.93,57.29,60.12
5534 長虹,M負債比率％,52.15,57.59,59.43,61.88,69.3
6176 瑞儀,M負債比率％,0,0,0,0,0
6213 聯茂,M負債比率％,0,0,0,0,0
6239 力成,M負債比率％,0,0,0,0,0
6269 台郡,M負債比率％,0,0,0,0,0
6285 啟,M負債比率％,0,0,0,0,0
6409 旭隼,M負債比率％,0,0,0,0,0
6415 矽力-KY,M負債比率％,0,0,0,0,0
6456 GIS-KY,M負債比率％,0,0,0,0,0
