公司,Data Field,2015/9/30,2015/12/31,2016/3/31,2016/6/30
1101 台泥,M負債比率％,0,0,0,0
1102 亞泥,M負債比率％,0,0,0,0
1103 嘉泥,M負債比率％,0,0,0,0
1104 環泥,M負債比率％,0,0,0,0
1108 幸福,M負債比率％,0,0,0,0
1109 信大,M負債比率％,0,0,0,0
1110 東泥,M負債比率％,0,0,0,0
1201 味全,M負債比率％,0,0,0,0
1203 味王,M負債比率％,0,0,0,0
1210 大成,M負債比率％,0,51.91,0,0
1213 大飲,M負債比率％,0,0,0,0
1215 卜蜂,M負債比率％,0,0,0,0
1216 統一,M負債比率％,0,0,0,0
1217 愛之味,M負債比率％,0,0,0,0
1218 泰山,M負債比率％,0,0,0,0
1219 福壽,M負債比率％,0,0,0,0
1220 台榮,M負債比率％,0,0,0,0
1225 福懋油,M負債比率％,0,0,0,0
1227 佳格,M負債比率％,0,0,0,0
1229 聯華投控,M負債比率％,0,0,0,0
1231 聯華食,M負債比率％,0,0,0,0
1232 大統益,M負債比率％,0,0,0,0
1233 天仁,M負債比率％,0,0,0,0
1234 黑松,M負債比率％,0,0,0,0
1235 興泰,M負債比率％,0,0,0,0
1236 宏亞,M負債比率％,0,0,0,0
1240 茂生農經,M負債比率％,0,0,0,0
1256 鮮活果汁-KY,M負債比率％,0,0,0,0
1258 其祥-KY,M負債比率％,0,0,0,0
1259 安心,M負債比率％,0,0,0,0
1264 德麥,M負債比率％,0,0,0,0
1268 漢來美食,M負債比率％,0,56.34,0,0
1301 台塑,M負債比率％,0,0,0,0
1303 南亞,M負債比率％,0,0,0,0
1304 台聚,M負債比率％,0,0,0,0
1305 華夏,M負債比率％,0,0,0,0
1307 三芳,M負債比率％,0,0,0,0
1308 亞聚,M負債比率％,0,0,0,0
1309 台達化,M負債比率％,0,0,0,0
1310 台苯,M負債比率％,0,0,0,0
1312 國喬,M負債比率％,0,0,0,0
1313 聯成,M負債比率％,0,0,0,0
1314 中石化,M負債比率％,0,0,0,0
1315 達新,M負債比率％,0,0,0,0
1316 上曜,M負債比率％,0,47.74,0,0
1319 東陽,M負債比率％,0,0,0,0
1321 大洋,M負債比率％,0,0,0,0
1323 永裕,M負債比率％,0,0,0,0
1324 地球,M負債比率％,0,0,0,0
1325 大,M負債比率％,0,0,0,0
1326 台化,M負債比率％,0,0,0,0
1333 恩得利,M負債比率％,0,0,0,0
1336 台翰,M負債比率％,0,0,0,0
1337 再生-KY,M負債比率％,0,0,0,0
1338 廣華-KY,M負債比率％,0,0,0,0
1339 昭輝,M負債比率％,0,0,0,0
1340 勝悅-KY,M負債比率％,0,0,0,0
1341 富林-KY,M負債比率％,0,40.4,0,0
1402 遠東新,M負債比率％,0,0,0,0
1409 新纖,M負債比率％,0,74.74,0,0
1410 南染,M負債比率％,0,0,0,0
1413 宏洲,M負債比率％,0,0,0,0
1414 東和,M負債比率％,0,0,0,0
1416 廣豐,M負債比率％,0,0,0,0
1417 嘉裕,M負債比率％,0,0,0,0
1418 東華,M負債比率％,0,0,0,0
1419 新紡,M負債比率％,0,0,0,0
1423 利華,M負債比率％,0,0,0,0
1432 大魯閣,M負債比率％,0,0,0,0
1434 福懋,M負債比率％,0,0,0,0
1435 中福,M負債比率％,0,0,0,0
1436 華友聯,M負債比率％,0,0,0,0
1437 勤益控,M負債比率％,0,0,0,0
1438 裕豐,M負債比率％,0,0,0,0
1439 中和,M負債比率％,0,0,0,0
1440 南紡,M負債比率％,0,0,0,0
1441 大東,M負債比率％,0,0,0,0
1442 名軒,M負債比率％,0,0,0,0
1443 立益,M負債比率％,0,0,0,0
1444 力麗,M負債比率％,0,0,0,0
1445 大宇,M負債比率％,0,16.45,0,0
1446 宏和,M負債比率％,0,0,0,0
1447 力鵬,M負債比率％,0,0,0,0
1449 佳和,M負債比率％,0,0,0,0
1451 年興,M負債比率％,0,0,0,0
1452 宏益,M負債比率％,0,0,0,0
1453 大將,M負債比率％,0,0,0,0
1454 台富,M負債比率％,0,0,0,0
1455 集盛,M負債比率％,0,0,0,0
1456 怡華,M負債比率％,0,0,0,0
1457 宜進,M負債比率％,0,0,0,0
1459 聯發,M負債比率％,0,0,0,0
1460 宏遠,M負債比率％,0,0,0,0
1463 強盛,M負債比率％,40.47,0,0,0
1464 得力,M負債比率％,0,0,0,0
1465 偉全,M負債比率％,0,0,0,0
1466 聚隆,M負債比率％,0,0,0,0
1467 南緯,M負債比率％,0,0,0,0
1468 昶和,M負債比率％,0,0,0,0
1470 大統新創,M負債比率％,0,0,0,0
1471 首利,M負債比率％,0,0,0,0
1472 三洋紡,M負債比率％,0,67.12,0,0
1473 台南,M負債比率％,0,0,0,0
1474 弘裕,M負債比率％,0,0,0,0
1475 本盟,M負債比率％,0,0,0,0
1476 儒鴻,M負債比率％,0,0,0,0
1477 聚陽,M負債比率％,0,0,0,0
1503 士電,M負債比率％,0,0,0,0
1504 東元,M負債比率％,0,0,0,0
1506 正道,M負債比率％,0,0,0,0
1507 永大,M負債比率％,0,0,0,0
1512 瑞利,M負債比率％,0,0,0,0
1513 中興電,M負債比率％,0,0,0,0
1514 亞力,M負債比率％,0,0,0,0
1515 力山,M負債比率％,0,0,0,0
1516 川飛,M負債比率％,0,0,0,0
1517 利奇,M負債比率％,0,0,0,0
1519 華城,M負債比率％,0,0,0,0
1521 大億,M負債比率％,0,0,0,0
1522 堤維西,M負債比率％,0,0,0,0
1524 耿鼎,M負債比率％,0,0,0,0
1525 江申,M負債比率％,0,0,0,0
1526 日馳,M負債比率％,0,0,0,0
1527 鑽全,M負債比率％,0,0,0,0
1528 恩德,M負債比率％,0,0,0,0
1529 樂士,M負債比率％,0,0,0,0
1530 亞崴,M負債比率％,0,0,0,0
1531 高林股,M負債比率％,0,0,0,0
1532 勤美,M負債比率％,0,0,0,0
1533 車王電,M負債比率％,0,0,0,0
1535 中宇,M負債比率％,0,0,0,0
1536 和大,M負債比率％,0,0,0,0
1537 廣隆,M負債比率％,0,0,0,0
1538 正峰新,M負債比率％,0,55.92,0,0
1539 巨庭,M負債比率％,0,0,0,0
1540 喬福,M負債比率％,0,0,0,0
1541 錩泰,M負債比率％,0,0,0,0
1558 伸興,M負債比率％,0,0,0,0
1560 中砂,M負債比率％,0,0,0,0
1565 精華,M負債比率％,0,0,0,0
1568 倉佑,M負債比率％,0,0,0,0
1569 濱川,M負債比率％,0,0,0,0
1570 力肯,M負債比率％,0,0,0,0
1580 新麥,M負債比率％,0,0,0,0
1582 信錦,M負債比率％,0,0,0,0
1583 程泰,M負債比率％,0,0,0,0
1584 精剛,M負債比率％,0,0,0,0
