公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
1101 台泥,M負債比率％,0,0,0,0,0,0,43.99,41.45
1102 亞泥,M負債比率％,0,0,0,0,0,41.51,40.99,40.52
1103 嘉泥,M負債比率％,0,0,0,0,0,0,31.98,32.1
1104 環泥,M負債比率％,0,0,0,0,0,20.45,19.19,18.86
1108 幸福,M負債比率％,0,0,0,0,0,0,38.81,38.36
1109 信大,M負債比率％,0,0,0,0,0,0,20.77,19.75
1110 東泥,M負債比率％,0,0,0,0,0,0,8.39,7.76
1201 味全,M負債比率％,0,0,0,0,0,0,76.24,75.41
1203 味王,M負債比率％,0,0,0,0,0,0,38.98,37.27
1210 大成,M負債比率％,0,0,46.7,0,0,0,46.69,44.92
1213 大飲,M負債比率％,0,0,0,0,0,0,19.52,17.21
1215 卜蜂,M負債比率％,0,0,0,0,0,0,49.9,0
1216 統一,M負債比率％,0,0,0,0,0,0,53.87,51.85
1217 愛之味,M負債比率％,0,0,0,0,0,0,49.98,50.55
1218 泰山,M負債比率％,0,0,0,0,0,0,48.92,26.65
1219 福壽,M負債比率％,0,0,0,0,0,0,53.35,50.35
1220 台榮,M負債比率％,0,0,0,0,0,0,21.18,19.15
1225 福懋油,M負債比率％,0,0,0,0,0,0,48.16,42.41
1227 佳格,M負債比率％,0,0,0,0,0,0,33.84,29.91
1229 聯華投控,M負債比率％,0,0,0,0,0,0,14.73,13.84
1231 聯華食,M負債比率％,0,0,0,0,0,0,51.77,51.06
1232 大統益,M負債比率％,0,0,0,0,0,0,29.85,23.01
1233 天仁,M負債比率％,0,0,0,0,0,0,0,25.34
1234 黑松,M負債比率％,0,0,0,0,0,0,23.16,21.91
1235 興泰,M負債比率％,0,0,0,0,0,0,27.5,26.64
1236 宏亞,M負債比率％,0,0,0,0,0,0,0,34.9
1240 茂生農經,M負債比率％,0,0,0,44.59,0,41.55,42.08,36.74
1256 鮮活果汁-KY,M負債比率％,0,0,0,0,0,0,34.32,34.03
1258 其祥-KY,M負債比率％,0,0,0,0,0,0,60.37,62.71
1259 安心,M負債比率％,0,0,0,0,0,0,39.71,35.08
1264 德麥,M負債比率％,0,0,0,0,0,0,16.52,14.3
1268 漢來美食,M負債比率％,0,0,0,0,0,0,40.65,0
1301 台塑,M負債比率％,0,0,0,0,0,0,27.53,25.97
1303 南亞,M負債比率％,0,0,0,0,0,0,0,30.41
1304 台聚,M負債比率％,0,0,0,0,0,0,45.94,44.67
1305 華夏,M負債比率％,0,0,0,0,0,0,35.29,31.47
1307 三芳,M負債比率％,0,0,0,0,0,0,41.8,42.39
1308 亞聚,M負債比率％,0,0,0,0,0,0,34.01,33.9
1309 台達化,M負債比率％,0,0,0,0,0,0,55.68,54.42
1310 台苯,M負債比率％,0,0,0,0,0,0,30.69,28.62
1312 國喬,M負債比率％,0,0,16.63,0,0,0,16.13,14.66
1313 聯成,M負債比率％,0,0,0,0,0,0,52.76,52.99
