公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
1240 茂生農經,M負債比率％,0,0,0,44.59,0,41.55,42.08,36.74
1258 其祥-KY,M負債比率％,0,0,0,0,0,0,60.37,62.71
1259 安心,M負債比率％,0,0,0,0,0,0,39.71,35.08
1264 德麥,M負債比率％,0,0,0,0,0,0,16.52,14.3
1268 漢來美食,M負債比率％,0,0,0,0,0,0,40.65,0
1333 恩得利,M負債比率％,0,0,0,0,0,0,49.69,58.56
1336 台翰,M負債比率％,0,0,0,0,0,0,33.94,31.68
1565 精華,M負債比率％,0,0,0,0,0,0,37.33,33.66
1569 濱川,M負債比率％,0,0,0,0,0,0,58.67,53.5
1570 力肯,M負債比率％,0,0,0,0,0,0,22.76,21.34
1580 新麥,M負債比率％,0,0,0,0,0,0,38.13,32.44
1584 精剛,M負債比率％,0,0,43.31,55.32,56.81,56.33,57.55,57.78
1586 和勤,M負債比率％,0,0,0,0,0,0,49.65,48.55
1591 駿吉-KY,M負債比率％,0,0,0,0,0,0,41.07,42.28
1593 祺驊,M負債比率％,0,0,0,0,0,0,23.49,15.55
1595 川寶,M負債比率％,0,0,0,0,0,0,38.42,35.81
1597 直得,M負債比率％,0,0,0,0,0,0,42.03,44.19
1599 宏佳騰,M負債比率％,0,0,0,0,0,0,31.91,25.02
1742 台蠟,M負債比率％,0,0,0,0,0,0,33.42,41.82
1752 南光,M負債比率％,0,0,0,0,0,0,35.72,33.42
1777 生泰,M負債比率％,0,0,0,0,0,0,35.97,39.22
1781 合世,M負債比率％,0,0,0,0,0,0,31.48,37.47
1784 訊聯,M負債比率％,0,0,0,0,0,0,24.84,22.87
1785 光洋科,M負債比率％,0,0,0,0,0,0,75.94,75.04
1787 福盈科,M負債比率％,0,0,0,0,0,0,38.42,40.52
1788 杏昌,M負債比率％,0,0,0,0,0,0,37.82,33.86
1795 美時,M負債比率％,0,0,45.36,0,0,0,51.05,50.73
1796 金穎生技,M負債比率％,0,0,32.9,0,0,0,38.09,26.48
1799 易威,M負債比率％,0,0,0,0,0,0,17.63,17.16
1813 寶利徠,M負債比率％,0,0,0,0,0,0,23.57,26.14
1815 富喬,M負債比率％,0,0,0,0,0,0,43.7,45.34
2035 唐榮,M負債比率％,0,0,0,0,0,0,68.66,69.23
2061 風青,M負債比率％,0,0,0,0,0,0,47.86,45.24
2063 世鎧,M負債比率％,0,0,0,0,0,0,52.33,51.02
2064 晉椿,M負債比率％,0,0,53.21,0,0,0,59.4,60.37
2065 世豐,M負債比率％,0,0,0,0,0,0,25.66,29.45
2066 世德,M負債比率％,0,0,36.6,0,0,0,49.96,51.78
2067 嘉鋼,M負債比率％,0,0,0,0,0,0,64.11,64.09
2070 精湛,M負債比率％,0,0,45.75,0,0,0,49.88,48.63
2221 大甲,M負債比率％,0,0,0,0,0,0,42.29,42.1
2230 泰茂,M負債比率％,0,0,0,0,0,0,53.68,55.39
2235 謚源,M負債比率％,0,0,0,0,0,0,40.9,19.42
2596 綠意,M負債比率％,0,0,0,0,0,0,19.68,17.63
2640 大車隊,M負債比率％,0,0,0,0,0,0,42.87,40.73
2641 正德,M負債比率％,0,0,0,0,0,0,67.61,67.18
2643 捷迅,M負債比率％,0,0,0,0,0,0,45.56,42.49
2718 晶悅,M負債比率％,0,0,0,0,0,0,22.97,22.2
2719 燦星旅,M負債比率％,53.96,47.68,52.06,52.72,58.42,59.8,59.51,69.35
2724 富驛-KY,M負債比率％,0,0,0,0,0,0,95.86,99.91
2726 雅茗-KY,M負債比率％,0,0,0,0,0,0,50.27,46.46
2729 瓦城,M負債比率％,0,0,0,0,0,0,18.91,17.57
2732 六角,M負債比率％,0,0,0,0,0,0,42.88,40.7
2734 易飛網,M負債比率％,0,0,0,49.45,45.08,38.37,39.76,42.43
2736 高野,M負債比率％,0,0,38.67,0,0,0,42.5,41.64
2740 天蔥,M負債比率％,45.04,40.03,42.38,46.49,51.62,52.54,49.64,44.38
2745 五福,M負債比率％,0,0,0,0,0,0,67.17,0
2752 豆府,M負債比率％,0,0,31.47,0,33.77,0,30.96,20.84
2916 滿心,M負債比率％,0,0,0,0,0,0,0,21.43
2924 東凌-KY,M負債比率％,0,0,0,0,0,0,40.7,39.16
2926 誠品生活,M負債比率％,0,0,0,0,0,0,66.5,59.71
2928 紅馬-KY,M負債比率％,0,0,0,0,0,0,62.2,59.21
2937 集雅社,M負債比率％,0,0,0,0,0,0,55.47,41.18
3064 泰偉,M負債比率％,0,0,0,0,0,0,48.6,54.62
3066 李洲,M負債比率％,0,0,0,0,0,0,49.4,51.33
3067 全域,M負債比率％,0,0,0,0,0,0,30.02,32.72
3071 協禧,M負債比率％,0,0,0,0,0,0,42.5,44.8
3073 凱柏實業,M負債比率％,45.09,40.58,41.95,42.21,40.29,40.11,43.71,42.24
3078 僑威,M負債比率％,0,0,0,0,0,0,41.94,42
3081 聯亞,M負債比率％,0,0,0,0,0,0,0,9.46
3083 網龍,M負債比率％,0,0,0,0,0,0,13.97,14.03
3085 新零售,M負債比率％,0,0,0,0,0,0,40.26,41.48
3086 華義,M負債比率％,0,0,0,0,0,0,62.11,63.84
3088 艾訊,M負債比率％,0,0,0,0,0,0,0,36.83
3089 元炬,M負債比率％,0,0,0,0,0,0,60.97,39.61
3092 鴻碩,M負債比率％,0,0,0,0,0,0,46.93,49.06
3093 港建,M負債比率％,0,0,0,0,0,0,18.47,20.15
3095 及成,M負債比率％,0,0,0,0,0,0,83.08,79.01
3105 穩懋,M負債比率％,0,0,0,0,0,0,30.31,24.12
3114 好德,M負債比率％,0,0,0,0,0,0,49.47,51.35
3115 寶島極,M負債比率％,0,0,0,0,0,0,34.02,29.5
3118 進階,M負債比率％,0,0,0,0,0,0,28.68,23.98
3122 笙泉,M負債比率％,0,0,0,0,0,0,0,12.84
3128 昇銳,M負債比率％,0,0,0,0,0,0,34.97,35.92
3131 弘塑,M負債比率％,0,0,0,0,0,0,44.68,45.14
3141 晶宏,M負債比率％,0,0,0,0,0,0,19.85,17.4
3144 新揚科,M負債比率％,0,0,0,0,0,0,50.78,50.26
3147 大綜,M負債比率％,0,0,0,0,0,0,54.02,59.47
3152 璟德,M負債比率％,0,0,0,0,0,0,0,11.99
3162 精確,M負債比率％,0,0,0,0,0,0,30.79,22.38
3163 波若威,M負債比率％,0,0,0,0,0,0,33.92,35.46
3169 亞信,M負債比率％,0,0,0,0,0,0,10.38,9.13
3171 新洲,M負債比率％,0,0,0,0,0,0,54.18,52.51
3176 基亞,M負債比率％,0,0,0,0,0,0,34.38,34.22
3178 公準,M負債比率％,0,0,0,0,0,0,59.03,59.05
3188 鑫龍騰,M負債比率％,0,0,0,0,0,0,54.5,73.19
3191 和進,M負債比率％,35.95,38.92,41.21,34.93,34.78,37.14,22.44,23.47
3202 樺晟,M負債比率％,0,0,0,0,0,0,60.88,60.67
3205 佰研,M負債比率％,0,0,0,0,0,0,9.14,6.26
3206 志豐,M負債比率％,0,0,0,0,0,0,47.78,39.79
3207 耀勝,M負債比率％,0,0,0,0,0,0,67.15,70.15
3211 順達,M負債比率％,0,0,0,0,0,0,57.65,53.56
3213 茂訊,M負債比率％,0,0,26.23,26.01,35.92,27.39,26.82,24.99
3217 優群,M負債比率％,0,0,0,0,0,0,26.39,22.06
3218 大學光,M負債比率％,0,0,0,0,0,0,21.03,21.06
3219 倚強股份,M負債比率％,0,0,0,0,0,0,14.98,27.22
3221 台嘉碩,M負債比率％,0,0,0,0,0,0,28.89,29.41
3224 三顧,M負債比率％,0,0,0,0,0,0,23.11,14.72
3226 至寶電,M負債比率％,0,0,0,0,0,0,30.6,26.33
3227 原相,M負債比率％,0,0,0,0,0,0,18.65,19.61
3228 金麗科,M負債比率％,0,0,0,0,0,0,0,21.33
3230 錦明,M負債比率％,0,0,0,0,0,0,31.76,31.03
3232 昱捷,M負債比率％,0,0,0,0,0,0,58.14,51.88
3234 光環,M負債比率％,0,0,0,0,0,0,60.67,62.29
3236 千如,M負債比率％,0,0,0,0,0,0,48.16,47.48
3252 海灣,M負債比率％,0,0,0,0,0,0,57.95,56.04
3259 鑫創,M負債比率％,0,0,0,0,0,0,10.23,10.33
3260 威剛,M負債比率％,0,0,0,0,0,0,65.24,65.87
3264 欣銓,M負債比率％,0,0,0,0,0,0,0,36.26
3265 台星科,M負債比率％,0,0,0,0,0,0,0,27.22
3268 海德威,M負債比率％,0,0,0,0,0,0,47.58,45.01
3272 東碩,M負債比率％,0,0,0,0,0,0,52.25,58.34
3276 宇環,M負債比率％,0,0,0,0,0,0,56.43,56.1
3284 太普高,M負債比率％,0,0,0,0,0,0,18.99,22.53
3285 微端,M負債比率％,0,0,0,0,0,0,39.55,39.86
3287 廣寰科,M負債比率％,0,0,0,0,0,0,22.12,17.82
3288 點晶,M負債比率％,0,0,0,0,0,0,58.6,48.89
3289 宜特,M負債比率％,0,0,0,0,0,0,63.41,62.04
3290 東浦,M負債比率％,0,0,0,0,0,0,54.74,48.22
3293 鈊象,M負債比率％,0,0,0,0,0,0,18.76,16.94
3294 英濟,M負債比率％,0,0,0,0,0,0,45.84,44.6
3297 杭特,M負債比率％,0,0,0,0,0,0,17.68,19.5
3303 岱稜,M負債比率％,0,0,0,0,0,0,0,44.26
3306 鼎天,M負債比率％,0,0,0,0,0,0,16.51,14.39
3310 佳穎,M負債比率％,0,0,0,0,0,0,73.75,62.52
3313 斐成,M負債比率％,0,0,0,0,0,0,11.78,5.43
3317 尼克森,M負債比率％,0,0,0,0,0,0,29.74,23.55
3322 建舜電,M負債比率％,0,0,0,0,0,0,57.85,60.85
3323 加百裕,M負債比率％,0,0,0,0,0,0,50.13,49.08
3324 雙鴻,M負債比率％,0,0,0,0,0,0,57.32,54.79
3325 旭品,M負債比率％,0,0,0,0,0,0,43.04,45.43
3332 幸康,M負債比率％,0,0,0,0,0,0,18.18,15.23
3339 泰谷,M負債比率％,0,0,0,0,0,0,59.69,58.48
3354 律勝,M負債比率％,0,0,0,0,0,0,25.88,25.19
3360 尚立,M負債比率％,0,0,0,0,0,0,58.05,69.01
3362 先進光,M負債比率％,0,0,0,0,0,0,39.01,38.51
3363 上詮,M負債比率％,0,0,0,0,0,0,25.31,25.79
3372 典範,M負債比率％,9.91,11.42,12.07,10.69,11.9,14.78,13.12,11.3
3373 熱映,M負債比率％,0,0,0,0,0,0,16.76,16.92
3374 精材,M負債比率％,0,0,0,0,0,0,0,43.49
3379 彬台,M負債比率％,0,0,0,0,0,0,34.82,41.81
3388 崇越電,M負債比率％,0,0,0,0,0,0,31.29,30.56
3390 旭軟,M負債比率％,0,0,0,0,0,0,27.62,31.44
3402 漢科,M負債比率％,0,0,0,0,0,0,56.48,55.31
3426 台興,M負債比率％,0,0,0,0,0,0,30.47,29.02
3434 哲固,M負債比率％,0,0,45.66,0,0,0,56.72,58.02
3438 類比科,M負債比率％,0,0,0,0,0,0,21.18,22.6
3441 聯一光,M負債比率％,0,0,0,0,0,0,11.3,9.83
3444 利機,M負債比率％,0,0,0,0,0,0,32.47,25.66
3452 益通,M負債比率％,0,0,0,0,0,0,19.07,15.46
3455 由田,M負債比率％,0,0,0,0,0,0,49.06,52.68
3465 進泰電子,M負債比率％,0,0,0,0,0,0,46.22,50.34
3466 致振,M負債比率％,0,0,0,0,0,0,36.54,39.88
3479 安勤,M負債比率％,0,0,0,0,0,0,33.23,38.04
3483 力致,M負債比率％,0,0,0,0,0,0,52.47,50.91
3484 崧騰,M負債比率％,0,0,0,0,0,0,51.14,47.56
3489 森寶,M負債比率％,0,0,0,0,0,0,65.52,66.6
3490 單井,M負債比率％,0,0,0,0,0,0,24.35,25.78
3491 昇達科,M負債比率％,0,0,0,0,0,0,27.97,24.16
3492 長盛,M負債比率％,0,0,0,0,0,0,44.5,41.42
3498 陽程,M負債比率％,0,0,0,0,0,0,24.09,24.78
3499 環天科,M負債比率％,0,0,0,0,0,0,39.26,42.95
3508 位速,M負債比率％,0,0,0,0,0,0,53.55,50.9
3511 矽瑪,M負債比率％,0,0,0,0,0,0,43.33,45.84
3512 皇龍,M負債比率％,0,0,0,0,0,0,69.11,51.64
3516 亞帝歐,M負債比率％,0,0,0,0,0,0,21.46,21.03
3520 振維,M負債比率％,0,0,0,0,0,0,58.57,54.61
3521 鴻翊,M負債比率％,0,0,0,0,0,0,70.76,75.34
3522 御頂,M負債比率％,0,0,0,0,0,0,40.42,35.4
3523 迎輝,M負債比率％,0,0,0,0,0,0,62.31,64.21
3526 凡甲,M負債比率％,0,0,0,0,0,0,0,41.48
3527 聚積,M負債比率％,0,0,0,0,0,0,35.51,37
3529 力旺,M負債比率％,0,0,0,0,0,0,13.99,13.44
3531 先益,M負債比率％,0,0,0,0,0,0,28.25,26.65
3537 堡達,M負債比率％,0,0,0,0,0,0,39.84,32.89
3540 曜越,M負債比率％,0,0,0,0,0,0,53.06,51.3
3541 西柏,M負債比率％,0,0,0,0,0,0,44.78,42.4
3546 宇峻,M負債比率％,0,0,0,0,0,0,20.09,18.29
3548 兆利,M負債比率％,0,0,0,0,0,0,39.51,37.52
3551 世禾,M負債比率％,0,0,0,0,0,0,28.11,26.31
3552 同致,M負債比率％,0,0,0,0,0,0,58.16,55.21
3555 重鵬,M負債比率％,0,0,0,0,0,0,0,4.58
3556 禾瑞亞,M負債比率％,0,0,0,0,0,0,18.06,16.18
3558 神準,M負債比率％,0,0,0,0,0,0,0,58.11
3562 頂晶科,M負債比率％,0,0,0,0,0,0,35.16,38.82
3564 其陽,M負債比率％,0,0,0,0,0,0,60.17,59.27
3567 逸昌,M負債比率％,0,0,0,13.42,24.11,15.19,17.65,13.83
3570 大塚,M負債比率％,0,0,0,0,0,0,16.16,13.84
3577 泓格,M負債比率％,0,0,0,0,0,0,21.89,19.7
3580 友威科,M負債比率％,0,0,0,0,0,0,55.95,64.72
3581 博磊,M負債比率％,0,0,0,0,0,0,44.2,43.99
3587 閎康,M負債比率％,0,0,24.48,0,0,0,20.58,19.39
3594 磐儀,M負債比率％,0,0,0,0,0,0,49.03,49.08
3609 東林,M負債比率％,0,0,0,0,0,0,40.46,38.01
3611 鼎翰,M負債比率％,63.74,0,0,0,60.32,0,51.08,47.22
3615 安可,M負債比率％,0,0,0,0,0,0,14.97,13.24
3623 富晶通,M負債比率％,0,0,0,0,0,0,28.5,26.46
3624 光頡,M負債比率％,0,0,0,0,0,0,23.81,23.62
3625 西勝,M負債比率％,0,0,0,0,0,0,0,51.89
3628 盈正,M負債比率％,0,0,0,0,0,0,42.87,40.96
3629 地心引力,M負債比率％,55.22,57.47,42.11,40.76,45.21,42.38,26.57,21.2
3630 新鉅科,M負債比率％,0,0,0,0,0,0,29.25,29.89
3631 晟楠,M負債比率％,0,0,0,0,0,0,42.93,44.07
3632 研勤,M負債比率％,0,0,0,0,0,0,51.26,49.75
3642 駿熠電,M負債比率％,0,0,31.8,0,0,0,40.57,36.75
3646 艾恩特,M負債比率％,0,0,0,0,0,0,23.24,22.51
