公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
1101 台泥,M資產總額,0,0,0,0,0,0,"272,557,049","283,088,584"
1102 亞泥,M資產總額,0,0,0,0,0,"246,251,990","247,064,348","249,899,869"
1103 嘉泥,M資產總額,0,0,0,0,0,0,"28,317,986","29,494,843"
1104 環泥,M資產總額,0,0,0,0,0,"20,443,648","21,229,208","21,801,660"
1108 幸福,M資產總額,0,0,0,0,0,0,"7,236,852","7,155,857"
1109 信大,M資產總額,0,0,0,0,0,0,"8,576,925","8,745,993"
1110 東泥,M資產總額,0,0,0,0,0,0,"9,365,291","9,271,893"
1201 味全,M資產總額,0,0,0,0,0,0,"32,862,642","32,381,035"
1203 味王,M資產總額,0,0,0,0,0,0,"9,192,281","9,295,071"
1210 大成,M資產總額,0,0,"37,864,292",0,0,0,"40,747,852","41,198,244"
1213 大飲,M資產總額,0,0,0,0,0,0,"864,866","842,710"
1215 卜蜂,M資產總額,0,0,0,0,0,0,"13,886,122",0
1216 統一,M資產總額,0,0,0,0,0,0,"414,655,454","412,039,147"
1217 愛之味,M資產總額,0,0,0,0,0,0,"12,242,288","12,738,222"
1218 泰山,M資產總額,0,0,0,0,0,0,"7,482,013","8,514,913"
1219 福壽,M資產總額,0,0,0,0,0,0,"8,461,787","8,024,714"
1220 台榮,M資產總額,0,0,0,0,0,0,"3,027,503","2,993,728"
1225 福懋油,M資產總額,0,0,0,0,0,0,"7,017,020","6,501,561"
1227 佳格,M資產總額,0,0,0,0,0,0,"22,709,488","22,814,422"
1229 聯華投控,M資產總額,0,0,0,0,0,0,"29,653,231","30,711,983"
1231 聯華食,M資產總額,0,0,0,0,0,0,"6,483,870","6,680,947"
1232 大統益,M資產總額,0,0,0,0,0,0,"5,452,648","5,231,242"
1233 天仁,M資產總額,0,0,0,0,0,0,0,"2,054,503"
1234 黑松,M資產總額,0,0,0,0,0,0,"22,855,928","22,649,111"
1235 興泰,M資產總額,0,0,0,0,0,0,"5,735,515","6,224,732"
